"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Jj Jankowski","Catawba","Sr.","P","17","90.3","126"
"2","Timothy Flight","Southern N.H.","Jr.","P","11","79.3","106"
"3","Joey Cuda","Eckerd","Sr.","P","13","78.3","105"
"4","Chad Boughner","North Ala.","Jr.","P","13","92.0","104"
"5","Nolan Snell","Colorado Mesa","Jr.","P","12","76.3","102"
"6","Shawn Kale","Lynn","Sr.","P","13","79.0","99"
"7","Ethan Bader","Armstrong","So.","P","24","96.0","98"
"8","Josh McElwee","Newberry","Sr.","P","12","74.0","97"
"9","Alex Haines","Seton Hill","So.","P","14","59.7","95"
"10","Rene Solis","St. Mary's (TX)","So.","P","13","93.0","93"
"11","Derek Hansen","Augustana (SD)","Jr.","INF","10","55.7","88"
"12","Brad Monroe","Southern N.H.","Sr.","P","11","76.0","85"
"13","John Healy","St. Anselm","Sr.","P","11","78.0","84"
"","Carl O'Neal","St. Mary's (TX)","Jr.","P","14","80.0","84"
"","Matt Stalcup","Pittsburg St.","Jr.","P","13","70.0","84"
"16","Bryan Tuttle","Pfeiffer","Jr.","P","13","83.0","83"
"17","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","82"
"","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","82"
"","Brandon Marris","Southeastern Okla.","Jr.","P","14","79.3","82"
"","Barry Meeks","West Ala.","Jr.","P","13","84.7","82"
"21","Spencer Jordan","Francis Marion","Jr.","P","13","81.3","81"
"22","Craig Goodman","Tusculum","Sr.","P","12","86.0","80"
"23","Chris Thomas","Lander","Jr.","P","15","80.3","79"
"24","Jason Boyer","Florida Tech","Jr.","P","13","80.0","78"
"","Josh Cagle","Stillman","Sr.","P","15","87.0","78"
"","Nick Lomascolo","Catawba","Jr.","P","16","81.0","78"
"","Aaron Newcomb","Delta St.","Sr.","P","11","81.3","78"
"","Ryan Westover","Ouachita Baptist","Sr.","P","15","83.0","78"
"29","Kelly Holt","S.C. Aiken","Jr.","P","16","61.3","77"
"","Chase Pickering","West Virginia St.","Sr.","P","12","64.7","77"
"","Chris Zbin","Southern Conn. St.","Sr.","P","10","56.0","77"
"32","Rob Finneran","Bentley","Sr.","P","11","72.3","76"
"","Mark Kuzma","Le Moyne","Sr.","P","9","64.0","76"
"","Brett Loeding","Northern Ky.","Jr.","P","29","81.0","76"
"","Dan McMahon","USciences","Jr.","P","16","88.3","76"
"","Mark Sappington","Rockhurst","Jr.","P","13","72.0","76"
"","Ryan Woodring","North Greenville","So.","P","14","89.3","76"
"38","Tyler Badamo","Dowling","So.","P","10","64.0","75"
"","Skye Severns","St. Mary's (TX)","Sr.","P","13","75.7","75"
