"Rank","Name","Team","Cl","Pos","G","HR"
"1","Michael Katz","William & Mary","Jr.","INF","22","12"
"2","Nic Wilson","Georgia St.","Sr.","INF","24","10"
"3","Aaron Mizell","Ga. Southern","Jr.","OF","23","9"
"","A.J. Reed","Kentucky","Jr.","P","24","9"
"5","Kristian Gayday","IPFW","Sr.","INF","20","8"
"","Nick Vilter","UC Riverside","Jr.","3B","20","8"
"7","Nathan Becker","Davidson","Jr.","OF","17","7"
"","Drew Ferguson","Belmont","Jr.","OF","23","7"
"","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","7"
"","Sasha LaGarde","Mercer","Sr.","OF","25","7"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","7"
"12","Greg Kaiser","IPFW","Fr.","2B","12","6"
"","Tanner Krietemeier","Oklahoma St.","Sr.","1B","23","6"
"","Chris Marconcini","Duke","Jr.","INF","25","6"
"","Ty McFarland","James Madison","Sr.","INF","22","6"
"","Daniel Miles","Tennessee Tech","Sr.","3B","24","6"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","6"
"","Sikes Orvis","Ole Miss","Jr.","INF","25","6"
"","Zach Stephens","Tennessee Tech","Sr.","1B","24","6"
"","Tommy Williams","UCF","Jr.","INF","25","6"
"21","Jo-El Bennett","Troy","Jr.","OF","21","5"
"","Stryker Brown","Ga. Southern","Sr.","INF","25","5"
"","Josiah Burney","Old Dominion","Sr.","INF","22","5"
"","Devin Caldwell","SIU Edwardsville","Sr.","OF","21","5"
"","Jace Conrad","La.-Lafayette","Jr.","2B","24","5"
"","Will Craig","Wake Forest","Fr.","INF","25","5"
"","Matt Dacey","Richmond","So.","INF","18","5"
"","Brandon Delk","Longwood","Jr.","OF","25","5"
"","Aramis Garcia","FIU","Jr.","C","24","5"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","5"
"","Hunter Haley","Oklahoma","So.","INF","22","5"
"","David Hall","Troy","Jr.","OF","22","5"
"","Trevin Hall","Troy","Jr.","OF","24","5"
"","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","5"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","5"
"","Hunter Higgerson","Radford","Jr.","INF","23","5"
"","Jacob Hoyle","Western Caro.","Jr.","P","22","5"
"","Connor Joe","San Diego","Jr.","INF","23","5"
"","Ryan Karl","Cornell","Jr.","OF","14","5"
"","Ryan Kennedy","Florida A&M","Jr.","INF","21","5"
"","Austin Listi","Dallas Baptist","So.","INF","23","5"
"","Tripp Martin","Samford","Jr.","INF","23","5"
"","Adam Martin","Western Caro.","Sr.","C","21","5"
"","Ryan McBroom","West Virginia","Sr.","1B","20","5"
"","Connor McKay","Kansas","Jr.","OF","24","5"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","5"
"","Mike Papi","Virginia","Jr.","OF","22","5"
"","Chase Raffield","Georgia St.","Sr.","OF","24","5"
"","Ryan Seiz","Liberty","Jr.","INF","25","5"
"","Michael Strentz","La.-Lafayette","Jr.","C","23","5"
"","Matt Tellor","Southeast Mo. St.","Sr.","1B","23","5"
"","Luke Tendler","N.C. A&T","Sr.","OF","23","5"
"","Micheal Thomas","Kentucky","Sr.","C","22","5"
"","Bo Thompson","Citadel","Jr.","INF","24","5"
"","Nick Thompson","William & Mary","Jr.","INF","22","5"
"","Damek Tomscha","Auburn","Sr.","INF","24","5"
"","Stephen Wallace","Southern U.","Jr.","OF","16","5"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","5"
"59","Kody Adams","Ga. Southern","Jr.","OF","20","4"
"","Caleb Adams","La.-Lafayette","Jr.","OF","23","4"
