"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Paul Fahey","Franklin Pierce","Jr.","P","9","25.0","10","3.60"
"2","Joey Arena","LIU Post","Jr.","P","3","22.0","9","3.68"
"3","Jake DeCarli","LIU Post","Fr.","P","2","13.0","6","4.15"
"","Mason McCullough","Lander","Jr.","P","7","30.1","14","4.15"
"5","Wesley Helsabeck","Winston-Salem","Jr.","P","7","41.0","19","4.17"
"6","Ryan Santhon","Cal St. L.A.","Sr.","P","6","28.0","13","4.18"
"7","Kane McCall","Clarion","---","P","3","19.0","9","4.26"
"8","David Lerro","Philadelphia U.","Jr.","P","6","27.0","13","4.33"
"9","Dan Altavilla","Mercyhurst","Jr.","P","4","26.2","13","4.39"
"10","Justin Donatella","UC San Diego","So.","P","5","32.0","16","4.50"
"","Andrew Geese","Saginaw Valley","Sr.","P","3","16.0","8","4.50"
"","Dylan James","West Tex. A&M","Sr.","P","7","50.0","25","4.50"
"","Frank Vilacha","New Haven","Sr.","P","2","14.0","7","4.50"
"14","Ben O'Bryan","Cal St. East Bay","Sr.","P","6","33.2","17","4.54"
"15","Frank Samluk","Wilmington (DE)","Jr.","INF","5","23.0","12","4.70"
"16","Adam McCreery","Azusa Pacific","Jr.","P","6","34.1","18","4.72"
"17","Don Crook","Post","Sr.","P","4","24.1","13","4.81"
"18","Zachary Hedges","Azusa Pacific","Jr.","P","6","42.2","23","4.85"
"19","Joseph Plaud","Wis.-Parkside","So.","P","5","16.1","9","4.96"
"20","Luke Barker","Cal St. Chico","Jr.","P","11","29.0","16","4.97"
"21","Nevin Wilson","Colorado Mesa","Jr.","P","5","21.1","12","5.06"
"22","Tyler Sturges","Okla. Christian","Sr.","P","6","28.1","16","5.08"
"23","Jordan DeLorenzo","West Florida","Jr.","P","7","51.1","29","5.08"
"24","Dustin Lawson","Lee","Jr.","P","8","37.0","21","5.11"
"25","Evan Nietfeldt","Grand Valley St.","Jr.","P","4","26.1","15","5.13"
"26","Derek Drag","New Haven","Sr.","P","1","7.0","4","5.14"
"","Kevin O'Connor","Assumption","So.","P","2","14.0","8","5.14"
"28","Reese Gregory","St. Cloud St.","So.","P","7","19.0","11","5.21"
"","Zach Rengel","Concordia-St. Paul","So.","P","3","19.0","11","5.21"
"30","Matt McClain","St. Mary's (TX)","Jr.","P","6","48.0","28","5.25"
"31","Garret Peterson","Slippery Rock","Jr.","P","5","25.1","15","5.33"
"32","Preston Felgate","William Jewell","Jr.","P","4","31.2","19","5.40"
"","Ray Gambone","Wilmington (DE)","Jr.","P","4","21.2","13","5.40"
"","Eric Huson","Western Ore.","Jr.","P","7","45.0","27","5.40"
"35","Brannon Easterling","St. Edward's","Sr.","P","8","57.2","35","5.46"
"36","Cole Tobin","Nyack","Jr.","1B","4","28.0","17","5.46"
"","Ben Wright","Southern Ind.","Jr.","P","5","28.0","17","5.46"
"38","Chris Murphy","Millersville","Jr.","P","6","40.2","25","5.53"
"39","George Asmus","Sonoma St.","Sr.","P","6","38.2","24","5.59"
"40","Jeff Owen","Cal St. Monterey Bay","Jr.","P","8","43.1","27","5.61"
"41","Jeffrey Conley","Alderson Broaddus","Sr.","P","5","25.2","16","5.61"
"42","Jeremy Stawychny","Lee","Sr.","P","9","49.2","31","5.62"
"43","Michael Gonzalez","St. Thomas Aquinas","Jr.","P","3","16.0","10","5.63"
"","Collin Sherrod","St. Edward's","So.","P","8","48.0","30","5.63"
"45","Randy Dobnak","Alderson Broaddus","Fr.","P","4","20.1","13","5.75"
"46","Jake Welch","Notre Dame (OH)","Jr.","P","4","25.0","16","5.76"
"47","Derek Beasley","S.C. Aiken","Sr.","P","7","43.1","28","5.82"
"48","Eian Raeber","Fresno Pacific","Jr.","P","9","27.2","18","5.86"
"49","Robert Baroniel","Nova Southeastern","Jr.","P","8","58.1","38","5.86"
"50","Josh Weyker","West Tex. A&M","Sr.","P","7","46.0","30","5.87"
"51","Jonathan Rosario","Mo.-St. Louis","Sr.","P","3","18.1","12","5.89"
"52","Bryce Bellin","Minn. St. Mankato","Sr.","1B","5","27.1","18","5.93"
"53","Andrew Fiddler","Harding","Jr.","P","10","28.2","19","5.97"
"54","Craig Brooks","Catawba","Jr.","P","10","46.2","31","5.98"
"55","Aaron Jensen","Grand Valley St.","Jr.","P","5","33.0","22","6.00"
"","Ricky Rivera","Central Mo.","Jr.","P","6","36.0","24","6.00"
"","Josh Tols","Rockhurst","Sr.","P","5","24.0","16","6.00"
"58","Colton Gunn","Virginia St.","So.","P","6","38.2","26","6.05"
"59","Bill Menek","Lynn","Jr.","P","11","31.0","21","6.10"
"60","Nick Bozman","Urbana","Jr.","P","3","17.2","12","6.11"
"61","Austin Gambrell","Erskine","Jr.","INF","7","39.2","27","6.13"
"62","Joel Belk","Azusa Pacific","So.","INF","4","22.0","15","6.14"
"63","Brain Bayliss Jr.","St. Joseph's (IN)","So.","P","5","26.1","18","6.15"
"64","Bryan Greig","Mercy","Jr.","P","3","19.0","13","6.16"
"65","Caden Ferguson","Columbus St.","Jr.","P","8","48.0","33","6.19"
"","Joe Gnacinski","Mercyhurst","Jr.","P","3","16.0","11","6.19"
"","Fernando Gonzalez","West Ala.","Jr.","P","9","48.0","33","6.19"
"68","Brandon Sarkissian","Maryville (MO)","Sr.","P","5","21.2","15","6.23"
"","Shea Spitzbarth","Molloy","So.","P","3","17.1","12","6.23"
"70","Jim McDade","Millersville","So.","P","5","27.1","19","6.26"
"71","Dale Innes","Mars Hill","Sr.","P","10","50.0","35","6.30"
"","Zach Soulier","Stonehill","Sr.","P","3","20.0","14","6.30"
"73","Michael Manley","Delta St.","Sr.","P","6","47.0","33","6.32"
"74","Mike Robert","Southern N.H.","Fr.","P","4","27.0","19","6.33"
"","Rene Solis","St. Mary's (TX)","Sr.","P","8","54.0","38","6.33"
"76","Mike Eckerle","LIU Post","Jr.","P","3","17.0","12","6.35"
"","Greg Gonzalez","Queens (NY)","Jr.","P","4","11.1","8","6.35"
"","Brad Lohse","Cal St. Chico","So.","P","6","34.0","24","6.35"
"79","Mick Fennell","California (PA)","So.","INF","4","24.0","17","6.38"
"80","Jake Feckley","Angelo St.","Sr.","INF","8","55.0","39","6.38"
"81","Walker O'Connor","West Florida","So.","P","8","26.2","19","6.41"
"82","Wayde Roth","Ark.-Fort Smith","Jr.","P","7","42.0","30","6.43"
"83","Ricky Winters","Delta St.","Sr.","P","7","43.1","31","6.44"
"84","Josh Mann","Valdosta St.","Sr.","P","8","44.2","32","6.45"
"85","Zack Standefer","Mo.-St. Louis","Sr.","P","3","23.2","17","6.46"
"86","Bryan Smith","Trevecca Nazarene","So.","P","6","41.2","30","6.48"
"87","Joe Axelson","Southwest Minn. St.","Jr.","P","5","26.1","19","6.49"
"88","Shane Armstrong","Hillsdale","Jr.","P","5","19.1","14","6.52"
"","A.J. Cecil","Findlay","Fr.","OF","4","19.1","14","6.52"
"90","Olen Little","Wingate","Sr.","P","8","51.0","37","6.53"
"91","Joey Falletta","Stillman","Sr.","P","7","41.0","30","6.59"
"","Alex Williams","Findlay","Jr.","P","6","13.2","10","6.59"
"93","Scott Cone","West Tex. A&M","Sr.","P","7","42.1","31","6.59"
"94","Dylan Howell","Henderson St.","---","P","8","32.2","24","6.61"
"95","Ricky Reeves","Central Okla.","Jr.","P","6","35.1","26","6.62"
"96","Andrew Grifol","Tex. Permian Basin","Jr.","P","7","38.0","28","6.63"
"","Brandon Pierce","Okla. Christian","Sr.","P","6","38.0","28","6.63"
"98","Patrick Chiaramonte","Charleston (WV)","Jr.","P","3","20.1","15","6.64"
"99","Corey Fitzgerald","St. Cloud St.","Sr.","P","5","23.0","17","6.65"
"100","Josh Staumont","Azusa Pacific","So.","P","7","47.1","35","6.65"
"101","Noah Star","Northwest Nazarene","Fr.","P","6","25.2","19","6.66"
"102","Matt Hendricks","Rollins","So.","INF","9","35.0","26","6.69"
"103","Matt Prosser","Coker","---","P","10","48.1","36","6.70"
"104","Dan Bartlett","Caldwell","Sr.","P","3","17.1","13","6.75"
"","Noah Coleman","Sioux Falls","Sr.","P","3","13.1","10","6.75"
"","Tyler Honeycutt","Davis & Elkins","Fr.","P","3","20.0","15","6.75"
