"Rank","Name","Team","Cl","Pos","G","3B"
"1","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","9"
"2","Jace Peterson","McNeese St.","Jr.","INF","46","8"
"","Dane Phillips","Oklahoma St.","So.","C","43","8"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","8"
"5","Pete Diresta","Albany (NY)","Jr.","OF","34","7"
"","Tyler Hall","Central Mich.","Jr.","INF","44","7"
"","Jake Lowery","James Madison","Jr.","C","45","7"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","7"
"","Trevor Willis","Iowa","Sr.","OF","41","7"
"10","Landon Anderson","Dallas Baptist","Jr.","OF","43","6"
"","Jared Baehl","Evansville","Sr.","INF","38","6"
"","Nathan Carter","Air Force","Sr.","OF","41","6"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","6"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","6"
"","Mac Doyle","Wofford","Jr.","C","44","6"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","6"
"","Kendall Logan","Jackson St.","Jr.","OF","38","6"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","6"
"","Chris Marconcini","Duke","Fr.","1B","46","6"
"","Tyler Naquin","Texas A&M","So.","OF","43","6"
"","Robby Ort","Indiana St.","So.","OF","41","6"
"","Adrian Turner","Grambling","Sr.","INF","40","6"
"","Erich Weiss","Texas","Fr.","3B","44","6"
"24","Tobi Adeyemi","Florida A&M","Sr.","OF","48","5"
"","Gabriel Babineaux","Jackson St.","So.","P","30","5"
"","Isaac Ballou","Marshall","So.","OF","41","5"
"","Eldred Barnett","Grambling","Jr.","OF","40","5"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","5"
"","Brandon Beans","Navy","Fr.","OF","38","5"
"","Jarod Berggren","Northern Colo.","Jr.","OF","40","5"
"","Jon Berti","Bowling Green","Jr.","INF","35","5"
"","Johnny Bladel","James Madison","So.","OF","40","5"
"","James Brooks","Utah","Jr.","INF","37","5"
"","Jaycob Brugman","BYU","Fr.","OF","35","5"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","5"
"","Shaun Cooper","Utah","Jr.","OF","38","5"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","5"
"","Sean Deegan","Penn St.","Jr.","OF","40","5"
"","Cody Elliott","Ball St.","Jr.","OF","39","5"
"","Austin Hall","BYU","Jr.","INF","38","5"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","5"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","5"
"","Brant Jones","Longwood","Sr.","2B","40","5"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","5"
"","Don Lambert","Wichita St.","Jr.","OF","46","5"
"","Matt Mack","Radford","Jr.","3B","43","5"
"","Brandon Maddox","Ark.-Pine Bluff","So.","INF","37","5"
"","Joseph McCrary III","Savannah St.","So.","OF","47","5"
"","Ryan McIntyre","CSU Bakersfield","Jr.","OF","40","5"
"","James Newsome","Md.-East. Shore","Jr.","INF","41","5"
"","Brendan Norton","La Salle","Jr.","INF","41","5"
"","Brooks Pinckard","Baylor","Jr.","OF","44","5"
"","Robert Refsnyder","Arizona","So.","INF","43","5"
"","Billy Stitz","South Dakota St.","Sr.","OF","38","5"
"","Drew Turocy","Akron","Jr.","OF","41","5"
"","Justin Wilson","Charlotte","Sr.","OF","44","5"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","5"
"58","Trever Adams","Creighton","Sr.","INF","41","4"
"","Jared Andreoli","Western Ky.","Jr.","OF","44","4"
"","David Andriese","UC Riverside","Fr.","OF","35","4"
"","Greg Annarummo","Rhode Island","Jr.","INF","36","4"
"","Joe Bennie","La Salle","So.","INF","41","4"
"","Blake Bergeron","Nicholls St.","Jr.","INF","44","4"
"","Ryan Bernal","BYU","Sr.","1B","37","4"
"","Brian Billigen","Cornell","Jr.","OF","36","4"
"","Brian Blasik","Dayton","Jr.","INF","29","4"
"","Thomas Brown","Grambling","Fr.","INF","41","4"
"","Michael Burruss","Ga. Southern","So.","OF","44","4"
"","Thomas Carroll","Mercer","Sr.","OF","46","4"
"","Brian Delucia","Ohio St.","Sr.","OF","37","4"
"","Anthony Dilligard","Texas Southern","Jr.","OF","39","4"
"","Nick Driscoll","Navy","Sr.","OF","49","4"
"","Troy Drummond","Delaware St.","Sr.","OF","39","4"
"","Taylor Dugas","Alabama","Jr.","OF","47","4"
