"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Icezack Flemming","East Central","Jr.","P","10","53.1","72"
"2","Dylan James","West Tex. A&M","Sr.","P","7","50.0","65"
"3","Ethan Bader","Armstrong","Sr.","P","8","57.1","62"
"","Cory Rhodes","King (TN)","Sr.","P","12","54.1","62"
"5","Dale Innes","Mars Hill","Sr.","P","10","50.0","61"
"6","Brannon Easterling","St. Edward's","Sr.","P","8","57.2","60"
"7","Rene Solis","St. Mary's (TX)","Sr.","P","8","54.0","59"
"8","J.D. Salles","Fresno Pacific","Sr.","P","8","61.2","58"
"9","Landon Beck","Anderson (SC)","Jr.","P","11","41.2","57"
"10","Caden Ferguson","Columbus St.","Jr.","P","8","48.0","56"
"","Trevor Oaks","California Baptist","So.","P","8","53.1","56"
"12","Brandon Agar","North Georgia","So.","P","8","56.2","55"
"","Clay Chapman","Fla. Southern","Sr.","P","8","51.1","55"
"","Davis Ward","Ouachita Baptist","Sr.","P","8","61.1","55"
"15","Craig Brooks","Catawba","Jr.","P","10","46.2","54"
"16","Matt McClain","St. Mary's (TX)","Jr.","P","6","48.0","53"
"","Cody Stull","Belmont Abbey","Sr.","P","10","48.1","53"
"","Danny Wissman","S.C. Aiken","Jr.","P","9","37.2","53"
"19","Aaron Cox","Gannon","So.","P","6","34.0","52"
"","Collin Sherrod","St. Edward's","So.","P","8","48.0","52"
"21","Justin Cooper","Young Harris","Jr.","P","9","44.1","51"
"","Brandon Quintero","Cal St. L.A.","So.","P","7","43.1","51"
"","Josh Staumont","Azusa Pacific","So.","P","7","47.1","51"
"24","Jake Brandenberger","Flagler","Sr.","P","7","42.2","50"
"","Ben Currie","Wingate","Sr.","P","8","48.2","50"
"","Jeremy Stawychny","Lee","Sr.","P","9","49.2","50"
"27","Jordan DeLorenzo","West Florida","Jr.","P","7","51.1","49"
"28","Tyler Badamo","Dowling","Sr.","P","5","40.0","48"
"29","Timothy Buchanan","Southern Ark.","So.","P","8","48.1","47"
"","Kaleb Earls","Limestone","Jr.","P","10","48.0","47"
"","Fernando Gonzalez","West Ala.","Jr.","P","9","48.0","47"
"","Matthew Suggs","Ga. Southwestern","Sr.","P","8","53.0","47"
"33","Ethan Greene","Pfeiffer","So.","P","9","53.1","46"
"","Mason McCullough","Lander","Jr.","P","7","30.1","46"
"","Michael Purcell","Trevecca Nazarene","Jr.","P","7","37.0","46"
"","Parks Smithey","Belmont Abbey","So.","P","11","50.1","46"
"","Ryan Taylor","Arkansas Tech","Sr.","P","8","41.1","46"
"","Cameron Walker","Harding","Sr.","P","7","41.1","46"
"","Spenser Watkins","Western Ore.","Sr.","P","8","47.1","46"
"40","Dylan Lynn","Southern Ark.","Sr.","P","8","53.1","45"
"","Logan Sawyer","Lincoln Memorial","Jr.","P","8","52.0","45"
"42","Joe Coto","Northwestern Okla.","Sr.","P","8","48.0","44"
"","Wesley Helsabeck","Winston-Salem","Jr.","P","7","41.0","44"
"","Trey Oest","Tampa","So.","P","8","51.0","44"
"","null Zgardowski","Angelo St.","---","P","8","44.0","44"
"46","Conyon Conley","Southeastern Okla.","Sr.","P","6","36.2","43"
"","Dom Demasi","Valdosta St.","Jr.","P","8","49.0","43"
"","Jake Feckley","Angelo St.","Sr.","INF","8","55.0","43"
"","Oscar Gomez","East Central","Jr.","P","10","46.1","43"
"","Jeremy Gonzalez","Tex. A&M Int'l","---","P","8","39.2","43"
"","Dallas Ponder","Tex. A&M-Kingsville","Sr.","P","9","43.0","43"
"52","Wesley Camp","Newberry","Jr.","P","11","61.2","42"
"","Cole Cromer","Newberry","Jr.","P","8","46.1","42"
"","Caleb Edwards","Mars Hill","So.","P","8","53.1","42"
"","Zac Wittmus","Ga. Southwestern","Jr.","P","10","48.2","42"
"","Dylan Wolchik","Lander","Sr.","P","8","54.0","42"
"57","Mike Fabrizio","Colorado St.-Pueblo","Sr.","P","7","46.0","41"
"","Zachary Hedges","Azusa Pacific","Jr.","P","6","42.2","41"
"","Aaron Johnson","Arkansas Tech","Jr.","P","8","40.1","41"
"","Kerry Kelley","Cal St. San B'dino","Sr.","P","8","44.1","41"
"","Jeremy McDonald","Cal St. Stanislaus","So.","P","7","46.1","41"
"","Chris Murphy","Millersville","Jr.","P","6","40.2","41"
"","Ashton Sivigliano","West Tex. A&M","Sr.","P","6","27.0","41"
"","Brandon Williams","Central Wash.","---","P","7","35.2","41"
"65","Alex Gonzales","King (TN)","Sr.","P","10","38.0","40"
"","Garrett Gooding","Point Loma","Jr.","P","9","41.1","40"
"","Tyler Lequire","Pfeiffer","Jr.","P","11","53.2","40"
"","Matt Prosser","Coker","---","P","10","48.1","40"
"","David Reese","Mo. Southern St.","Sr.","P","6","36.0","40"
"","John Tuttle","Catawba","Sr.","P","10","48.0","40"
"71","Cody Beck","Young Harris","Jr.","P","9","51.0","39"
"","Scott Cone","West Tex. A&M","Sr.","P","7","42.1","39"
"","Ethan Davis","Southwestern Okla.","Jr.","P","7","44.0","39"
"","Joe Flynn","Franklin Pierce","Sr.","P","6","29.0","39"
"","Jason Hoppe","Minn. St. Mankato","Sr.","P","5","32.2","39"
"","Austin Klein","Lindenwood (MO)","Jr.","P","7","37.2","39"
"","Taylor Peed","S.C. Aiken","Sr.","P","9","41.0","39"
"","Brandon Pierce","Okla. Christian","Sr.","P","6","38.0","39"
"","Zach Skelton","Arkansas Tech","Jr.","P","9","37.0","39"
"","Bryan Smith","Trevecca Nazarene","So.","P","6","41.2","39"
"81","Joey Falletta","Stillman","Sr.","P","7","41.0","38"
"","Abdel Rivera","Tex. A&M Int'l","Sr.","P","8","46.1","38"
"","Wayde Roth","Ark.-Fort Smith","Jr.","P","7","42.0","38"
"","Tyler Thompson","Pittsburg St.","Sr.","P","7","39.2","38"
"85","null 07-Fender","Albany St. (GA)","---","P","7","36.1","37"
"","Dan Altavilla","Mercyhurst","Jr.","P","4","26.2","37"
"","Sam Beattie","Okla. Panhandle","Fr.","P","8","46.0","37"
"","Colton Cross","Shorter","---","P","8","51.2","37"
"","Andrew Fiddler","Harding","Jr.","P","10","28.2","37"
"","Keith Little","Pfeiffer","Jr.","P","11","38.0","37"
"","Zak Mickens","Newman","Sr.","P","6","36.1","37"
"","Ricky Reeves","Central Okla.","Jr.","P","6","35.1","37"
"","Nikolay Uherek","Lee","Jr.","P","6","33.2","37"
"","Josh Weyker","West Tex. A&M","Sr.","P","7","46.0","37"
"95","Adrian Benitez","Barry","So.","P","8","45.0","36"
"","Brantley Claunch","North Ala.","Jr.","P","8","51.2","36"
"","Jeremy Coburn","Lenoir-Rhyne","Jr.","P","8","46.0","36"
"","Logan Cook","UNC Pembroke","So.","P","8","48.0","36"
"","Jacob French","Tarleton St.","Jr.","P","8","46.0","36"
"","Austin Gambrell","Erskine","Jr.","INF","7","39.2","36"
"","Brig Gerlich","Lubbock Christian","---","P","8","49.2","36"
