"Rank","Name","Team","Cl","Pos","G","SH"
"1","Brett Guzay","North Ala.","Jr.","INF","30","16"
"2","Derek Hackney","Pittsburg St.","Jr.","INF","25","11"
"3","Nolan Almodovar","Cal St. San B'dino","Sr.","P","24","10"
"","Byron Freitas","Hawaii Hilo","Fr.","INF","22","10"
"5","Jake Alexander","Central Mo.","So.","OF","22","9"
"","Alex Freedman","Lynn","Jr.","SS","29","9"
"","Scott Jones","St. Mary's (TX)","Jr.","OF","26","9"
"8","Evan Comeau","Ark.-Monticello","So.","INF","31","8"
"","Vinny Ferrara","Tusculum","Jr.","INF","29","8"
"","Yuto Kata","Dixie St.","Jr.","2B","30","8"
"","Chris Waylock","Tusculum","---","SS","28","8"
"12","Jabari Brown","Claflin","So.","INF","24","7"
"","Dustin Evans","Shorter","Sr.","INF","27","7"
"","Chase Harvey","Southern Ark.","Jr.","2B","24","7"
"","Evan Kirkpatrick","Carson-Newman","Jr.","OF","31","7"
"","Alex Lang","Ark.-Monticello","Sr.","INF","28","7"
"","Conner Oliver","Minot St.","Jr.","P","13","7"
"","Cody Ridinger","Urbana","Sr.","SS","12","7"
"","Tyler Roberts","GRU Augusta","Fr.","2B","28","7"
"","Cody Rogers","King (TN)","Fr.","INF","19","7"
"","Brandon Ruiz","Southwestern Okla.","Sr.","OF","26","7"
"","Dylan Watts","St. Edward's","So.","INF","29","7"
"","Derrik Zeroski","California (PA)","Sr.","INF","17","7"
"24","Josh Carpenter","North Ala.","Sr.","SS","31","6"
"","Noah Chandler","Harding","So.","INF","28","6"
"","Garrett Cook","King (TN)","Sr.","OF","33","6"
"","Toby Cornejo","Emporia St.","---","SS","25","6"
"","Tyler Crabtree","Central Okla.","Sr.","OF","24","6"
"","Anthony Delgado","Stillman","---","SS","25","6"
"","Adrian Garcia","St. Mary's (TX)","Sr.","OF","29","6"
"","Jay Gonzalez","Mount Olive","Sr.","OF","30","6"
"","Dylan Hanson","Central Mo.","So.","INF","18","6"
"","Matt Jervis","Point Loma","Fr.","3B","22","6"
"","Ty Johnson","Dixie St.","Sr.","C","27","6"
"","Todd Juliano","Flagler","Jr.","INF","28","6"
"","Caleb Kohlmeyer","Rogers St.","So.","INF","25","6"
"","Jordan Murai","Hawaii Hilo","Jr.","INF","19","6"
"","Sean Nearhoof","Hawaii Hilo","So.","C","20","6"
"","Beau Phillips","Mo. Southern St.","Sr.","OF","18","6"
"","Tim Rein","Charleston (WV)","Sr.","OF","17","6"
"","Tyler Richburg","West Ala.","Sr.","OF","25","6"
"","Dylan Riner","Shorter","---","CF","28","6"
"","Brandon Roberts","Carson-Newman","So.","3B","29","6"
"","Cutter Runte","St. Edward's","Jr.","OF","29","6"
"","Brandan Sheridan","Newberry","Jr.","INF","31","6"
"","Cody Sherlin","Armstrong","So.","INF","26","6"
"","Todd Standish","Minn. St. Mankato","Sr.","INF","19","6"
"","Michael Tittle","Fresno Pacific","Jr.","INF","27","6"
"","William Townsend","Southern Ark.","So.","OF","31","6"
"","Cesar Wong","Central Okla.","Sr.","INF","17","6"
"51","Kyle Bailey","Anderson (SC)","So.","INF","31","5"
"","Jordan Bernal","Okla. Panhandle","Sr.","OF","30","5"
"","Daniel Bodziak","Florida Tech","Sr.","OF","17","5"
"","Chris Bradshaw","Western Ore.","Sr.","OF","29","5"
"","Julian Bridges","Limestone","Sr.","SS","29","5"
"","Chris Brown","Stillman","So.","OF","28","5"
"","Wes Carswell","San Fran. St.","Fr.","INF","18","5"
"","Arturo Castro","Tex. A&M Int'l","---","2B","23","5"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","5"
"","Brendan Collins","Columbus St.","Jr.","OF","32","5"
"","Brandon Costa","Concord","Sr.","C","18","5"
"","Matt Costleigh","Bridgeport","Fr.","INF","18","5"
"","Dalton Daniels","Southwestern Okla.","Jr.","INF","26","5"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","5"
"","Corey Fields","Saint Augustine's","Fr.","C","21","5"
"","Michael Flores","Union (TN)","Jr.","SS","26","5"
"","Mike Forgione","Merrimack","So.","INF","15","5"
"","Taylor Foster","Tusculum","Sr.","INF","29","5"
"","Max Gagnon","UNC Pembroke","Sr.","C","18","5"
"","Michael Godinez","Wingate","Jr.","INF","28","5"
"","Tyler Hall","North Ala.","So.","INF","26","5"
"","Blake Hardegree","Northwest Mo. St.","Jr.","C","18","5"
"","Justin Harris","Emporia St.","Jr.","OF","25","5"
"","AJ Hermanson","St. Edward's","Jr.","OF","24","5"
"","Michael Hostetler","Fresno Pacific","Jr.","INF","27","5"
"","Peter Ives","Cal St. Dom. Hills","Sr.","3B","20","5"
"","Andrew Jacobi","Tarleton St.","So.","INF","15","5"
"","Brad Jelinek","Central Mo.","Fr.","INF","23","5"
"","T.K. Kiernan","Southern Conn. St.","Sr.","INF","15","5"
"","Garrett Kilgore","Tarleton St.","Sr.","INF","26","5"
"","Samuel Kim","Hawaii Hilo","Jr.","3B","21","5"
"","Jake Klauck","Tarleton St.","Sr.","INF","10","5"
"","Tyler Krekling","Concordia-St. Paul","Jr.","OF","12","5"
"","Drew Link","Walsh","Sr.","2B","21","5"
"","Joey Lupus","Armstrong","Jr.","OF","18","5"
"","Mario Maldonado","St. Mary's (TX)","Jr.","P","29","5"
"","Zack Mang","Southwestern Okla.","Sr.","OF","21","5"
"","Andrew Montoya","California Baptist","Jr.","SS","26","5"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","5"
"","Deven Nelson","Adams St.","Jr.","OF","22","5"
"","Mitchell Osburn","Mo. Southern St.","So.","C","25","5"
"","Joseph Paperella","Queens (NY)","Jr.","INF","10","5"
"","Rico Pena","Cal St. Dom. Hills","Sr.","C","15","5"
"","Isaac Perry","Tiffin","Fr.","INF","18","5"
"","Joey Pollet","Miles","Sr.","OF","24","5"
"","Logan Porter","Northwestern Okla.","Fr.","3B","26","5"
"","Peter Rajkovich","Carson-Newman","Sr.","SS","23","5"
"","Reggie Rodriguez","Angelo St.","Sr.","INF","26","5"
"","Nick Rodriguez","Tusculum","Jr.","INF","27","5"
"","Coby Roming","Neb.-Kearney","Jr.","INF","27","5"
"","Kaz Sanders","Cameron","Sr.","INF","24","5"
"","Chris Scura","Limestone","Jr.","SS","30","5"
"","Zac Stewart","Harding","So.","OF","26","5"
"","Jeremiah Tullidge","Tusculum","---","PH","23","5"
"","Jake Vore","Southwest Baptist","Jr.","1B","24","5"
"","Blake Walker","Cal St. Chico","Jr.","OF","20","5"
"","Harrison Waller","West Ga.","Jr.","INF","19","5"
"","Austin Walts","Ashland","Jr.","SS","20","5"
"","Austin White","Mo. Southern St.","Fr.","INF","18","5"
