year	division_id	division_text	ranking_id	ranking_text
2017	1	d1	18367	Thru Games 05/07/2017
2017	1	d1	18339	Thru Games 05/04/2017
2017	1	d1	18335	Thru Games 05/03/2017
2017	1	d1	18325	Thru Games 05/02/2017
2017	1	d1	18318	Thru Games 05/01/2017
2017	1	d1	18310	Thru Games 04/30/2017
2017	1	d1	18294	Thru Games 04/27/2017
2017	1	d1	18280	Thru Games 04/26/2017
2017	1	d1	18276	Thru Games 04/25/2017
2017	1	d1	18264	Thru Games 04/24/2017
2017	1	d1	18248	Thru Games 04/23/2017
2017	1	d1	18236	Thru Games 04/20/2017
2017	1	d1	18226	Thru Games 04/19/2017
2017	1	d1	18216	Thru Games 04/18/2017
2017	1	d1	18207	Thru Games 04/17/2017
2017	1	d1	18196	Thru Games 04/16/2017
2017	1	d1	18186	Thru Games 04/13/2017
2017	1	d1	18173	Thru Games 04/12/2017
2017	1	d1	18165	Thru Games 04/11/2017
2017	1	d1	18150	Thru Games 04/10/2017
2017	1	d1	18135	Thru Games 04/09/2017
2017	1	d1	18120	Thru Games 04/06/2017
2017	1	d1	18111	Thru Games 04/05/2017
2017	1	d1	18099	Thru Games 04/04/2017
2017	1	d1	18092	Thru Games 04/03/2017
2017	1	d1	18088	Thru Games 04/02/2017
2017	1	d1	18049	Thru Games 03/30/2017
2017	1	d1	18033	Thru Games 03/29/2017
2017	1	d1	18020	Thru Games 03/28/2017
2017	1	d1	18001	Thru Games 03/27/2017
2017	1	d1	17975	Thru Games 03/26/2017
2017	1	d1	17950	Thru Games 03/23/2017
2017	1	d1	17931	Thru Games 03/22/2017
2017	1	d1	17920	Thru Games 03/21/2017
2017	1	d1	17899	Thru Games 03/20/2017
2017	1	d1	17873	Thru Games 03/19/2017
2017	1	d1	17845	Thru Games 03/16/2017
2017	1	d1	17831	Thru Games 03/15/2017
2017	1	d1	17815	Thru Games 03/14/2017
2017	1	d1	17799	Thru Games 03/13/2017
2017	1	d1	17777	Thru Games 03/12/2017
2017	1	d1	17743	Thru Games 03/09/2017
2017	1	d1	17727	Thru Games 03/08/2017
2017	1	d1	17711	Thru Games 03/07/2017
2017	1	d1	17694	Thru Games 03/06/2017
2017	1	d1	17673	Thru Games 03/05/2017
2017	1	d1	17636	Thru Games 03/02/2017
2017	1	d1	17629	Thru Games 03/01/2017
2017	1	d1	17630	Thru Games 02/28/2017
2017	1	d1	17631	Thru Games 02/27/2017
2017	1	d1	17559	Thru Games 02/26/2017
2017	1	d1	17529	Thru Games 02/23/2017
2017	1	d1	17512	Thru Games 02/22/2017
2017	1	d1	17632	Thru Games 02/21/2017
2017	1	d1	17495	Thru Games 02/20/2017
2017	1	d1	17477	Thru Games 02/19/2017
2016	1	d1	17072	Thru Games 06/30/2016
2016	1	d1	15538	Thru Games 06/30/2016
2016	1	d1	17297	Thru Games 06/30/2016
2016	1	d1	15530	Thru Games 06/28/2016
2016	1	d1	15528	Thru Games 06/27/2016
2016	1	d1	15523	Thru Games 06/25/2016
2016	1	d1	15521	Thru Games 06/24/2016
2016	1	d1	15519	Thru Games 06/23/2016
2016	1	d1	15516	Thru Games 06/22/2016
2016	1	d1	15514	Thru Games 06/21/2016
2016	1	d1	15510	Thru Games 06/20/2016
2016	1	d1	15506	Thru Games 06/19/2016
2016	1	d1	15501	Thru Games 06/18/2016
2016	1	d1	15493	Thru Games 06/13/2016
2016	1	d1	15491	Thru Games 06/12/2016
2016	1	d1	15488	Thru Games 06/11/2016
2016	1	d1	15486	Thru Games 06/10/2016
2016	1	d1	15473	Thru Games 06/07/2016
2016	1	d1	15469	Thru Games 06/06/2016
2016	1	d1	15460	Thru Games 06/05/2016
2016	1	d1	15458	Thru Games 06/04/2016
2016	1	d1	15452	Thru Games 06/03/2016
2016	1	d1	15433	Thru Games 05/29/2016
2016	1	d1	15424	Thru Games 05/28/2016
2016	1	d1	15421	Thru Games 05/27/2016
2016	1	d1	15415	Thru Games 05/26/2016
2016	1	d1	15413	Thru Games 05/25/2016
2016	1	d1	15412	Thru Games 05/24/2016
2016	1	d1	15404	Thru Games 05/23/2016
2016	1	d1	15394	Thru Games 05/22/2016
2016	1	d1	15382	Thru Games 05/19/2016
2016	1	d1	15376	Thru Games 05/18/2016
2016	1	d1	15375	Thru Games 05/17/2016
2016	1	d1	15367	Thru Games 05/16/2016
2016	1	d1	15365	Thru Games 05/15/2016
2016	1	d1	15349	Thru Games 05/12/2016
2016	1	d1	15344	Thru Games 05/11/2016
2016	1	d1	15340	Thru Games 05/10/2016
2016	1	d1	15333	Thru Games 05/09/2016
2016	1	d1	15323	Thru Games 05/08/2016
2016	1	d1	15306	Thru Games 05/05/2016
2016	1	d1	15302	Thru Games 05/04/2016
2016	1	d1	15297	Thru Games 05/03/2016
2016	1	d1	15290	Thru Games 05/02/2016
2016	1	d1	15281	Thru Games 05/01/2016
2016	1	d1	15261	Thru Games 04/28/2016
2016	1	d1	15256	Thru Games 04/27/2016
2016	1	d1	15248	Thru Games 04/26/2016
2016	1	d1	15237	Thru Games 04/25/2016
2016	1	d1	15232	Thru Games 04/24/2016
2016	1	d1	15208	Thru Games 04/21/2016
2016	1	d1	15202	Thru Games 04/20/2016
2016	1	d1	15194	Thru Games 04/19/2016
2016	1	d1	15177	Thru Games 04/18/2016
2016	1	d1	15171	Thru Games 04/17/2016
2016	1	d1	15155	Thru Games 04/14/2016
2016	1	d1	15150	Thru Games 04/13/2016
2016	1	d1	15144	Thru Games 04/12/2016
2016	1	d1	15135	Thru Games 04/11/2016
2016	1	d1	15124	Thru Games 04/10/2016
2016	1	d1	15107	Thru Games 04/07/2016
2016	1	d1	15093	Thru Games 04/06/2016
2016	1	d1	15086	Thru Games 04/05/2016
2016	1	d1	15076	Thru Games 04/04/2016
2016	1	d1	15065	Thru Games 04/03/2016
2016	1	d1	15036	Thru Games 03/31/2016
2016	1	d1	15034	Thru Games 03/30/2016
2016	1	d1	15021	Thru Games 03/29/2016
2016	1	d1	15006	Thru Games 03/28/2016
2016	1	d1	14994	Thru Games 03/27/2016
