"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Michael Katz","William & Mary","Jr.","INF","22","47"
"2","Emmanuel Marrero","Alabama St.","Jr.","INF","29","35"
"3","Connor McKay","Kansas","Jr.","OF","24","34"
"4","Will Allen","Ole Miss","Sr.","INF","25","32"
"","A.J. Reed","Kentucky","Jr.","P","24","32"
"6","Jeff Gardner","Louisville","Sr.","OF","22","31"
"7","Michael Conforto","Oregon St.","Jr.","OF","24","30"
"","Skyler Ewing","Rice","Jr.","INF","25","30"
"","Chase Harris","New Mexico","Sr.","OF","25","30"
"","Nic Wilson","Georgia St.","Sr.","INF","24","30"
"11","Stryker Brown","Ga. Southern","Sr.","INF","25","29"
"","Bill Cullen","VCU","Sr.","OF","23","29"
"","Adam Martin","Western Caro.","Sr.","C","21","29"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","29"
"15","Drew Adams","Lipscomb","Sr.","OF","25","28"
"","Aaron Mizell","Ga. Southern","Jr.","OF","23","28"
"","Micheal Thomas","Kentucky","Sr.","C","22","28"
"18","Sasha LaGarde","Mercer","Sr.","OF","25","27"
"","Chris Marconcini","Duke","Jr.","INF","25","27"
"","Ryan McBroom","West Virginia","Sr.","1B","20","27"
"21","Jace Conrad","La.-Lafayette","Jr.","2B","24","26"
"","Tyler France","San Diego St.","So.","INF","23","26"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","26"
"","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","26"
"","Kevin Newman","Arizona","So.","INF","26","26"
"","Matt Tenaglia","James Madison","Sr.","1B","21","26"
"27","Matt Burgess","Arkansas St.","So.","INF","22","25"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","25"
"","Branden Castro","Alabama St.","So.","INF","29","25"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","25"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","25"
"","Brendon Hayden","Virginia Tech","Jr.","INF","22","25"
"","Connor Joe","San Diego","Jr.","INF","23","25"
"","Grant Kay","Louisville","Jr.","INF","23","25"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","25"
"","Chris Okey","Clemson","Fr.","C","23","25"
"","Francisco Tellez","UC Riverside","So.","1B","20","25"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","25"
"","Mike Warren","UTSA","Sr.","1B","24","25"
"40","Erik Barber","UCF","Jr.","OF","24","24"
"","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","24"
"","Tommy Cheek","Loyola Marymount","Sr.","INF","24","24"
"","Dylan Davis","Oregon St.","Jr.","OF","24","24"
"","Garrett Deschamp","Tulane","Jr.","INF","23","24"
"","Aramis Garcia","FIU","Jr.","C","24","24"
"","Sean Godfrey","Ball St.","Sr.","OF","24","24"
"","Chase Griffin","Ga. Southern","Jr.","C","25","24"
"","Hunter Haley","Oklahoma","So.","INF","22","24"
"","Jacob Hoyle","Western Caro.","Jr.","P","22","24"
"","Adam Kirsch","Texas Tech","Sr.","OF","25","24"
"","Louie Lechich","San Diego","Sr.","P","23","24"
"","Daniel Miles","Tennessee Tech","Sr.","3B","24","24"
"","John Nogowski","Florida St.","Jr.","1B","23","24"
"","Boo Vazquez","Pittsburgh","Jr.","OF","22","24"
"55","Jesse Baker","UTSA","So.","INF","24","23"
"","Daniel Dwyer","Illinois St.","So.","OF","21","23"
"","Trent Gilbert","Arizona","Jr.","INF","26","23"
"","Jordan Hopkins","Tennessee Tech","Jr.","C","21","23"
"","Tyler Huntey","Central Mich.","Jr.","INF","23","23"
"","Cody Leichman","Central Mich.","Jr.","1B","22","23"
"","Jimmy Luppens","Canisius","Sr.","1B","21","23"
"","Chase Raffield","Georgia St.","Sr.","OF","24","23"
"","Wes Rea","Mississippi St.","Jr.","1B","26","23"
"","Edwin Rios","FIU","So.","INF","24","23"
"","Brett Sullivan","Pacific","So.","SS","26","23"
"","Nick Torres","Cal Poly","Jr.","OF","23","23"
"","Carter Williamson","N.C. Central","Sr.","C","23","23"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","23"
"69","Josh Anderson","FIU","Sr.","INF","24","22"
"","Aaron Brown","Pepperdine","Jr.","OF","23","22"
"","Josiah Burney","Old Dominion","Sr.","INF","22","22"
"","Alex Close","Liberty","Jr.","C","24","22"
