"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Dave Gage","Southern Vt.","Sr.","2B","36","29"
"2","Tyler Babkiewich","Coast Guard","So.","SS","34","25"
"3","Jules Roussel","Millsaps","Jr.","OF","41","21"
"4","Jack Kavetski","DeSales","Jr.","OF","34","20"
"","Alex Monroe","Heidelberg","Sr.","C","36","20"
"6","Dennis Nover","St. Joseph's (L.I.)","Jr.","INF","36","19"
"","Andy Powell","Hamline","Sr.","INF","31","19"
"8","Luke Saunders","Chris. Newport","Jr.","INF","44","18"
"9","Chris Martin","Hampden-Sydney","Sr.","SS","40","17"
"","Trevor Popp","North Park","Sr.","OF","35","17"
"","Greg Van Horn","Wooster","Sr.","INF","34","17"
"12","Jonathan Basinski","Dominican (IL)","Fr.","INF","31","16"
"","Jake Chaplin","Haverford","Jr.","1B","40","16"
"","Jake Cintolo","Suffolk","Fr.","3B","39","16"
"","Travis Jonasson","Babson","Jr.","INF","38","16"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","16"
"","Jimmy Madden","Whitman","Fr.","OF","35","16"
"18","Andy Athans","North Park","Sr.","OF","35","15"
"","Brian Benander","John Carroll","Sr.","3B","31","15"
"","Steven Keener","Chris. Newport","So.","INF","37","15"
"","Bryan Sayers","Johnson & Wales (RI)","Sr.","OF","41","15"
"22","Lance Bull","SUNYIT","Sr.","INF","28","14"
"","Michael Cameron","Swarthmore","Jr.","1B","33","14"
"","Nick Fazzari","Chicago","Sr.","INF","21","14"
"","Patrick Grau","Wartburg","Sr.","OF","34","14"
"","Ryan Konsler","John Carroll","So.","OF","30","14"
"","Rory McTear","Swarthmore","So.","OF","34","14"
"","Troy Newman","Chapman","Fr.","INF","34","14"
"","Prateek Thaman","St. Joseph's (L.I.)","Jr.","OF","35","14"
"30","Brad Blum","Buena Vista","Sr.","INF","33","13"
"","Tom Clarke","Rutgers-Camden","Sr.","OF","36","13"
"","Derek Dettorre","Wesleyan (CT)","Sr.","INF","23","13"
"","Elliot Kilgore","Daniel Webster","So.","INF","32","13"
"","Matt McManemin","Concordia (TX)","Jr.","INF","41","13"
"","John McManus","Mt. St. Vincent","Sr.","C","36","13"
"","Brandon Nutini","Thomas More","So.","OF","28","13"
"","Donovan Petta","La Verne","Sr.","OF","38","13"
"","Jonathan Reilly","Emory","Jr.","SS","41","13"
"","Kyle Savo","Western Conn. St.","Jr.","C","26","13"
"","Dylan Smith","East. Mennonite","Jr.","C","36","13"
"","Andy White","Austin","Sr.","SS","32","13"
"42","Trevor Allred","Dallas","So.","INF","33","12"
"","Jason Brooke","Widener","Sr.","3B","34","12"
"","Jeff Butera","Haverford","Sr.","OF","38","12"
"","Matt Capone","Salve Regina","Sr.","OF","32","12"
"","Angel Carrasco","North Park","Sr.","INF","29","12"
"","Daniel Chaisson","Framingham St.","Sr.","C","34","12"
"","William Chapman","Gallaudet","Jr.","OF","41","12"
"","Rob Coe","Wis.-Whitewater","Sr.","C","32","12"
"","Dan Cook","Southern Vt.","Sr.","C","33","12"
"","Kyle Cyprysiak","Maryville (TN)","Sr.","INF","40","12"
"","James DiBiasio","Ohio Wesleyan","Jr.","2B","38","12"
"","Mike Domenick","North Park","Sr.","INF","35","12"
"","Ben Gardner","DePauw","Sr.","INF","38","12"
"","Chris Guinn","Gallaudet","Fr.","INF","42","12"
"","Eric Hansen","Allegheny","So.","OF","30","12"
"","Dan Johanson","Pacific Lutheran","Sr.","OF","32","12"
"","Mike Kerdock","Mississippi Col.","Jr.","INF","41","12"
