"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Trea Turner","North Carolina St.","Fr.","INF","42","41","2"
"2","Jamodrick McGruder","Texas Tech","Jr.","INF","45","34","5"
"3","Michael Faulkner","Arkansas St.","Jr.","OF","40","33","1"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","33","5"
"","Jonathan Murphy","Jacksonville","Sr.","OF","45","33","6"
"6","Richard Amion","Alabama St.","Fr.","OF","44","30","4"
"","Brandyn Crutcher","Alabama A&M","Fr.","OF","47","30","7"
"8","Shane Brown","Charlotte","Sr.","OF","39","29","2"
"","Travis Jankowski","Stony Brook","Jr.","OF","44","29","4"
"10","Adam Engel","Louisville","So.","OF","36","28","1"
"","Chris Wolfe","Grambling","Sr.","INF","41","28","4"
"12","Hector Crespo","Appalachian St.","Jr.","INF","41","27","1"
"","Ian Miller","Wagner","So.","OF","46","27","6"
"","Glen Walker","Jackson St.","Sr.","INF","41","27","8"
"15","Wynton Bernard","Niagara","Sr.","OF","39","26","5"
"","Patrick Biondi","Michigan","Jr.","OF","44","26","9"
"","Brian Blasik","Dayton","Sr.","INF","45","26","3"
"","Jimmy Brenneman","Campbell","Sr.","OF","45","26","2"
"","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","26","10"
"20","E. Cheatham","Mississippi Val.","---","2B","46","25","5"
"","Danny Poma","Hofstra","Sr.","OF","42","25","8"
"","Eric Stamets","Evansville","Jr.","INF","44","25","6"
"23","Marty Gantt","Col. of Charleston","Sr.","OF","44","24","5"
"","Ian Parmley","Liberty","Sr.","OF","48","24","4"
"","Matt Wessinger","St. John's (NY)","Sr.","2B","44","24","1"
"26","Michael Lowe","Mississippi Val.","Sr.","OF","44","23","5"
"","Kirby Pellant","Ohio St.","Jr.","INF","44","23","4"
"","Anthony Vega","Manhattan","Jr.","OF","43","23","1"
"29","Will Callaway","Appalachian St.","Jr.","INF","41","22","4"
"","Ryan Cowhey","Western Ill.","Sr.","OF","42","22","1"
"","Ethan Newton","Ohio","Sr.","OF","43","22","6"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","22","2"
"","Tim Ryan","Oakland","Sr.","OF","42","22","6"
"","Jamison Wells","Northern Ill.","Jr.","INF","41","22","6"
"35","Jordan Buckley","Northwestern St.","Jr.","OF","36","21","3"
"","Larry Cornelia","Fairfield","Sr.","INF","42","21","2"
"","Bobby Glover","Dayton","Sr.","OF","45","21","5"
"","Jay Gonzalez","Auburn","So.","OF","44","21","4"
"","Casey Goss","James Madison","Jr.","SS","45","21","6"
"","Ross Kivett","Kansas St.","So.","INF","45","21","3"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","21","2"
"","Ben McQuown","Campbell","Jr.","OF","45","21","3"
"","Dalton Rouleau","Hofstra","Jr.","INF","36","21","5"
"44","Les Aulds","La.-Monroe","Sr.","OF","44","20","7"
"","Eddie Brown","Wagner","Sr.","INF","40","20","1"
"","Billy Ferriter","Connecticut","Jr.","OF","41","20","5"
"","Matt Richard","Nicholls St.","Jr.","OF","38","20","3"
"48","Willie Argo","Illinois","Sr.","OF","43","19","4"
"","Barrett Barnes","Texas Tech","Jr.","OF","47","19","1"
"","Bobby Boyd","West Virginia","Fr.","OF","42","19","2"
"","Chris Burke","Iona","Sr.","INF","43","19","8"
"","Joe Corfman","Toledo","Sr.","INF","44","19","1"
"","Zach Costello","Radford","Sr.","OF","42","19","5"
"","Justin Cureton","Indiana","Jr.","OF","45","19","2"
"","Andrew Guillotte","McNeese St.","Fr.","INF","41","19","3"
"","Chad Hinshaw","Illinois St.","Jr.","OF","38","19","3"
"","Justin Maffei","San Francisco","Jr.","OF","47","19","4"
"","Ronnie Richardson","UCF","Jr.","OF","44","19","6"
"","Troy Summers","Kent St.","So.","OF","38","19","4"
"","Tanner Witt","Kansas St.","Jr.","INF","44","19","1"
"61","Pat Blair","Wake Forest","Jr.","INF","45","18","3"
"","Brian Bowman","La.-Lafayette","Sr.","OF","40","18","5"
"","Ryan Cusick","Massachusetts","So.","2B","30","18","4"
"","Harold Earls","Army","Fr.","INF","45","18","9"
"","Jacob May","Coastal Caro.","So.","OF","35","18","5"
"","Brendan McGaheran","Lehigh","Sr.","SS","49","18","1"
"","Josh Melendez","New Mexico","Jr.","INF","43","18","1"
"","Nate Moorhouse","Mercer","So.","2B","46","18","6"
"","Austin Nyman","Hofstra","Jr.","OF","39","18","2"
"","Ali Rodriguez","NYIT","Jr.","INF","23","18","1"
"","Scooter Williams","Ga. Southern","Jr.","OF","45","18","3"
"72","Isaac Ballou","Marshall","Jr.","OF","43","17","7"
"","Cameron Bentley","UALR","Sr.","OF","42","17","4"
"","Andrew Cain","UNC Wilmington","Sr.","INF","43","17","3"
"","Jeff Cammans","Rhode Island","Sr.","OF","45","17","5"
"","Justyn Carter","Saint Peter's","Sr.","INF","32","17","3"
"","Jonathan Davis","Central Ark.","So.","INF","40","17","5"
"","Troy Drummond","Delaware St.","Sr.","OF","43","17","4"
"","Zach Granite","Seton Hall","So.","OF","34","17","1"
"","Jarrett Higgins","Oklahoma St.","Jr.","OF","35","17","5"
"","Brashad Johnson","Bethune-Cookman","Sr.","SS","43","17","2"
"","Robert Loftus","NYIT","Jr.","OF","37","17","6"
"","Justin Mackert","Citadel","Sr.","INF","44","17","5"
"","Creede Simpson","Auburn","Sr.","OF","44","17","7"
"","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","17","7"
"","Will Watson","Northwestern St.","Jr.","1B","41","17","3"
"87","Michael Bass","UNC Wilmington","Jr.","INF","43","16","2"
"","Krey Bratsen","Texas A&M","So.","OF","44","16","5"
"","Ben Crumpton","UALR","So.","INF","33","16","1"
"","Taylor Doggett","Wichita St.","Fr.","OF","38","16","3"
"","Chris Famiglietti","Rhode Island","Jr.","C","41","16","5"
"","C.J. Gillman","Dayton","Sr.","INF","45","16","2"
"","Andrew Green","East Tenn. St.","Jr.","OF","43","16","6"
"","Kevin Hall","Wichita St.","Sr.","OF","45","16","8"
"","Cody Hudson","Austin Peay","Jr.","OF","37","16","4"
"","John Murphy","Sacred Heart","Jr.","INF","38","16","4"
"","Brent Ohrman","Eastern Mich.","Sr.","INF","40","16","5"
"","Taylor Ratliff","Jacksonville","So.","INF","31","16","3"
"","Mikey Reynolds","Texas A&M","Jr.","INF","44","16","2"
"","Jeff Roy","Rhode Island","So.","OF","45","16","4"
"","Mel Skochdopole","Dayton","So.","INF","36","16","1"
"102","Mike Barba","Nicholls St.","Jr.","OF","40","15","4"
"","Forrest Brandt","Davidson","So.","OF","41","15","3"
"","Eric Brenk","Wofford","So.","INF","43","15","5"
"","Ryan Brenner","Miami (OH)","Sr.","OF","45","15","4"
"","Darien Campbell","Savannah St.","Jr.","2B","43","15","5"
"","Matt Campbell","UNC Wilmington","Sr.","INF","42","15","1"
"","Eric Charles","Purdue","Sr.","INF","40","15","3"
"","Allen Cheek","Mississippi Val.","Sr.","OF","41","15","2"
"","Matt Ford","Hofstra","Jr.","INF","39","15","9"
"","Alex Friedrich","UCF","Sr.","OF","44","15","2"
"","Juluis Green","Savannah St.","Sr.","INF","41","15","6"
"","Drew Helenihi","Northwestern St.","Sr.","OF","41","15","4"
"","Matt Juengel","Texas A&M","Sr.","INF","44","15","2"
"","Don Lambert","Wichita St.","Sr.","OF","45","15","4"
"","Zac Mitchell","Belmont","Sr.","INF","44","15","3"
"","Will Muzika","Furman","Jr.","2B","42","15","2"
"","Michael O'Neill","Michigan","So.","OF","29","15","3"
"","Andre Oliver","Prairie View","Jr.","INF","41","15","0"
"","Derrick Thomas","Memphis","So.","OF","40","15","4"
"","Brandon Turner","Bethune-Cookman","Jr.","OF","41","15","4"
"","Mark Zagunis","Virginia Tech","Fr.","C","40","15","5"
"123","Vinnie Booker","Western Mich.","So.","OF","40","14","4"
"","Ryan Brown","William & Mary","Jr.","OF","45","14","3"
"","Blake Brown","Missouri","Jr.","OF","41","14","4"
"","Jake Brown","Kansas St.","Sr.","INF","43","14","7"
"","L Brumfield","Mississippi Val.","---","SS","46","14","4"
"","Nick Camastro","Manhattan","Jr.","INF","42","14","4"
"","Joe Ciamacco","Ohio St.","Jr.","OF","31","14","0"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","14","3"
"","Carter DeBoe","IPFW","So.","OF","44","14","2"
"","Anthony Flenoy","Texas Southern","Sr.","OF","41","14","1"
"","Jeff Gelalich","UCLA","Jr.","OF","40","14","3"
"","Jordan Hagel","Maryland","Jr.","OF","47","14","3"
"","Josh Johnson","Bethune-Cookman","So.","OF","41","14","2"
"","Jared King","Kansas St.","So.","OF","43","14","4"
"","Aneko Knowles","Jackson St.","Sr.","OF","40","14","3"
"","Justin Lesson","Georgetown","Jr.","OF","41","14","6"
"","Thomas Lindauer","Illinois","So.","INF","42","14","8"
"","Ryan Lindemuth","William & Mary","So.","INF","45","14","5"
"","Alex Maldonado","Holy Cross","Jr.","INF","49","14","6"
"","Matthew Murakami","George Washington","Sr.","INF","45","14","5"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","14","4"
"","Jake Proctor","Cincinnati","Jr.","OF","42","14","5"
"","Erik Ross","Oklahoma","Sr.","OF","37","14","5"
"","Tyler Sciacca","Villanova","Sr.","SS","45","14","4"
"","Tyler Sibley","Texas St.","Sr.","INF","42","14","6"
"","Darnell Sweeney","UCF","Jr.","INF","44","14","7"
"","Sean Wilson","High Point","Jr.","OF","38","14","7"
"","Josh Wright","Old Dominion","Sr.","INF","43","14","2"
