"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Hunter Burton","Furman","Sr.","INF","24","19","3"
"2","Nick Regnier","Central Mich.","Jr.","OF","23","18","0"
"3","Sean Beesley","Illinois St.","So.","OF","21","17","4"
"4","Moses Charles","Alcorn","So.","INF","24","16","2"
"","Ben Crumpton","UALR","Sr.","OF","21","16","1"
"","Jake Noll","FGCU","Fr.","INF","24","16","2"
"7","Gavin Golsan","Jacksonville St.","So.","INF","21","15","1"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","15","1"
"9","Devan Ahart","Akron","Jr.","OF","19","14","1"
"","Cody Jones","TCU","Jr.","OF","23","14","1"
"","Jordan Lee","A&M-Corpus Christi","Jr.","OF","25","14","2"
"","Ben Morgan","Ga. Southern","Sr.","INF","25","14","1"
"","Darien Tubbs","Memphis","Fr.","OF","23","14","1"
"","Sutton Whiting","Louisville","Jr.","INF","17","14","0"
"15","Brandon Angus","VMI","Jr.","OF","22","13","3"
"","Mason Davis","Citadel","Jr.","INF","23","13","5"
"","Tanner Dearman","Wichita St.","So.","INF","21","13","2"
"","Tyler Grogg","Toledo","Sr.","OF","20","13","3"
"","Seth Neely","Wofford","Sr.","INF","24","13","3"
"","Evan Ocello","Holy Cross","Jr.","OF","19","13","2"
"21","Bobby Boyd","West Virginia","Jr.","OF","20","12","0"
"","Steven Duggar","Clemson","So.","OF","23","12","1"
"","Chris Godinez","Bradley","So.","INF","17","12","3"
"","Andrew Guillotte","McNeese St.","Jr.","OF","22","12","2"
"","Tyler Hibbert","FIU","Sr.","OF","24","12","2"
"","Ryan Hill","N.C. A&T","Jr.","OF","22","12","3"
"","Clay Holcomb","Troy","Jr.","OF","24","12","2"
"","Josh Hyman","Wofford","Sr.","INF","23","12","1"
"","Will Krug","Illinois","Jr.","OF","21","12","2"
"","Isaac Smith","Bradley","Jr.","OF","19","12","1"
"","Jake Yacinich","Iowa","Jr.","SS","20","12","2"
"32","Richard Amion","Alabama St.","Jr.","OF","29","11","5"
"","Eric Brenk","Wofford","Sr.","INF","24","11","1"
"","Austin Cousino","Kentucky","Jr.","OF","24","11","0"
"","Robert Currie","Navy","So.","OF","23","11","1"
"","Landon Curry","Indiana St.","Jr.","OF","20","11","2"
"","Grant Kay","Louisville","Jr.","INF","23","11","0"
"","Scott Kingery","Arizona","So.","INF","26","11","3"
"","Peter Maris","UC Santa Barbara","Jr.","INF","20","11","1"
"","Nick Richter","Rider","Jr.","3B","20","11","3"
"","Dansby Swanson","Vanderbilt","So.","INF","25","11","2"
"","Brandon Wilkerson","N.C. A&T","Jr.","OF","22","11","2"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","11","3"
"44","Kyle Barrett","Kentucky","So.","OF","23","10","2"
"","Quinn Bower","Elon","Jr.","OF","23","10","2"
"","Joe Chavez","UC Riverside","Jr.","INF","20","10","2"
"","Nick Crescenzo","Rider","Sr.","OF","19","10","1"
"","Jon Crucitti","Army","Sr.","OF","20","10","1"
"","Andrew Daniel","San Diego","Jr.","INF","22","10","2"
"","Harold Earls","Army","Jr.","INF","20","10","1"
"","Sean Godfrey","Ball St.","Sr.","OF","24","10","1"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","10","0"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","10","2"
"","Saige Jenco","Virginia Tech","Fr.","OF","21","10","4"
"","Demetrius Jennings","Wofford","So.","INF","24","10","2"
"","Lance Jones","Southern U.","Jr.","OF","16","10","3"
"","Gage Morey","FGCU","Fr.","OF","23","10","2"
"","Kevin Newman","Arizona","So.","INF","26","10","3"
"","Ryan Raslowsky","Cal St. Northridge","Jr.","INF","22","10","5"
"","Logan Regnier","Central Mich.","So.","OF","23","10","3"
"","Jake Romano","Miami (OH)","So.","OF","20","10","4"
"","Blake Schmit","Maryland","Sr.","SS","22","10","3"
"","Nick Sinay","Buffalo","So.","OF","16","10","0"
"","Trevin Sonnier","Dallas Baptist","So.","INF","23","10","3"
"","Bradley Strong","Western Caro.","Jr.","INF","22","10","3"
"","Jordan Stroschein","Chicago St.","Jr.","OF","19","10","3"
"","Cole Sturgeon","Louisville","Sr.","OF","23","10","3"
"","Charles Tillery","Jackson St.","Sr.","OF","23","10","1"
"","Luke Willis","George Mason","Jr.","OF","21","10","0"
"70","Greg Allen","San Diego St.","Jr.","OF","23","9","2"
"","Carl Anderson","Bryant","Jr.","OF","18","9","1"
"","David Andriese","UC Riverside","Sr.","OF","20","9","2"
"","Aaron Attaway","Western Caro.","Sr.","INF","22","9","0"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","9","0"
"","Michael Bozarth","Saint Louis","So.","OF","21","9","2"
"","Anthony Cheky","Michigan St.","Jr.","OF","20","9","1"
