"Rank","Name","Team","Cl","Pos","G","SF"
"1","Brian Reutter","Old Westbury","Sr.","2B","38","8"
"2","Will Benenson","Frank. & Marsh.","So.","INF","38","7"
"","Dan Haugh","Wheaton (MA)","Sr.","INF","36","7"
"","T.J. Martin","Texas-Tyler","Jr.","3B","43","7"
"","Wes Meadows","Otterbein","Jr.","3B","36","7"
"","Kyle Morrill","Keene St.","Sr.","OF","29","7"
"","Jake Nicholson","Rockford","Sr.","INF","32","7"
"","Anthony Orsano","Old Westbury","Sr.","C","39","7"
"","Scott Renauro","Eastern","Sr.","INF","34","7"
"","Mike Rubino","Western New Eng.","Jr.","INF","38","7"
"","Andrew Thames","Hendrix","Sr.","C","35","7"
"","Alex Weinstein","New Jersey City","So.","1B","39","7"
"","Alex Wirta","Carleton","Sr.","INF","33","7"
"","Ryan Zielinski","Castleton","Jr.","2B","44","7"
"15","Adam Ariola","Central (IA)","So.","INF","37","6"
"","Kyle Bosquez","Ripon","Jr.","INF","29","6"
"","Alex Chetelat","Newbury","Sr.","P","40","6"
"","Kevin Clements","Trinity (TX)","Jr.","INF","44","6"
"","Sam Farnell","Wesley","Jr.","INF","41","6"
"","Bobby Hartman","Waynesburg","Jr.","INF","36","6"
"","Jr Jarrell","Whitworth","Sr.","INF","40","6"
"","Aaron Krummrich","MacMurray","Fr.","-","29","6"
"","Jack MacVane","Me.-Farmington","Sr.","C","36","6"
"","Billy Miller","Babson","Sr.","OF","37","6"
"","Mikee Moore","Maryville (TN)","Jr.","OF","38","6"
"","Ryan Mullin","Benedictine (IL)","So.","INF","37","6"
"","Erik Munzer","Pomona-Pitzer","Jr.","OF","36","6"
"","Cody Muren","LaGrange","Jr.","INF","43","6"
"","Zachary Nadolny","St. Mary's (MD)","Fr.","P","36","6"
"","Ethan Rieker","Susquehanna","Sr.","INF","39","6"
"","Joe Robinson","North Central (MN)","Jr.","SS","33","6"
"","John Rolewicz","Washington Col.","Sr.","C","36","6"
"","Kurt Schmidt","Augustana (IL)","Jr.","INF","36","6"
"","Cam Stephens","Concordia Chicago","Sr.","OF","36","6"
"","Nick Stoia","Franklin","Jr.","INF","33","6"
"","Chase Tucker","Redlands","Sr.","SS","35","6"
"","Brett VanAsdlen","Aurora","Sr.","1B","37","6"
"","Stephen Williams","Chicago","Sr.","INF","33","6"
"39","John Adornetto","SUNY Cortland","Jr.","SS","38","5"
"","Doug Anuszewski","Frostburg St.","Sr.","INF","38","5"
"","Nick Beall","Shenandoah","Jr.","OF","37","5"
"","William Bissell","Gallaudet","So.","OF","42","5"
"","Will Byrd","Guilford","So.","C","27","5"
"","Vinnie Carminati","Mt. St. Mary (NY)","So.","OF","38","5"
"","Josh Chasse","Daniel Webster","Jr.","OF","37","5"
"","Donnie Cimino","Wesleyan (CT)","Fr.","OF","35","5"
"","Tim Clark","Western New Eng.","Jr.","INF","38","5"
"","Nick Conti","Salem St.","So.","SS","39","5"
"","Dominick Courcy","Pacific Lutheran","So.","OF","34","5"
"","Lenny Cunzalo","Dominican (IL)","Sr.","INF","38","5"
"","Jordan Dague","Case","So.","OF","39","5"
"","Ross Danzig","Scranton","Fr.","1B","21","5"
"","Nick Dean","Maryville (TN)","So.","P","38","5"
"","Sean Ferguson","Manhattanville","Jr.","C","34","5"
