"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Sean Newcomb","Hartford","Jr.","P","5","32.2","1","0","0.00"
"2","Michael Murray","FGCU","So.","P","6","44.2","8","1","0.20"
"3","Aaron Nola","LSU","Jr.","P","6","40.1","1","1","0.22"
"4","Ryan Thompson","Campbell","Sr.","P","15","36.1","4","1","0.25"
"5","Spencer Turnbull","Alabama","Jr.","P","6","32.0","3","1","0.28"
"6","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","2","1","0.33"
"7","Morgan Pittman","Mercer","Jr.","P","16","25.1","3","1","0.36"
"8","Brent Jurceka","Evansville","So.","P","8","20.2","1","1","0.44"
"9","Grant Gunning","Seattle","So.","P","7","18.0","3","1","0.50"
"10","Chance Sinclair","Nebraska","Jr.","P","6","35.1","8","2","0.51"
"11","Caleb Wallingford","Memphis","Jr.","P","7","34.2","6","2","0.52"
"12","Jared Lyons","Liberty","Jr.","P","8","34.1","4","2","0.52"
"13","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","2","2","0.59"
"14","Andrew Morales","UC Irvine","Sr.","P","6","43.2","6","3","0.62"
"15","Anthony Parenti","Navy","Jr.","P","6","42.2","4","3","0.63"
"16","Chris Ellis","Ole Miss","Jr.","P","6","40.1","6","3","0.67"
"17","Jared Gaynor","George Mason","Sr.","P","7","51.2","8","4","0.70"
"18","Keegan Thompson","Auburn","Fr.","P","6","46.1","6","4","0.78"
"19","Kaleb Jon Fontenot","McNeese St.","So.","P","7","22.2","3","2","0.79"
"20","Matt Meurer","Villanova","Sr.","P","10","21.1","3","2","0.84"
"21","Matt Ditman","Rice","So.","C","10","31.2","3","3","0.85"
"","Christopher Mourelle","FIU","Fr.","P","7","31.2","5","3","0.85"
"23","Ryan Williams","East Carolina","Sr.","P","14","41.0","6","4","0.88"
"24","Kevin Archbold","Albany (NY)","Sr.","P","3","20.0","6","2","0.90"
"","Cameron Roegner","Bradley","So.","P","6","20.0","2","2","0.90"
"","Jesse Frawley","Central Conn. St.","Jr.","P","2","10.0","1","1","0.90"
"27","Taylor Byrd","Nicholls St.","Sr.","P","6","39.2","6","4","0.91"
"","A.J. Ladwig","Wichita St.","Jr.","P","6","39.2","6","4","0.91"
"29","Dan Savas","Illinois St.","Jr.","P","6","39.0","8","4","0.92"
"30","Jake Lemoine","Houston","So.","P","6","38.2","6","4","0.93"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","5","3","0.93"
"32","Matt Fraudin","Gardner-Webb","Jr.","P","7","48.0","11","5","0.94"
"33","Anthony Montefusco","George Mason","Sr.","P","6","38.0","5","4","0.95"
"34","Tanner Tully","Ohio St.","Fr.","P","7","28.0","9","3","0.96"
