"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Nicholas O'Brien","Clark (MA)","So.","OF","13","13"
"2","Mitch Geers","Marietta","Jr.","OF","15","12"
"3","Caleb Moore","Cairn","So.","C","12","11"
"4","Alex Holbert","Elizabethtown","Jr.","OF","16","10"
"","Ryan Kelly","Salve Regina","So.","OF","14","10"
"","Chase Magsig","Gallaudet","So.","OF","17","10"
"","John McLain","Wooster","Jr.","INF","12","10"
"","Eric Monroe","Heidelberg","Jr.","INF","17","10"
"","Sal Sciara","Southern Vt.","Jr.","OF","13","10"
"","Dusty Tyson","Berry","So.","OF","21","10"
"11","Kyle Buckham","Whitman","Sr.","OF","25","9"
"","Thomas Gier","Concordia Chicago","Sr.","DH","11","9"
"","Pete Grasso","Salisbury","Fr.","INF","19","9"
"","Estevan Hernandez","Concordia (TX)","Sr.","INF","18","9"
"","Eddie McGrath","Ferrum","Sr.","INF","18","9"
"","Trevor Oldham","Heidelberg","Jr.","INF","17","9"
"17","Ralph Aurora","Ursinus","Sr.","INF","12","8"
"","Manny Cabral","Daniel Webster","---","1B","12","8"
"","Justin Cana","Cal Lutheran","So.","OF","18","8"
"","Doug Carter","Rutgers-Camden","Fr.","OF","11","8"
"","Nick Clary","Catholic","Jr.","INF","17","8"
"","Kyle Connors","Curry","Jr.","OF","12","8"
"","Rick DiDomenico","Immaculata","So.","OF","11","8"
"","Pedro Espinoza","La Verne","Jr.","INF","18","8"
"","Derek Ferch","Spalding","Sr.","SS","13","8"
"","Wade Hauser","Tufts","Jr.","INF","12","8"
"","Robert Loewe","Mary Hardin-Baylor","Sr.","INF","18","8"
"","Taylor McCracken","Birmingham-So.","So.","INF","23","8"
"","Keith Shumaker","Millsaps","Jr.","INF","23","8"
"","Tyler Smarslok","Kean","Sr.","INF","16","8"
"","Rob Trenk","Brandeis","Jr.","INF","14","8"
"","Derrik Walling","Bridgewater (VA)","Jr.","OF","18","8"
