"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Trevor Bauer","UCLA","Jr.","P","11","91.7","142"
"2","Danny Hultzen","Virginia","Jr.","P","11","75.7","112"
"3","Kurt Heyer","Arizona","So.","P","14","91.3","97"
"4","Charlie Lowell","Wichita St.","Jr.","P","12","72.0","95"
"5","Tyler Anderson","Oregon","Jr.","P","11","83.3","92"
"6","Alex Meyer","Kentucky","Jr.","P","11","78.7","91"
"7","Greg Gonzalez","Fresno St.","Sr.","P","11","73.7","88"
"","Cory Mazzoni","North Carolina St.","Jr.","P","11","77.0","88"
"9","Sean Gilmartin","Florida St.","Jr.","P","12","79.0","87"
"","John Stilson","Texas A&M","Jr.","P","12","79.0","87"
"","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","87"
"","Kyle Winkler","TCU","Jr.","P","11","79.3","87"
"13","Sonny Gray","Vanderbilt","Jr.","P","11","75.3","86"
"14","Corey Maines","Illinois St.","Sr.","P","11","68.3","85"
"15","Andrew Chafin","Kent St.","Jr.","P","10","63.3","83"
"","Tanner Peters","UNLV","Jr.","P","11","87.0","83"
"","Carson Smith","Texas St.","Jr.","P","11","73.3","83"
"18","Ryan Carpenter","Gonzaga","Jr.","P","11","74.7","82"
"","Kyle Hald","Old Dominion","Sr.","P","10","68.7","82"
"20","Jed Bradley","Georgia Tech","Jr.","P","11","69.3","81"
"","Gerrit Cole","UCLA","Jr.","P","11","75.7","81"
"","Taylor Jungmann","Texas","Jr.","P","11","89.7","81"
"23","Paul Cusick","Penn","Sr.","P","11","66.7","80"
"","Quintavious Drains","Jackson St.","Jr.","P","13","75.0","80"
"","Jonas Dufek","Creighton","Sr.","P","12","73.3","80"
"26","Charlie Cononie","Towson","Sr.","P","11","64.3","79"
"","Trent Howard","Central Mich.","Jr.","P","11","70.0","79"
"","Mason Radeke","Cal Poly","Jr.","P","11","74.0","79"
"","Tyler Wilson","Virginia","Sr.","P","11","66.3","79"
"30","James Crockett","Southern Utah","Sr.","P","12","60.0","78"
"","Cameron Hobson","Dayton","Jr.","P","12","74.7","78"
"","Chris Lamb","Davidson","Jr.","P","11","71.3","78"
"","Marc Zecchino","Virginia Tech","Jr.","P","11","64.0","78"
"34","Logan Billbrough","William & Mary","Sr.","P","11","75.7","77"
"","Esterlin Paulino","N.C. A&T","Jr.","P","12","84.0","77"
"36","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","76"
"","Mike McCarthy","CSU Bakersfield","Sr.","P","12","87.7","76"
"","Justin Meza","A&M-Corpus Christi","Fr.","P","13","63.0","76"
"","Tyler Pill","Cal St. Fullerton","Jr.","P","11","70.0","76"
"","David Starn","Kent St.","Jr.","P","11","73.0","76"
"","Michael Wacha","Texas A&M","So.","P","11","77.0","76"
"42","Kyle McMyne","Villanova","Jr.","P","11","62.7","73"
"","Anthony Meo","Coastal Caro.","Jr.","P","11","70.3","73"
"","Desmond Russell","Jackson St.","Fr.","INF","11","71.3","73"
"","Logan Verrett","Baylor","Jr.","P","12","71.3","73"
"","Terrance Washington","Jackson St.","Sr.","P","11","61.7","73"
"47","Cody Allen","High Point","Jr.","P","10","67.3","72"
"","Matt Barnes","Connecticut","Jr.","P","11","83.0","72"
"","Buck Farmer","Georgia Tech","So.","P","11","71.3","72"
"","Andrew Gagnon","Long Beach St.","Jr.","P","11","72.3","72"
"","Cole Green","Texas","Sr.","P","12","65.3","72"
"","Bobby Lucas Jr.","George Washington","Sr.","P","11","54.0","72"
"","Damon McCormick","Valparaiso","Sr.","P","11","79.0","72"
"","Mark Pope","Georgia Tech","Jr.","P","11","86.3","72"
"","Michael Roth","South Carolina","Jr.","P","12","79.7","72"
"56","Chris Beck","Ga. Southern","So.","P","14","67.7","71"
"","Kyle Hansen","St. John's (NY)","So.","P","11","69.7","71"
"","Garrett Harris","South Ala.","Sr.","P","11","81.3","71"
"","Dan Langfield","Memphis","So.","P","11","61.0","71"
"","Noe Ramirez","Cal St. Fullerton","Jr.","P","9","61.7","71"
"","Matthew Reckling","Rice","Jr.","P","11","54.0","71"
"","T.J. Walz","Kansas","Sr.","P","12","72.7","71"
"63","Adam Conley","Washington St.","Jr.","P","12","79.0","70"
"","Brian Dupra","Notre Dame","Sr.","P","11","78.0","70"
"","Steven Gruver","Tennessee","Jr.","P","11","76.3","70"
"","Luke Irvine","Northwestern St.","Sr.","P","11","76.0","70"
"","Phil Klein","Youngstown St.","Sr.","P","11","65.3","70"
"","Vinny Lally","Yale","Sr.","P","13","67.3","70"
"","Lex Rutledge","Samford","So.","P","12","54.0","70"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","70"
"71","Steven Ewing","Miami (FL)","So.","P","10","61.3","69"
"","Justin Hageman","Western Ky.","Fr.","P","13","71.0","69"
"","Mike Hauschild","Dayton","Jr.","P","14","79.3","69"
"","Kevin Miller","California","Sr.","P","13","64.3","69"
"","Ben White","Temple","Sr.","P","12","77.7","69"
"76","Randy Fontanez","South Fla.","Sr.","P","11","80.0","68"
"","Jon Gulbransen","Valparaiso","Sr.","P","12","66.3","68"
"","Derrick Mitchell","Prairie View","Jr.","P","11","66.0","68"
"","Ryan Shook","Norfolk St.","Jr.","P","11","62.3","68"
"80","D.J. Brown","James Madison","So.","P","14","68.3","67"
"","Tim Cooney","Wake Forest","So.","P","10","70.0","67"
"","Tripp Davis","NJIT","So.","P","11","79.0","67"
"","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","67"
"","Drew Granier","La.-Monroe","Sr.","P","11","67.7","67"
"","Patrick Johnson","North Carolina","Sr.","P","11","62.7","67"
"","Austin Kubitza","Rice","Fr.","P","10","65.3","67"
"","Matt Shelton","Sam Houston St.","Sr.","P","12","68.7","67"
"","Marcus Stroman","Duke","So.","P","14","48.0","67"
"89","Jose De Leon","Southern U.","Fr.","P","11","51.0","66"
"","Tommy Gately","George Washington","Sr.","P","12","68.7","66"
"","Alex Gonzalez","Oral Roberts","Fr.","P","13","72.0","66"
"","Kyle Hendricks","Dartmouth","Jr.","P","8","54.0","66"
"","Chris Jensen","San Diego","Jr.","P","15","67.3","66"
"","Austin Pritcher","Citadel","So.","P","11","65.3","66"
"","Corey Roberts","Charlotte","So.","P","11","74.3","66"
"","Connor Sinclair","Lipscomb","Fr.","-","12","68.3","66"
"","Mike Thomas","Rider","Sr.","P","10","66.0","66"
"98","Rick Anton","Utah","Sr.","P","11","74.0","65"
"","Steven Barnes","Mississippi Val.","Sr.","P","17","74.0","65"
"","Jake Barrett","Arizona St.","So.","P","12","67.3","65"
"","Zach Cooper","Central Mich.","Jr.","P","11","62.0","65"
"102","Dan Jensen","Cincinnati","Sr.","P","11","68.7","64"
"","Erik Johnson","California","Jr.","P","11","69.7","64"
"","Todd McInnis","Southern Miss.","Sr.","P","10","62.3","64"
"","Roberto Padilla","San Jose St.","Jr.","P","11","77.3","64"
"","Will Roberts","Virginia","Jr.","P","12","69.3","64"
"","Burch Smith","Oklahoma","Jr.","P","11","60.0","64"
"","Andrew Smith","Charlotte","Jr.","P","11","74.0","64"
"","Sam Stafford","Texas","Jr.","P","13","55.3","64"
"","Eric Whaley","Miami (FL)","So.","P","11","66.3","64"
"","Kyle Ziimmer","San Francisco","So.","P","14","61.0","64"
"112","Ryan Arrowood","Appalachian St.","Jr.","P","14","67.0","63"
"","Patrick Goelz","Bethune-Cookman","So.","P","11","54.3","63"
"","Nate Koneski","Holy Cross","Jr.","P","10","52.7","63"
"","Chris Marlowe","Oklahoma St.","Jr.","P","17","37.0","63"
"","Tanner Perkins","Western Ky.","So.","P","11","74.0","63"
"","Nick Petree","Missouri St.","Fr.","P","12","67.0","63"
"","Josh Renfro","Col. of Charleston","Jr.","P","11","68.0","63"
"","Michael Rocha","Oklahoma","Sr.","P","11","83.3","63"
"","Matt Stites","Missouri","Jr.","P","11","72.3","63"
"121","Bryan Blough","Kennesaw St.","Sr.","P","10","61.0","62"
"","Steve Easter","Alcorn St.","Jr.","P","12","79.7","62"
"","Kevin Gausman","LSU","Fr.","P","11","66.0","62"
"","Scott Gussaroff","Fairfield","Sr.","P","10","63.7","62"
"","Kyle Simon","Arizona","Jr.","P","13","85.7","62"
"","Casey Webber","Western Mich.","Jr.","P","11","65.3","62"
"","Les Williams","Northeastern","Sr.","P","10","72.3","62"
"","Ryan Woolley","UAB","Sr.","P","13","81.0","62"
"129","Keith Bilodeau","Maine","Jr.","P","10","62.7","61"
"","Jordan Egan","Norfolk St.","So.","P","11","51.7","61"
"","Cory Hall","Santa Clara","Sr.","P","11","77.0","61"
"","Mark Leiter","NJIT","So.","P","11","61.0","61"
"","Matt Lujan","San Francisco","Sr.","P","12","71.7","61"
"","Burny Mitchem","Dayton","Jr.","P","17","73.3","61"
"","Adam Plutko","UCLA","Fr.","P","11","70.3","61"
"","Bryan Radziewski","Miami (FL)","Fr.","P","11","59.7","61"
"137","Justin Amlung","Louisville","So.","P","11","76.7","60"
"","Ryan Angus","Central Ark.","Jr.","P","12","68.0","60"
"","Ty Blach","Creighton","So.","P","12","66.3","60"
"","Bobby Bolling","Radford","Sr.","P","11","69.0","60"
"","Robbie Collier","North Florida","Sr.","P","11","50.7","60"
"","Daniel Cropper","UNC Wilmington","Sr.","P","10","62.0","60"
"","Matt Dermody","Iowa","So.","P","11","67.0","60"
"","Brandon Efferson","Southeastern La.","Sr.","P","11","75.7","60"
"","Richie Goodenow","Lipscomb","Sr.","P","14","50.7","60"
"","Jacob Lee","Arkansas St.","Jr.","P","11","76.3","60"
"","Michael Listi","Prairie View","Jr.","P","11","66.7","60"
"","Seth Maness","East Carolina","Sr.","P","10","70.0","60"
"","Chris Stratton","Mississippi St.","So.","P","11","65.0","60"
"","Danny Winkler","UCF","Jr.","P","13","53.3","60"
"151","Zach Butler","McNeese St.","Sr.","P","13","67.0","59"
"","Steven Evans","Liberty","Sr.","P","12","70.3","59"
"","Esteban Guzman","San Jose St.","Jr.","P","14","51.7","59"
"","Kyle Hunter","Kansas St.","Jr.","P","11","62.3","59"
"","Sean Manaea","Indiana St.","Fr.","P","11","63.3","59"
"","Chad Pierce","Milwaukee","Sr.","P","11","70.7","59"
"","Matt Summers","UC Irvine","Jr.","P","11","70.7","59"
"158","Mark Anderson","St. Mary's (CA)","Jr.","P","11","77.3","58"
"","Ian Campbell","A&M-Corpus Christi","Sr.","P","14","74.3","58"
"","Chris Capper","BYU","So.","P","11","67.7","58"
"","Jeremy Dobbs","Austin Peay","Jr.","P","12","60.3","58"
"","Aaron Elias","Jacksonville St.","Jr.","P","11","63.3","58"
"","E.J. Encinosa","Miami (FL)","So.","P","11","61.0","58"
"","Kyle Hallock","Kent St.","Sr.","P","11","72.3","58"
"","Nathan Hyatt","Appalachian St.","So.","P","11","65.0","58"
"","Nathan Kilcrease","Alabama","Sr.","P","11","69.3","58"
"","Kyle McGowin","Savannah St.","Fr.","P","13","63.3","58"
"","Brandon McNelis","Northeastern","Sr.","P","10","60.7","58"
"","Josh Osich","Oregon St.","Jr.","P","11","55.3","58"
"","Colin Rea","Indiana St.","Jr.","P","14","70.3","58"
"","Dan Russell","Western Ill.","Jr.","P","12","73.0","58"
"","Seth Streich","Ohio","So.","P","11","69.7","58"
"","Brian Stroud","Western Mich.","Sr.","P","11","73.0","58"
"174","Martin Agosta","St. Mary's (CA)","So.","P","10","65.3","57"
"","Madison Boer","Oregon","Jr.","P","11","79.7","57"
"","Sean Carley","Air Force","So.","P","11","74.3","57"
"","Matt Davenport","William & Mary","Jr.","P","15","66.0","57"
"","Joe DiRocco","Seton Hall","Sr.","P","11","77.7","57"
"","Phil Haig","FIU","Jr.","P","11","66.7","57"
"","Cole Johnson","Notre Dame","Sr.","P","11","74.3","57"
"","Brian Johnson","Florida","So.","P","11","63.7","57"
"","Dave Kubiak","Albany (NY)","Sr.","P","10","61.3","57"
"","Cade Lynch","Arkansas","So.","P","14","51.0","57"
"","Jonathan Montoya","CSU Bakersfield","Jr.","P","11","81.0","57"
"","Ben Nelson","Navy","So.","P","12","65.0","57"
"","Kyle Putkonen","Samford","Jr.","P","10","65.7","57"
"","Blake Treinen","South Dakota St.","Sr.","P","9","59.7","57"
"","Vince Voiro","Penn","Jr.","P","11","61.0","57"
"","Justin Wiley","Iona","Sr.","P","11","68.0","57"
"190","David Benson","VCU","Sr.","P","11","58.3","56"
"","Jesse Cadenhead","Charleston So.","Sr.","P","11","62.0","56"
"","Kramer Champlin","Arizona St.","Jr.","P","11","75.0","56"
"","Andy Ferguson","Arkansas St.","Sr.","P","10","63.0","56"
"","Brian Flynn","Wichita St.","So.","P","16","61.3","56"
"","Kevin Fuqua","La Salle","Sr.","P","11","74.3","56"
"","Marco Gonzales","Gonzaga","Fr.","P","11","75.3","56"
"","Taylor Hill","Vanderbilt","Sr.","P","11","59.3","56"
"","Cameron Maldonado","Southern Ill.","Jr.","P","11","54.7","56"
"","John Pedrotty","Holy Cross","Jr.","P","11","60.3","56"
"","Chris Pike","Fordham","Fr.","INF","13","69.0","56"
"","Ben Tomchick","Old Dominion","Jr.","P","11","63.3","56"
"","Colton Turner","Texas St.","So.","P","11","59.0","56"
"","Karsten Whitson","Florida","Fr.","P","11","58.0","56"
"204","Jacob Barnes","Fla. Gulf Coast","Jr.","P","15","43.0","55"
"","Colin Bear","Northwestern St.","Jr.","DH","11","60.3","55"
"","Andrew Brown","Akron","Jr.","P","12","80.7","55"
"","Eddie Butler","Radford","So.","P","11","67.0","55"
"","Kent Emanuel","North Carolina","Fr.","P","13","59.3","55"
"","Conrad Flynn","Tulane","Sr.","P","11","68.0","55"
"","Cody Forsythe","Southern Ill.","So.","P","11","78.3","55"
"","Alex Gillingham","Loyola Marymount","Jr.","P","10","79.7","55"
"","Matthew Grimes","Georgia Tech","Fr.","P","11","53.0","55"
"","Jake Hummel","Pacific","Sr.","P","11","72.0","55"
"","Mike Jefferson","Louisiana Tech","Jr.","P","15","69.3","55"
"","Brandon Love","Mercer","Jr.","P","11","64.3","55"
"","Casey Medlen","North Florida","Sr.","P","13","49.0","55"
"","Blake Monar","Indiana","Jr.","P","11","69.7","55"
"","Adam Morgan","Alabama","Jr.","P","11","67.0","55"
"","Cullen Park","Tennessee Tech","Jr.","P","20","42.7","55"
"","Max Perlman","Harvard","Sr.","P","10","60.0","55"
"","Eric Potter","Maryland","Sr.","P","14","54.0","55"
"","Kurt Schluter","Stetson","So.","P","10","57.7","55"
"","Dan Tobik","UT Martin","So.","P","14","72.0","55"
"","Derek Varnadore","Auburn","Jr.","P","10","59.7","55"
"","Randy Zeigler","La.-Monroe","So.","P","12","65.0","55"
"226","Matt Andriese","UC Riverside","Jr.","P","10","69.7","54"
"","Matt Applegate","Kansas St.","Jr.","P","11","67.0","54"
"","Jarrett Arakawa","Hawaii","Fr.","P","12","62.0","54"
"","Josh Conway","Coastal Caro.","So.","INF","14","53.3","54"
"","Coby Cowgill","VMI","So.","P","11","62.3","54"
"","Seth Cutler-Voltz","VCU","Jr.","P","11","71.3","54"
"","Eric Eadington","Harvard","Sr.","P","10","52.3","54"
"","Ken Graveline","Rhode Island","Sr.","P","11","68.7","54"
"","Christian Jones","Oregon","So.","P","11","42.7","54"
"","Dakota Laufenberg","Texas Southern","Sr.","P","13","51.3","54"
"","Kurt McCune","LSU","Fr.","P","11","70.0","54"
"","Dennis O'Grady","Duke","Sr.","P","12","65.7","54"
"","Matt Tomshaw","Jacksonville","Sr.","P","11","71.3","54"
"239","Kyle Barraclough","St. Mary's (CA)","Jr.","P","11","76.0","53"
"","Charles Basford","Samford","Jr.","P","12","61.7","53"
"","Corey Black","San Diego St.","So.","INF","15","49.3","53"
"","Chase Brookshire","Belmont","So.","P","11","75.7","53"
"","Lance Day","Texas-Arlington","Jr.","P","12","82.0","53"
