name,year,class,team,framing
"Abbatinozzi, James",2014,Jr,North Florida,-0.012
"Abbatinozzi, James",2015,Sr,North Florida,-0.012
"Abein, Joe",2012,So,Lehigh,-0.026
"Abein, Joe",2013,Jr,Lehigh,-0.026
"Abeln, Joe",2014,Sr,Lehigh,-0.026
"Abraham, Kevin",2014,Fr,Fla. Atlantic,0.028
"Abraham, Kevin",2015,So,Fla. Atlantic,0.028
"Adame, Asai",2012,Sr,Houston Baptist,0.008
"Adams, Jordan",2012,Jr,Central Mich.,-0.045
"Adams, Jordan",2013,Sr,Central Mich.,-0.045
"Adams, Milan",2012,Sr,Rhode Island,0.040
"Adams, Riley",2015,Fr,San Diego,0.056
"Adkins, Michael",2012,Fr,Middle Tenn.,-0.027
"Adkins, Michael",2013,So,Middle Tenn.,-0.027
"Adkins, Michael",2014,Jr,Middle Tenn.,-0.027
"Adkins, Michael",2015,Sr,Middle Tenn.,-0.027
"Afenir, Audie",2013,Jr,Oral Roberts,-0.022
"Afenir, Audie",2014,Jr,Oral Roberts,-0.022
"Afenir, Audie",2015,Sr,Oral Roberts,-0.022
"Agard, Tyler",2014,Fr,Davidson,0.031
"Agard, Tyler",2015,So,Davidson,0.031
"Agresti, Jason",2015,Fr,Binghamton,-0.017
"Aigner, Dustin",2012,Fr,UMES,-0.064
"Aigner, Dustin",2013,So,UMES,-0.064
"Aigner, Dustin",2014,Jr,UMES,-0.064
"Albaladejo, Mike",2012,Sr,Fla. Atlantic,-0.021
"Albertson, Will",2013,Fr,Campbell,0.101
"Albertson, Will",2014,So,Campbell,0.101
"Albert, Tyler",2014,Jr,Pittsburgh,0.007
"Aldridge, Keaton",2012,Fr,Memphis,-0.183
"Aldridge, Keaton",2013,So,Memphis,-0.183
"Aldridge, Keaton",2014,Jr,Memphis,-0.183
"Alexander, Dylan",2014,Fr,CSUN,0.015
"Alexander, Dylan",2015,So,CSUN,0.015
"Alexander, K.J.",2012,So,Dallas Baptist,0.053
"Alexander, K.J.",2013,Jr,Dallas Baptist,0.053
"Alexander, K.J.",2014,Sr,Dallas Baptist,0.053
"Alexander, Mike",2013,Jr,Delaware St.,0.065
"Alexander, Mike",2014,Sr,Delaware St.,0.065
"Alfonso, James",2012,So,Hartford,-0.008
"Alfonso, James",2013,Jr,Hartford,-0.008
"Alfonso, James",2014,Sr,Hartford,-0.008
"Allen, Hunter",2015,Fr,Alabama St.,-0.039
"Allen, Will",2012,So,Ole Miss,0.002
"Allen, Will",2013,Jr,Ole Miss,0.002
"Allen, Will",2014,Sr,Ole Miss,0.002
"Allinder, Jason",2012,Jr,UMBC,-0.041
"Allinder, Jason",2013,Sr,UMBC,-0.041
"Almond, Zach",2015,Fr,UNC Greensboro,-0.006
"Altobelli, Bo",2012,Jr,Texas Tech,0.074
"Amador, Will",2014,Jr,Butler,-0.030
"Amador, Will",2015,Sr,Butler,-0.030
"Ammirati, Nick",2012,Jr,Mississippi St.,0.025
"Ammirati, Nick",2013,Sr,Mississippi St.,0.025
"Ammons, Desi",2015,Jr,Belmont,0.007
"Anderson, Troy",2014,Fr,UMES,0.021
"Anderson, Troy",2015,So,UMES,0.021
"Andreessen, JD",2015,Fr,Campbell,0.066
"Andresen, Max",2012,Fr,Miami (OH),0.077
"Andresen, Max",2013,So,Miami (OH),0.077
"Andresen, Max",2014,Jr,Miami (OH),0.077
"Andresen, Max",2015,Sr,Miami (OH),0.077
"Andrews, Nick",2012,Jr,South Dakota St.,-0.042
"Andrews, Nick",2013,Sr,South Dakota St.,-0.042
"Andrus, Connor",2012,Fr,Western Caro.,-0.020
"Angelis, Spencer",2012,Fr,High Point,-0.020
"Angelis, Spencer",2013,So,High Point,-0.020
"Angelis, Spencer",2014,Jr,High Point,-0.020
"Angelis, Spencer",2015,Sr,High Point,-0.020
"Anselment, Chase",2012,Jr,Washington,0.017
"Anthes, Reed",2012,Fr,Duke,-0.012
"Anthes, Reed",2013,So,Duke,-0.012
"Anthes, Reed",2014,Jr,Duke,-0.012
"Anthes, Reed",2015,Sr,Duke,-0.012
"Aranda, Humberto",2014,Jr,Grand Canyon,0.075
"Aranda, Humberto",2015,Sr,Grand Canyon,0.075
"Arens, Bob",2012,So,Wichita St.,-0.049
"Arens, Bob",2013,Jr,Wichita St.,-0.049
"Arens, Bob",2014,Jr,Wichita St.,-0.049
"Arens, Bob",2015,Sr,Wichita St.,-0.049
"Armijo, Jonathan",2014,Sr,Incarnate Word,-0.059
"Armijo, Konnor",2013,Jr,Utah,-0.142
"Armijo, Konnor",2014,Sr,Utah,-0.142
"Armour, Brett",2012,Jr,Wake Forest,-0.024
"Armour, Brett",2013,Sr,Wake Forest,-0.024
"Arnold, Chris",2012,Jr,Savannah St.,0.063
"Arnold, Chris",2013,Sr,Savannah St.,0.063
"Arnold, William",2012,Sr,Central Mich.,-0.076
"Arnold, Zach",2013,Fr,Kentucky,0.045
"Arnold, Zach",2014,So,Kentucky,0.045
"Arnold, Zach",2015,Jr,Kentucky,0.045
"Arnsberg, Kyle",2012,So,Louisiana Tech,-0.029
"Arnsberg, Kyle",2013,Jr,Louisiana Tech,-0.029
"Arrick, Ryan",2012,So,Illinois,-0.013
"Athmann, Austin",2014,Fr,Minnesota,0.076
"Athmann, Austin",2015,So,Minnesota,0.076
"Atkinson, Jake",2015,Fr,Utah Valley,-0.127
"Ausbun, Taylor",2012,Jr,Air Force,-0.006
"Austin, Blake",2012,So,Auburn,-0.049
"Austin, Blake",2013,Jr,Auburn,-0.049
"Austin, Blake",2014,Sr,Auburn,-0.049
"Austin, Brett",2012,Fr,North Carolina St.,0.024
"Austin, Brett",2013,So,North Carolina St.,0.024
