pitcher_id,catcher_id,count,balls,called_strikes
1195413,1083999,2-2,22,12
1542451,1643959,0-2,0,4
1306130,1101543,1-0,3,0
1110632,1110639,1-0,4,0
1553697,1657626,1-2,12,18
1416163,1640198,1-0,12,0
995814,1102923,1-1,16,11
1194323,1194328,1-2,6,7
1535335,1535328,2-2,27,23
1653994,1653974,0-2,0,1
1304915,1425565,0-2,0,38
1653045,1442701,3-0,8,0
1309378,1083300,2-0,4,0
1645620,1533881,2-1,2,0
1439074,1217737,1-2,28,31
1315125,1315114,2-2,14,5
1438193,1199786,1-0,8,0
1201634,1306591,3-1,42,8
1201659,1332668,1-1,4,4
1537455,1426469,3-0,4,0
1544933,1322476,0-1,0,8
1669003,1447345,0-1,0,1
1216880,1091134,1-2,3,4
1544176,1658445,3-0,4,0
1324577,1548848,3-0,4,0
1320233,1209875,3-0,68,0
1309858,1309853,1-1,18,14
1649012,1314621,2-1,4,0
1310677,1641080,1-0,23,0
1646395,1422788,0-1,0,2
1436704,1307198,1-1,10,5
1533046,1647037,3-1,10,3
1108355,1108347,1-2,62,69
1440210,1088867,1-1,4,3
1211554,1092014,2-2,10,8
1304915,1425565,3-2,132,51
1555183,1668762,3-1,19,1
1538603,1430921,1-1,6,3
1639710,1537400,1-1,12,4
1432708,1309587,2-0,2,0
992451,1093727,2-0,12,0
1192404,1421191,2-2,20,14
1316133,1426402,1-1,20,14
1322037,1552382,2-2,2,1
1529798,1212541,1-1,1,1
1540179,1665865,1-0,3,0
1645447,1535223,3-1,17,3
1430240,1661682,2-2,51,34
1199859,1199858,0-1,0,2
1198118,1322457,1-2,23,29
1089436,1308804,2-1,4,1
1534276,1419644,2-0,14,0
1319397,1110272,3-0,4,0
1216529,1426719,1-0,8,0
1665700,1445997,3-1,15,3
999683,1217398,2-2,36,22
1639294,1201075,1-1,4,2
1314650,1103654,2-0,12,0
1216850,1216853,1-0,3,0
1108869,1314616,2-2,26,10
1422965,1315019,3-1,28,6
1643223,1199786,2-0,2,0
1542451,1643959,3-2,20,8
1213445,1416364,1-2,4,6
1653994,1653974,3-2,3,1
1319938,1195783,2-0,4,0
1541090,1540939,1-1,11,9
1441016,1316077,3-0,8,0
1428016,1308528,0-1,0,5
1311217,1311218,3-1,3,0
1099732,1417181,2-0,4,0
1216017,1216022,1-2,15,33
1417265,1311772,1-1,1,1
1303944,1431677,3-1,25,5
1314866,1192058,1-1,7,6
1301446,1301424,3-2,95,32
1080860,1419882,0-1,0,2
1300722,1300723,2-2,8,5
1537970,1643762,1-1,7,5
1559538,1644507,3-0,8,0
1526910,1659893,0-2,0,13
1417006,1301567,0-1,0,9
1090247,1324841,3-2,20,4
1659156,1549116,1-2,6,5
1440352,1548947,3-0,4,0
1418478,1308365,2-0,2,0
1218296,1430101,3-2,40,10
1528285,1528281,2-1,10,2
1535719,1535728,1-0,4,0
1329557,1329558,0-1,0,2
1321709,1438520,0-1,0,2
1098709,1218877,0-1,0,7
1546127,1208288,2-2,18,9
1199862,1199858,3-2,22,4
1428558,1428560,3-0,8,0
1417822,1417821,3-2,23,8
1547833,1424409,3-0,8,0
1313651,1313652,0-1,0,4
1539404,1430722,2-2,14,9
1437236,1322976,3-2,20,9
1543455,1543440,1-0,5,0
1313762,1422273,1-1,3,0
1205501,1425824,2-0,4,0
1549017,1210817,1-1,1,1
1199862,1199858,0-2,0,2
1545723,1541142,1-2,2,3
1219750,1416340,1-2,6,1
1417822,1417821,0-2,0,4
1201375,1314654,0-1,0,3
1313828,1447441,3-0,8,0
1437236,1322976,0-2,0,7
1301298,1416298,2-2,12,6
1312781,1428705,0-1,0,4
1438000,1540194,1-2,37,58
1645934,1551278,2-0,1,0
1548919,1548924,2-1,4,1
1309933,1309927,0-1,0,5
1216066,1435317,3-1,3,0
1309031,1533248,3-1,17,4
1434303,1315713,2-2,16,7
1526910,1659893,3-2,83,29
1418025,1418039,2-2,16,9
1658240,1526216,2-0,2,0
1440309,1221927,3-1,7,2
1425379,1306868,3-1,61,13
1090247,1324841,0-2,0,7
1312485,1420050,2-2,30,18
1315287,1315269,0-1,0,4
1650081,1650078,3-0,20,0
1307255,1432128,0-1,0,1
1301446,1301424,0-2,0,16
1084797,1192457,1-1,2,1
1307680,1208846,0-1,0,18
1316389,1417347,1-1,17,9
1218296,1430101,0-2,0,5
979146,979150,1-2,24,34
1218297,1430113,1-2,6,5
1431683,1431677,2-2,8,7
972584,1199856,1-2,4,5
1656706,1544245,3-1,3,0
1636954,1540839,1-2,8,8
1213964,998706,1-0,10,0
1447909,1551664,3-2,22,7
1661676,1547698,3-2,14,6
1651529,1651526,2-0,4,0
1447589,1194812,2-0,4,0
1213086,1082762,0-1,0,11
1541573,1214991,2-0,2,0
1332809,1670399,3-2,29,12
1090922,1213179,3-1,104,26
1198704,1322397,3-1,7,1
1098791,1215665,1-2,7,9
990509,990525,3-2,30,7
1435670,1541904,3-1,31,8
1539339,1539341,3-2,64,23
1654974,1545653,1-2,3,3
1320690,1320699,3-1,22,3
1638396,1214083,1-2,9,8
1316027,1427386,1-2,3,3
1548629,1540961,3-1,10,3
1442597,1442600,3-1,18,4
1525984,1306591,1-1,6,4
1192864,980461,0-2,0,12
1643783,1308365,0-2,0,4
1657048,1544911,1-2,1,1
1323262,999096,0-1,0,2
1659222,1551987,0-2,0,3
1210516,1310199,3-1,8,1
1091863,1421319,1-2,12,11
1308708,1530057,1-2,7,9
1308762,1441732,0-1,0,5
1419951,1529057,2-1,22,8
1549552,1549542,0-2,0,8
1194323,997529,1-0,9,0
1218892,1106390,2-2,10,5
1108690,1310473,3-2,65,22
1657521,1654917,0-1,0,2
1422320,1527372,2-1,2,1
1650606,1420250,2-1,2,0
1659222,1551987,3-2,16,8
1546140,1546138,3-0,24,0
1192864,980461,3-2,92,29
1320691,1320699,1-1,17,12
1534316,1534314,1-1,14,15
1643783,1308365,3-2,17,5
1311900,1194708,1-2,6,5
1428676,1428674,2-1,8,2
1108690,1310473,0-2,0,20
1551611,1312445,1-0,9,0
1540755,1645486,1-0,4,0
1549552,1549542,3-2,53,18
1534013,1311093,1-1,4,3
1435745,1435746,3-1,52,9
1309759,1549936,2-2,42,28
1332809,1670399,0-2,0,4
1301850,979725,0-1,0,3
1447909,1551664,0-2,0,2
1537397,1537400,0-1,0,10
1212218,1525893,3-0,8,0
1528309,1528319,1-0,20,0
1302851,1220022,0-1,0,3
1426705,1310947,1-1,17,12
1110897,1110904,3-1,35,7
1309801,999686,1-2,12,10
1637210,1637209,1-2,6,5
1528626,1662908,1-2,12,11
1106705,1106708,1-2,4,3
1218339,1322632,2-0,4,0
1330842,1330851,1-1,3,2
1430473,1317877,3-0,4,0
990509,990525,0-2,0,12
1535081,1442489,1-2,7,7
1316494,1203438,2-0,16,0
1539339,1539341,0-2,0,5
1530705,1214939,1-1,23,10
1417283,1098781,2-0,14,0
1442706,1442701,3-0,7,0
1217500,1217509,1-1,2,1
1199891,1301186,3-1,56,9
1642051,1668206,0-1,0,5
1094951,1444444,0-1,0,6
1642625,1529688,2-2,14,6
1308709,1419731,2-1,6,1
996848,1307340,1-2,10,16
1432171,1212770,1-2,13,23
1322768,1218269,0-2,0,24
1532686,1650426,2-1,12,3
1104466,1314781,0-1,0,8
1430373,1318958,1-2,9,9
1424622,1099532,0-1,0,24
1559399,1552395,3-2,14,5
1194283,1416152,1-2,29,25
1416547,1198089,1-0,1,0
1547496,1657889,0-2,0,4
1436454,1216209,2-1,20,3
1215648,1215630,1-1,9,3
1421931,1421930,1-2,18,19
1557280,1322416,1-1,2,0
1661836,1661794,2-1,6,3
1101475,1306668,3-2,19,5
1216472,1324521,3-2,47,15
1191699,979409,2-2,8,5
1444091,1316077,2-0,4,0
1437274,1437273,0-1,0,1
1418851,1418842,3-0,8,0
1214882,1314616,0-2,0,8
1551321,1328672,0-2,0,7
1330879,1670319,3-2,7,3
1531922,1653338,1-0,2,0
1421855,1547499,3-1,31,6
1317761,1317757,1-2,4,4
1448111,1322696,0-1,0,1
1653980,1653974,1-1,11,5
1531522,1651668,2-0,5,0
1300400,1194130,2-0,4,0
1420494,1652608,2-1,4,1
1532679,1532680,0-1,0,12
1215886,1420612,2-0,12,0
1216472,1324521,0-2,0,6
1101475,1306668,0-2,0,17
1330085,1534483,1-1,2,1
1545150,1435607,2-2,2,0
1211088,1211086,3-1,63,13
1554449,1324580,1-1,1,0
1437692,1214977,1-2,5,8
1214882,1314616,3-2,33,12
1551321,1328672,3-2,26,9
1307803,1430360,2-2,20,10
1304794,1526538,0-1,0,5
1439286,1541540,3-1,10,2
1545649,1654945,3-1,8,2
1200205,1321252,2-0,3,0
1646943,1646926,1-2,2,3
1529660,1315269,0-1,0,8
1659189,1201897,2-2,40,26
1430931,1430901,2-0,6,0
1322768,1218269,3-2,51,27
1644151,1547360,1-1,21,5
1421496,1313769,3-0,32,0
1197529,979150,2-2,19,11
1638605,1324730,2-1,6,1
1436651,1656108,2-0,4,0
1547496,1657889,3-2,18,5
1304335,1205641,2-1,6,0
882130,980575,1-2,10,6
1545351,1545341,3-2,12,6
1323212,1220430,2-1,2,0
1192868,1192871,2-1,2,0
1654969,1545653,3-0,8,0
1559399,1552395,0-2,0,3
1555776,1330803,1-2,4,3
1441719,1441711,1-1,3,2
1076949,1305107,1-2,5,7
1531450,1531452,1-0,5,0
1307690,1095987,3-1,28,6
1666059,1551664,3-0,8,0
1448599,1443373,0-2,0,9
1537432,1657513,1-1,2,2
1212444,993087,1-0,10,0
1439127,1439114,3-1,11,1
1308762,1441711,0-1,0,2
1650498,1650497,2-2,4,1
1302299,1643589,0-1,0,6
1433056,1206684,3-2,19,7
1332242,1332228,2-2,12,8
1319586,1541695,3-2,29,11
1532052,1220697,2-2,4,4
1653912,1653882,3-1,3,1
1324712,997532,2-0,2,0
1532354,1418410,1-2,2,2
1215198,1314057,2-1,18,6
1543382,1445395,1-0,5,0
1320282,1320278,1-0,5,0
1330756,1542049,3-0,4,0
1432296,1549941,2-0,4,0
1643275,1316388,1-1,5,2
1218286,1081363,3-2,32,6
1313014,1199662,2-2,44,20
1537594,1537599,2-1,6,1
1313624,1308134,0-1,0,3
1661137,1438872,2-0,4,0
1440356,1548953,1-1,5,4
1549435,1549422,1-2,17,22
1317766,1641045,3-2,14,7
1426190,1426193,1-2,7,9
1083892,1421124,2-1,16,5
1200736,1315306,2-2,4,1
1314786,1314784,0-2,0,7
1307173,1211517,3-2,83,23
1553539,1553535,0-1,0,2
1655025,1655022,1-0,8,0
1317381,1443491,3-2,21,6
1441226,1441228,2-0,12,0
1653727,1548016,1-2,8,9
1532108,1532104,2-0,1,0
1316415,1316404,1-1,8,4
1547293,1547288,1-0,1,0
1433137,1433129,1-1,6,6
1547928,1547925,2-2,6,5
1534059,1417347,3-1,20,2
1106899,1322604,2-2,6,4
1105745,1417622,2-2,32,21
1540747,1439479,1-1,2,1
1218286,1081363,0-2,0,11
1307173,1211517,0-2,0,24
1314786,1314784,3-2,67,22
1317381,1443491,0-2,0,4
1330072,1304578,3-0,4,0
1538434,1538430,1-0,9,0
1218887,1422644,1-0,20,0
1526856,1316169,2-1,4,1
1317766,1641045,0-2,0,6
1307243,1432131,1-0,2,0
1419335,1637479,3-0,4,0
1658442,1420896,3-1,14,3
1322756,1657889,1-1,23,16
1448599,1443373,3-2,51,18
1439547,1439549,1-1,11,9
1643477,1643469,1-0,3,0
1433325,1433299,3-0,8,0
1542025,1428516,2-1,18,3
1550380,1550372,1-1,6,4
1309672,1309677,1-1,3,3
1438834,1217284,3-1,73,17
1550376,1304346,2-0,1,0
1442291,1312852,2-1,2,1
1319586,1541695,0-2,0,8
1443462,1446259,3-0,4,0
1671397,1668748,2-1,18,7
1659572,1441176,2-2,9,7
1548275,1216765,3-0,11,0
1648609,1549183,1-1,2,1
1433056,1206684,0-2,0,5
1439273,1439274,3-2,3,2
1301752,1211434,1-2,3,3
1530933,1422610,1-1,18,13
1553984,1665197,3-2,22,13
1104721,1313769,0-1,0,7
1668806,1670464,2-1,4,0
1437891,1321902,0-1,0,5
1424619,1654021,3-2,67,27
1439900,1323147,1-1,1,1
1192648,1648308,2-2,12,8
1543888,1431306,0-1,0,1
1108379,1108389,2-1,2,1
1422956,1647355,3-1,7,2
1312697,1202203,3-1,18,3
1649146,1422644,1-0,3,0
991934,991936,2-2,83,45
1538446,1538456,1-2,4,6
1558778,1558836,2-0,2,0
1100004,1199856,2-1,4,2
982104,1095987,2-0,10,0
1538249,1538244,3-0,18,0
1419704,1538288,3-1,70,18
1213500,1106823,3-1,14,3
1321232,1437737,2-0,4,0
979145,1312123,2-0,7,0
1316143,993361,0-2,0,39
1437751,1437754,2-1,6,0
1313612,1527419,3-2,49,16
1418824,1525893,3-0,32,0
1090964,1194497,1-2,3,2
1424619,1544062,0-2,0,38
1442665,1656263,1-0,9,0
1317712,1537599,2-1,4,2
1439049,1654517,0-1,0,2
1315425,1216358,1-1,12,8
1309868,1309853,2-0,32,0
1534270,1419644,1-0,8,0
1425850,1425837,2-0,4,0
1316637,1544735,2-1,16,7
1433274,1323611,2-1,8,3
1429195,1330324,2-2,6,5
1302851,997548,1-0,5,0
1424619,1544062,3-2,178,59
1423091,1527419,0-1,0,2
1648198,1648213,1-0,5,0
1301469,1217261,3-1,11,3
1313612,1527419,0-2,0,11
1316143,993361,3-2,145,58
1309378,1662908,3-1,7,2
1309825,1549936,2-2,58,39
1528029,1419723,0-1,0,15
1429556,1315543,2-0,4,0
1531691,1531703,3-1,21,5
1643815,1439018,2-0,12,0
1640375,1527304,1-2,8,6
1556400,1655927,1-2,11,12
1534187,1426719,3-1,25,4
1318164,1433566,2-2,16,8
1329861,1428326,1-1,3,1
