year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	gs	w	l	sv	cg	ip	h	r	er	b	k	k_g	hr	era
2014	1	allencountycommunitycollege	14	chasecunninghamv3f9	Chase Cunningham	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chasecunninghamv3f9	So	RHP	1	1	0	0	0		7.1	2	2	2	3	5	6.14		2.45
2014	1	allencountycommunitycollege	29	johnprohaskaqgsl	John Prohaska	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/johnprohaskaqgsl	Fr	P	2	1	0	0	0		7.0	3	3	3	4	7	9.00		3.86
2014	1	allencountycommunitycollege	28	chrismcphersonflw6	Chris McPherson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chrismcphersonflw6	Fr	RHP	2	0	0	1	1		2.2	2	3	1	2	4	13.50		3.38
2014	1	allencountycommunitycollege	24	keilstauffermjeh	Keil Stauffer	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/keilstauffermjeh	Fr	RHP	1	0	0	0	0		2.1	6	8	7	5	3	11.57		27.00
2014	1	allencountycommunitycollege	15	loganbauschz5yd	Logan Bausch	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/loganbauschz5yd	So	RHP	1	0	0	0	0		0.0	1	3	1	2	0			INF
2014	1	allencountycommunitycollege	9	treyfranciswy0k	Trey Francis	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/treyfranciswy0k	So	3B/P	1	0	0	1	0		0.0	52	4	4					INF
2014	1	vernoncollege	25	chantzhollandvo45	Chantz Holland	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chantzhollandvo45	Fr	RHP	9	5	2	3	0	1	46.1	67	42	25	13	22	4.27	1	4.86
2014	1	vernoncollege	24	daultonleikerq14d	Daulton Leiker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/daultonleikerq14d	So	RHP	8	4	3	2	0	4	41.1	45	29	21	20	36	7.84	3	4.57
2014	1	vernoncollege	22	westonwuthrichumme	Weston Wuthrich	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/westonwuthrichumme	So	RHP	9	3	3	1	0		38.0	46	29	22	20	27	6.39	2	5.21
2014	1	vernoncollege	23	martyjentsch09oc	Marty Jentsch	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/martyjentsch09oc	So	RHP	6	2	1	4	0	1	33.2	50	28	23	17	16	4.28	1	6.15
2014	1	vernoncollege	14	reesereadrwxq	Reese Read	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/reesereadrwxq	Fr	RHP	10	2	0	1	3		25.1	25	15	9	15	16	5.68	1	3.20
2014	1	vernoncollege	27	austincardp11j	Austin Card	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austincardp11j	So	RHP	10	2	2	2	1		15.2	39	33	21	4	9	5.17	7	12.06
2014	1	vernoncollege	30	ryantoddw9g4	Ryan Todd	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryantoddw9g4	So	RHP	10	0	0	0	0		13.1	21	17	13	10	6	4.05	4	8.78
2014	1	vernoncollege	26	coltritzelqdfv	Colt Ritzel	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltritzelqdfv	Fr	LHP	3	0	0	0	0		4.1	10	11	3	3	2	4.15	1	6.23
2014	1	vernoncollege	9	nickhillku3u	Nick Hill	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nickhillku3u	So	OF	1	1	0	0	0		2.2	5	4	1	1	1	3.38	1	3.38
2014	1	vernoncollege	20	spencertillman1qw7	Spencer Tillman	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/spencertillman1qw7	Fr	RHP	1	0	0	0	0		1.1	4	3	3	3		.00	1	20.25
2014	1	lakelandcollege	18	mitchellley38nh	Mitchell Ley	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mitchellley38nh	Fr	LHP	8	8	5	2	0	2	56.2	61	25	21	14	26	4.13	1	3.34
2014	1	lakelandcollege	17	skylerhincheek7rg	Skyler Hinchee	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/skylerhincheek7rg	So	LHP	8	5	2	3	0	1	28.2	34	21	17	15	7	2.20		5.34
2014	1	lakelandcollege	21	calvinbertrandngqn	Calvin Bertrand	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/calvinbertrandngqn	Fr	LHP	9	0	0	1	0		21.0	26	21	20	14	15	6.43	2	8.57
