division_id,sent_date,pulled_date,visitor_name,visitor_id,visitor_college_id,vistor_href,visitor_record,visitor_score,park_name,home_name,home_id,home_college_id,home_href,home_record,home_score,status
1,1/30/2004,1/30/2004,Odessa College,26490,1314,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1314&amp;teamid=26490"">Odessa College</a>",28 - 31 - 0,13,Brookhaven College,Brookhaven College,26489,1606,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1606&amp;teamid=26489"">Brookhaven College</a>",17 - 33 - 0,0,""
1,1/30/2004,1/30/2004,Fullerton College (non-member school),,,Fullerton College (non-member school), ,4,College of Southern Nevada,College of Southern Nevada,23457,1330,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1330&amp;teamid=23457"">College of Southern Nevada</a>",38 - 19 - 0,6,""
1,1/30/2004,1/30/2004,Weatherford College,26501,1318,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1318&amp;teamid=26501"">Weatherford College</a>",14 - 3 - 0,2,San Jacinto College-North,San Jacinto College-North,28818,1443,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1443&amp;teamid=28818"">San Jacinto College-North</a>",23 - 8 - 0,5,""
1,1/30/2004,1/30/2004,Vernon College,25926,1608,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1608&amp;teamid=25926"">Vernon College</a>",24 - 17 - 0,14,Western Texas College,Western Texas College,29365,1734,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1734&amp;teamid=29365"">Western Texas College</a>",7 - 33 - 0,3,""
1,1/30/2004,1/30/2004,UTPB JV (non-member school),,,UTPB JV (non-member school), ,0,New Mexico Junior College,New Mexico Junior College,29362,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=29362"">New Mexico Junior College</a>",44 - 9 - 0,30,""
1,1/30/2004,1/30/2004,UTPB JV (non-member school),,,UTPB JV (non-member school), ,1,New Mexico Junior College,New Mexico Junior College,29362,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=29362"">New Mexico Junior College</a>",44 - 9 - 0,30,""
1,1/30/2004,1/30/2004,Miami Dade College,29793,1364,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1364&amp;teamid=29793"">Miami Dade College</a>",27 - 16 - 0,7,Seminole State College of Florida,Seminole State College of Florida,27210,1372,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1372&amp;teamid=27210"">Seminole State College of Florida</a>",5 - 2 - 0,1,""
1,1/30/2004,1/30/2004,New Mexico Military Institute,29367,1668,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1668&amp;teamid=29367"">New Mexico Military Institute</a>",3 - 20 - 0,3,Howard College,Howard College,29913,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=29913"">Howard College </a>",36 - 19 - 0,5,""
1,1/30/2004,1/30/2004,New Mexico Military Institute,29367,1668,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1668&amp;teamid=29367"">New Mexico Military Institute</a>",3 - 20 - 0,3,Howard College,Howard College,29913,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=29913"">Howard College </a>",36 - 19 - 0,5,""
1,1/30/2004,1/30/2004,El Paso Community College,27144,1663,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1663&amp;teamid=27144"">El Paso Community College</a>",31 - 25 - 0,1,neutral,Pima Community College,23474,1248,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1248&amp;teamid=23474"">Pima Community College</a>",20 - 12 - 0,4,""
1,1/30/2004,1/30/2004,El Paso Community College,27144,1663,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1663&amp;teamid=27144"">El Paso Community College</a>",31 - 25 - 0,3,neutral,Pima Community College,23474,1248,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1248&amp;teamid=23474"">Pima Community College</a>",20 - 12 - 0,6,""
1,1/30/2004,1/30/2004,Broward College,29796,1353,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1353&amp;teamid=29796"">Broward College</a>",5 - 4 - 0,5,neutral,Pensacola State College,29977,1367,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1367&amp;teamid=29977"">Pensacola State College</a>",22 - 17 - 0,6,""
1,1/31/2004,1/31/2004,Odessa College,26490,1314,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1314&amp;teamid=26490"">Odessa College</a>",28 - 31 - 0,10,Brookhaven College,Brookhaven College,26489,1606,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1606&amp;teamid=26489"">Brookhaven College</a>",17 - 33 - 0,6,""
1,1/31/2004,1/31/2004,Odessa College,26490,1314,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1314&amp;teamid=26490"">Odessa College</a>",28 - 31 - 0,15,Brookhaven College,Brookhaven College,26489,1606,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1606&amp;teamid=26489"">Brookhaven College</a>",17 - 33 - 0,10,""
1,1/31/2004,1/31/2004,Blinn College,28815,1687,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1687&amp;teamid=28815"">Blinn College</a>",40 - 12 - 0,16,Laredo Community College,Laredo Community College,28816,1436,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1436&amp;teamid=28816"">Laredo Community College</a>",3 - 17 - 0,4,""
1,1/31/2004,1/31/2004,Fullerton College (non-member school),,,Fullerton College (non-member school), ,1,College of Southern Nevada,College of Southern Nevada,23457,1330,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1330&amp;teamid=23457"">College of Southern Nevada</a>",38 - 19 - 0,6,""
