year	division_id	school_id	school_name	school_url
2013	1	coloradonorthwesterncommunitycollege	Colorado Northwestern Community College	http://stats.njcaa.org/sports/bsb/teams/coloradonorthwesterncommunitycollege?view=lineup
2013	1	columbiastatecommunitycollege	Columbia State Community College	http://stats.njcaa.org/sports/bsb/teams/columbiastatecommunitycollege?view=lineup
2013	1	connorsstatecollege	Connors State College	http://stats.njcaa.org/sports/bsb/teams/connorsstatecollege?view=lineup
2013	1	cowleycountycommunitycollege	Cowley County Community College	http://stats.njcaa.org/sports/bsb/teams/cowleycountycommunitycollege?view=lineup
2013	1	crowdercollege	Crowder College	http://stats.njcaa.org/sports/bsb/teams/crowdercollege?view=lineup
2013	1	dartoncollege	Darton College	http://stats.njcaa.org/sports/bsb/teams/dartoncollege?view=lineup
2013	1	daytonastatecollege	Daytona State College	http://stats.njcaa.org/sports/bsb/teams/daytonastatecollege?view=lineup
2013	1	delgadocommunitycollege	Delgado Community College	http://stats.njcaa.org/sports/bsb/teams/delgadocommunitycollege?view=lineup
2013	1	dodgecitycommunitycollege	Dodge City Community College	http://stats.njcaa.org/sports/bsb/teams/dodgecitycommunitycollege?view=lineup
2013	1	dyersburgstatecommunitycollege	Dyersburg State Community College	http://stats.njcaa.org/sports/bsb/teams/dyersburgstatecommunitycollege?view=lineup
2013	1	eastgeorgiacollege	East Georgia College	http://stats.njcaa.org/sports/bsb/teams/eastgeorgiacollege?view=lineup
2013	1	easternarizonacollege	Eastern Arizona College	http://stats.njcaa.org/sports/bsb/teams/easternarizonacollege?view=lineup
2013	1	easternoklahomastatecollege	Eastern Oklahoma State College	http://stats.njcaa.org/sports/bsb/teams/easternoklahomastatecollege?view=lineup
2013	1	elpasocommunitycollege	El Paso Community College	http://stats.njcaa.org/sports/bsb/teams/elpasocommunitycollege?view=lineup
2013	1	enterprisestatecommunitycollege	Enterprise State Community College	http://stats.njcaa.org/sports/bsb/teams/enterprisestatecommunitycollege?view=lineup
2013	1	faulknerstatecommunitycollege	Faulkner State Community College	http://stats.njcaa.org/sports/bsb/teams/faulknerstatecommunitycollege?view=lineup
2013	1	florencedarlingtontechnicalcollege	Florence-Darlington Technical College	http://stats.njcaa.org/sports/bsb/teams/florencedarlingtontechnicalcollege?view=lineup
2013	1	floridastatecollegeatjacksonville	Florida State College at Jacksonville	http://stats.njcaa.org/sports/bsb/teams/floridastatecollegeatjacksonville?view=lineup
2013	1	fortscottcommunitycollege	Fort Scott Community College	http://stats.njcaa.org/sports/bsb/teams/fortscottcommunitycollege?view=lineup
2013	1	frankphillipscollege	Frank Phillips College	http://stats.njcaa.org/sports/bsb/teams/frankphillipscollege?view=lineup
2013	1	galvestoncollege	Galveston College	http://stats.njcaa.org/sports/bsb/teams/galvestoncollege?view=lineup
2013	1	gardencitycommunitycollege	Garden City Community College	http://stats.njcaa.org/sports/bsb/teams/gardencitycommunitycollege?view=lineup
2013	1	georgiaperimetercollege	Georgia Perimeter College	http://stats.njcaa.org/sports/bsb/teams/georgiaperimetercollege?view=lineup
2013	1	globeinstituteoftechnology	Globe Institute of Technology	http://stats.njcaa.org/sports/bsb/teams/globeinstituteoftechnology?view=lineup
2013	1	gordonstatecollege	Gordon State College	http://stats.njcaa.org/sports/bsb/teams/gordonstatecollege?view=lineup
2013	1	graysoncountycollege	Grayson County College	http://stats.njcaa.org/sports/bsb/teams/graysoncountycollege?view=lineup
2013	1	guilfordtechnicalcommunitycollege	Guilford Technical Community College	http://stats.njcaa.org/sports/bsb/teams/guilfordtechnicalcommunitycollege?view=lineup
2013	1	gulfcoaststatecollege	Gulf Coast State College	http://stats.njcaa.org/sports/bsb/teams/gulfcoaststatecollege?view=lineup
2013	1	hagerstowncommunitycollege	Hagerstown Community College	http://stats.njcaa.org/sports/bsb/teams/hagerstowncommunitycollege?view=lineup
2013	1	harfordcommunitycollege	Harford Community College	http://stats.njcaa.org/sports/bsb/teams/harfordcommunitycollege?view=lineup
2013	1	highlandcommunitycollegekansas	Highland Community College - Kansas	http://stats.njcaa.org/sports/bsb/teams/highlandcommunitycollegekansas?view=lineup
2013	1	hillcollege	Hill College	http://stats.njcaa.org/sports/bsb/teams/hillcollege?view=lineup
2013	1	hillsboroughcommunitycollege	Hillsborough Community College	http://stats.njcaa.org/sports/bsb/teams/hillsboroughcommunitycollege?view=lineup
2013	1	howardcollege	Howard College	http://stats.njcaa.org/sports/bsb/teams/howardcollege?view=lineup
2013	1	hutchinsoncommunitycollege	Hutchinson Community College	http://stats.njcaa.org/sports/bsb/teams/hutchinsoncommunitycollege?view=lineup
2013	1	independencecommunitycollege	Independence Community College	http://stats.njcaa.org/sports/bsb/teams/independencecommunitycollege?view=lineup
2013	1	indianhillscommunitycollegecentervil	Indian Hills Community College-Centerville	http://stats.njcaa.org/sports/bsb/teams/indianhillscommunitycollegecentervil?view=lineup
2013	1	indianriverstatecollege	Indian River State College	http://stats.njcaa.org/sports/bsb/teams/indianriverstatecollege?view=lineup
2013	1	iowawesterncommunitycollege	Iowa Western Community College	http://stats.njcaa.org/sports/bsb/teams/iowawesterncommunitycollege?view=lineup
2013	1	jacksonstatecommunitycollege	Jackson State Community College	http://stats.njcaa.org/sports/bsb/teams/jacksonstatecommunitycollege?view=lineup
2013	1	jeffersoncollege	Jefferson College	http://stats.njcaa.org/sports/bsb/teams/jeffersoncollege?view=lineup
2013	1	jeffersondaviscommunitycollege	Jefferson Davis Community College	http://stats.njcaa.org/sports/bsb/teams/jeffersondaviscommunitycollege?view=lineup
2013	1	johnalogancollege	John A. Logan College	http://stats.njcaa.org/sports/bsb/teams/johnalogancollege?view=lineup
2013	1	johnsoncountycommunitycollege	Johnson County Community College	http://stats.njcaa.org/sports/bsb/teams/johnsoncountycommunitycollege?view=lineup
2013	1	kansascitykansascommunitycollege	Kansas City Kansas Community College	http://stats.njcaa.org/sports/bsb/teams/kansascitykansascommunitycollege?view=lineup
2013	1	kaskaskiacollege	Kaskaskia College	http://stats.njcaa.org/sports/bsb/teams/kaskaskiacollege?view=lineup
2013	1	kishwaukeecollege	Kishwaukee College	http://stats.njcaa.org/sports/bsb/teams/kishwaukeecollege?view=lineup
2013	1	labettecommunitycollege	Labette Community College	http://stats.njcaa.org/sports/bsb/teams/labettecommunitycollege?view=lineup
2013	1	lakelandcollege	Lake Land College	http://stats.njcaa.org/sports/bsb/teams/lakelandcollege?view=lineup
