year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	ab	r	h	b2b	b3b	hr	rbi	bb	k	sb	cs	avg	obp	slg
2014	1	allencountycommunitycollege	2	leviashmoret6um	Levi Ashmore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/leviashmoret6um	Fr	SS	10	37	10	11	3		1	3	2			2	.297	.350	.459
2014	1	allencountycommunitycollege	22	kylefoster3yqm	Kyle Foster	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylefoster3yqm	Fr	2B/3B	10	37	2	11	1	2	1	8	3	5	1		.297	.381	.514
2014	1	allencountycommunitycollege	21	trevorkreifelmgcd	Trevor Kreifel	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/trevorkreifelmgcd	Fr	P/1B	9	33	6	10	1		1	7	3	12	1		.303	.361	.424
2014	1	allencountycommunitycollege	23	coleslussertebi	Cole Slusser	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coleslussertebi	So	LF/RF	10	32	8	6	1	1		2	4	5			.188	.316	.281
2014	1	allencountycommunitycollege	16	seanmaurok1fo	Sean Mauro	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/seanmaurok1fo	Fr	CF	10	29	5	11	3			4	2	7		1	.379	.438	.483
2014	1	allencountycommunitycollege	3	austingriffinauqv	Austin Griffin	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austingriffinauqv	Fr	C	8	25	6	7	1		1	7	2	7			.280	.419	.440
2014	1	allencountycommunitycollege	33	jacobwaters91xf	Jacob Waters	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobwaters91xf	Fr	LF	9	23	2	4				4	4	9			.174	.286	.174
2014	1	allencountycommunitycollege	9	treyfranciswy0k	Trey Francis	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/treyfranciswy0k	So	3B/P	9	22	3	6	2	1		6	7	5			.273	.448	.455
2014	1	allencountycommunitycollege	8	chaseegelstondphl	Chase Egelston	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chaseegelstondphl	Fr	INF	7	15	1	1	1			0	6	8			.067	.364	.133
2014	1	allencountycommunitycollege	10	drewwaldenuxu0	Drew Walden	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/drewwaldenuxu0	So	C	4	10	2	3				2	3	2			.300	.429	.300
2014	1	allencountycommunitycollege	27	rynemartinezwhqh	Ryne Martinez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rynemartinezwhqh	Fr	RF	4	9	2	1				0	7	4			.111	.500	.111
2014	1	allencountycommunitycollege	4	camdonmyers30r1	Camdon Myers	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/camdonmyers30r1	Fr	INF	2	5	0	1				0		1			.200	.200	.200
2014	1	allencountycommunitycollege	35	ryanwinter9mrl	Ryan Winter	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryanwinter9mrl	Fr	C/1B	2	4	0	1				1					.250	.250	.250
2014	1	allencountycommunitycollege	5	clintheffernkhsz	Clint Heffern	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/clintheffernkhsz	So	2B	3	3	1	2				1					.667	.667	.667
2014	1	vernoncollege	16	clintharrish9vx	Clint Harris	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/clintharrish9vx	Fr	INF	34	117	26	41	13		3	27	10	16	1	1	.350	.406	.538
2014	1	vernoncollege	18	brandonmccarthyrazb	Brandon McCarthy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/brandonmccarthyrazb	So	INF	34	113	20	36	6	2	4	20	11	17		2	.319	.391	.513
2014	1	vernoncollege	5	pjgarciaqup0	P. J. Garcia	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/pjgarciaqup0	Fr	INF	34	104	24	34	5			13	8	14	3	2	.327	.388	.375
2014	1	vernoncollege	12	jakenashcrcf	Jake Nash	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakenashcrcf	So	INF	31	102	19	33	5	1	1	20	7	17	3	4	.324	.378	.422
2014	1	vernoncollege	1	leeclub0wqd	Lee Club	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/leeclub0wqd	Fr	OF	32	98	22	34	4	4	1	20	14	15	1	2	.347	.449	.500
2014	1	vernoncollege	13	andrewfiloteo6hfo	Andrew Filoteo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/andrewfiloteo6hfo	Fr	INF	31	94	21	26	3	1	7	22	10	18		2	.277	.349	.553
