year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	hbp	sf	sh	tb	xbh	hdp	go	fo	go_fo	pa
2014	1	allencountycommunitycollege	22	kylefoster3yqm	Kyle Foster	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/kylefoster3yqm	Fr	2B/3B	10	2			19	4			1		42
2014	1	allencountycommunitycollege	2	leviashmoret6um	Levi Ashmore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/leviashmoret6um	Fr	SS	10	1			17	4		2	2	1.00	40
2014	1	allencountycommunitycollege	23	coleslussertebi	Cole Slusser	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coleslussertebi	So	LF/RF	10	2			9	2		1	1	1.00	38
2014	1	allencountycommunitycollege	21	trevorkreifelmgcd	Trevor Kreifel	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/trevorkreifelmgcd	Fr	P/1B	9				14	2		1			36
2014	1	allencountycommunitycollege	3	austingriffinauqv	Austin Griffin	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austingriffinauqv	Fr	C	8	4		1	11	2					32
2014	1	allencountycommunitycollege	16	seanmaurok1fo	Sean Mauro	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/seanmaurok1fo	Fr	CF	10	1			14	3		1			32
2014	1	allencountycommunitycollege	9	treyfranciswy0k	Trey Francis	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/treyfranciswy0k	So	3B/P	9				10	3		2			29
2014	1	allencountycommunitycollege	33	jacobwaters91xf	Jacob Waters	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobwaters91xf	Fr	LF	9		1		4	0					28
2014	1	allencountycommunitycollege	8	chaseegelstondphl	Chase Egelston	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chaseegelstondphl	Fr	INF	7	1			2	1					22
2014	1	allencountycommunitycollege	27	rynemartinezwhqh	Ryne Martinez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/rynemartinezwhqh	Fr	RF	4				1	0					16
2014	1	allencountycommunitycollege	10	drewwaldenuxu0	Drew Walden	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/drewwaldenuxu0	So	C	4		1		3	0			1		14
2014	1	allencountycommunitycollege	4	camdonmyers30r1	Camdon Myers	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/camdonmyers30r1	Fr	INF	2				1	0			3		5
2014	1	allencountycommunitycollege	35	ryanwinter9mrl	Ryan Winter	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryanwinter9mrl	Fr	C/1B	2				1	0					4
2014	1	allencountycommunitycollege	5	clintheffernkhsz	Clint Heffern	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/clintheffernkhsz	So	2B	3				2	0					3
2014	1	vernoncollege	16	clintharrish9vx	Clint Harris	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/clintharrish9vx	Fr	INF	34	1			63	16					128
2014	1	vernoncollege	18	brandonmccarthyrazb	Brandon McCarthy	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/brandonmccarthyrazb	So	INF	34	3	1		58	12					128
2014	1	vernoncollege	5	pjgarciaqup0	P. J. Garcia	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/pjgarciaqup0	Fr	INF	34	3	1	3	39	5					119
2014	1	vernoncollege	1	leeclub0wqd	Lee Club	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/leeclub0wqd	Fr	OF	32	5	1		49	9					118
2014	1	vernoncollege	12	jakenashcrcf	Jake Nash	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakenashcrcf	So	INF	31	2		1	43	7					112
2014	1	vernoncollege	13	andrewfiloteo6hfo	Andrew Filoteo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/andrewfiloteo6hfo	Fr	INF	31	1	1		52	11					106
2014	1	vernoncollege	11	bendunbarmkji	Ben Dunbar	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/bendunbarmkji	So	C	31	7		1	43	9					102
2014	1	vernoncollege	8	andremooregggv	Andre Moore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/andremooregggv	So	OF	31	3	1	2	29	6					98
2014	1	vernoncollege	4	damoncolladasrc4	Damon Collada	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/damoncolladasrc4	Fr	INF	23	1		5	25	3					61
2014	1	vernoncollege	3	coltendaniels1jih	Colten Daniels	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltendaniels1jih	So	INF	19	1			16	5					47
2014	1	vernoncollege	19	joshtimms0k29	Josh Timms	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joshtimms0k29	Fr	OF	11	1			13	2					39
2014	1	vernoncollege	9	nickhillku3u	Nick Hill	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/nickhillku3u	So	OF	14				6	0					20
2014	1	vernoncollege	15	joedeanshippfrs8	Joe Dean Shipp	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joedeanshippfrs8	So	OF	11				4	0					20
2014	1	vernoncollege	17	zachjohnsonmm7h	Zach Johnson	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/zachjohnsonmm7h	Fr	C	4				0	0					9
2014	1	vernoncollege	20	spencertillman1qw7	Spencer Tillman	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/spencertillman1qw7	Fr	RHP	4				1	0					5
2014	1	vernoncollege	27	austincardp11j	Austin Card	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austincardp11j	So	RHP	13				0	0					3
