year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2013	3	brookhavencollege	23	coltonspearsmhn2	Colton Spears	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/coltonspearsmhn2	So	3B	26	4	1	2	1	.750	0	0	0		0	0
2013	3	brookhavencollege	6	ryanwalkercjlb	Ryan Walker	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/ryanwalkercjlb	So	OF	24	1	1	0	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	22	grantandersonwt68	Grant Anderson	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/grantandersonwt68	So	OF	4	0	0	0	0							
2013	3	brookhavencollege	4	garrettbeard660n	Garrett Beard	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/garrettbeard660n	So	C/OF	16	1	0	1	0	1.000	0	0	1	1.000	1	0
2013	3	brookhavencollege	5	brandonbielke3eyb	Brandon Bielke	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/brandonbielke3eyb	Fr	OF	14	0	0	0	0		0	0	0		0	0
2013	3	brookhavencollege	13	isaiahblandtwyq	Isaiah Bland	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/isaiahblandtwyq	Fr	OF	2	0	0	0	0							
2013	3	brookhavencollege	28	cameronbrockhoffnre0	Cameron Brockhoff	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cameronbrockhoffnre0	Fr	RHP	4	0	0	0	0							
2013	3	brookhavencollege	21	carloscontrerashyup	Carlos Contreras	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/carloscontrerashyup	Fr	P/C/2B/SS	10	0	0	0	0		0	0	0		0	0
2013	3	brookhavencollege	27	chrishansencj6p	Chris Hansen	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/chrishansencj6p	So	RHP	1	0	0	0	0							
2013	3	brookhavencollege	30	garrettharrisw9hb	Garrett Harris	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/garrettharrisw9hb	So	P	9	0	0	0	0							
2013	3	brookhavencollege	8	aleckanakzoh	Alec Kana	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/aleckanakzoh	Fr	SS/2B	15	1	0	1	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	26	austinkufrovichu6ax	Austin Kufrovich	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/austinkufrovichu6ax	Fr	LHP	5	1	0	1	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	10	cassitylandvpbr	Cassity Land	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/cassitylandvpbr	So	RHP	11	0	0	0	0		0	0	0		0	0
2013	3	brookhavencollege	36	brandonleeg53u	Brandon Lee	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/brandonleeg53u	So	RHP	9	3	0	3	0	1.000	0	0	0		0	0
2013	3	brookhavencollege	7	blakemanningro28	Blake Manning	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/blakemanningro28	So	OF	8	0	0	0	0							
2013	3	brookhavencollege	14	chrisminchewueh1	Chris Minchew	http://stats.njcaa.org/sports/bsb/2013-14/div3/players/chrisminchewueh1	Fr	SS	12	0	0	0	0							
