year	division_id	school_id	uniform_number	player_id	player_name	player_url	class_year	position	g	tc	po	a	e	fpct	dp	sba	rcs	rcs_percent	pb	ci
2014	1	vernoncollege	25	chantzhollandvo45	Chantz Holland	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/chantzhollandvo45	Fr	RHP	9	12	4	7	1	.917						
2014	1	vernoncollege	27	austincardp11j	Austin Card	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/austincardp11j	So	RHP	13	5	2	3	0	1.000						
2014	1	vernoncollege	14	reesereadrwxq	Reese Read	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/reesereadrwxq	Fr	RHP	11	5	2	3	0	1.000						
2014	1	vernoncollege	15	joedeanshippfrs8	Joe Dean Shipp	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joedeanshippfrs8	So	OF	11	3	2	0	1	.667						
2014	1	vernoncollege	24	daultonleikerq14d	Daulton Leiker	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/daultonleikerq14d	So	RHP	9	6	1	5	0	1.000						
2014	1	vernoncollege	22	westonwuthrichumme	Weston Wuthrich	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/westonwuthrichumme	So	RHP	9	5	1	3	1	.800						
2014	1	vernoncollege	29	graydongatlin2hqw	Graydon Gatlin	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/graydongatlin2hqw	Fr	1B	1	0	0	0	0							
2014	1	vernoncollege	28	coltonmonk63ow	Colton Monk	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltonmonk63ow	So	OF	3	0	0	0	0							
2014	1	vernoncollege	26	coltritzelqdfv	Colt Ritzel	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/coltritzelqdfv	Fr	LHP	3	1	0	0	1	.000						
2014	1	vernoncollege	19	joshtimms0k29	Josh Timms	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/joshtimms0k29	Fr	OF	11	0	0	0	0							
2014	1	vernoncollege	30	ryantoddw9g4	Ryan Todd	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryantoddw9g4	So	RHP	10	1	0	1	0	1.000						
2014	1	lakelandcollege	19	darrensaundersqdkl	Darren Saunders	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/darrensaundersqdkl	Fr	INF	24	209	193	11	5	.976	1					
2014	1	lakelandcollege	22	grantgarrett8mkn	Grant Garrett	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/grantgarrett8mkn	So	C	21	87	74	10	3	.966	1	18	7	.280	4	1
2014	1	lakelandcollege	24	alonsoruzal6x	Alonso Ruz	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/alonsoruzal6x	So	INF	27	124	54	64	6	.952	5					
2014	1	lakelandcollege	9	lawrencemoorev4gv	Lawrence Moore	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/lawrencemoorev4gv	So	OF	23	46	44	0	2	.957						
2014	1	lakelandcollege	13	johnathanmendozabict	Johnathan Mendoza	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/johnathanmendozabict	Fr	INF	21	88	39	41	8	.909	5					
2014	1	lakelandcollege	1	jacobdailyz8v3	Jacob Daily	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jacobdailyz8v3	So	OF	27	43	34	4	5	.884						
2014	1	lakelandcollege	4	aaronbence87tt	Aaron Bence	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/aaronbence87tt	Fr	OF	21	32	29	1	2	.938						
2014	1	lakelandcollege	23	devinwrighti0zk	Devin Wright	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/devinwrighti0zk	So	INF	6	27	26	1	0	1.000						
2014	1	lakelandcollege	11	ricksalazarexhs	Rick Salazar	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ricksalazarexhs	Fr	INF	27	70	18	47	5	.929	1					
2014	1	lakelandcollege	5	codybrushgbrl	Cody Brush	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/codybrushgbrl	So	C	7	15	12	3	0	1.000		4	3	.429	3	
2014	1	lakelandcollege	6	christiancrespoebfx	Christian Crespo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/christiancrespoebfx	Fr	OF	16	13	12	0	1	.923						
2014	1	lakelandcollege	14	ryanwoodq3zj	Ryan Wood	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/ryanwoodq3zj	Fr	INF	6	7	7	0	0	1.000						
2014	1	lakelandcollege	10	tylerbushue8akt	Tyler Bushue	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/tylerbushue8akt	So	INF	10	25	5	16	4	.840						
2014	1	lakelandcollege	8	blakekauer86yy	Blake Kauer	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/blakekauer86yy	Fr	C	5	5	3	1	1	.800		1			3	
2014	1	lakelandcollege	18	mitchellley38nh	Mitchell Ley	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/mitchellley38nh	Fr	LHP	8	24	3	19	2	.917		1	1	.500		
2014	1	lakelandcollege	25	jarrettriceh0dy	Jarrett Rice	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jarrettriceh0dy	So	OF	10	3	2	1	0	1.000						
2014	1	lakelandcollege	2	iansnowdenv5r6	Ian Snowden	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/iansnowdenv5r6	So	RHP	6	6	2	4	0	1.000						
2014	1	lakelandcollege	28	luisvilchezvjg4	Luis Vilchez	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/luisvilchezvjg4	So	RHP	7	6	2	4	0	1.000						
2014	1	lakelandcollege	20	jakeangeloeow5	Jake Angelo	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/jakeangeloeow5	So	RHP	5	2	1	1	0	1.000						
2014	1	lakelandcollege	17	skylerhincheek7rg	Skyler Hinchee	http://stats.njcaa.org/sports/bsb/2013-14/div1/players/skylerhincheek7rg	So	LHP	8	12	1	10	1	.917						
