divid,team_name,team_href,sid,collegeid,slid
1,Abraham Baldwin Agricultural C,colleges_college_sport.cfm?sid=7&collegeid=1476&slid=3&category=Schedule,7,1476,3
1,Alabama Southern Community Col,colleges_college_sport.cfm?sid=7&collegeid=1548&slid=3&category=Schedule,7,1548,3
1,Allen County Community College,colleges_college_sport.cfm?sid=7&collegeid=1321&slid=3&category=Schedule,7,1321,3
1,Alvin Community College,colleges_college_sport.cfm?sid=7&collegeid=1430&slid=3&category=Schedule,7,1430,3
1,Andrew College,colleges_college_sport.cfm?sid=7&collegeid=1477&slid=3&category=Schedule,7,1477,3
1,Angelina College,colleges_college_sport.cfm?sid=7&collegeid=1431&slid=3&category=Schedule,7,1431,3
1,Anne Arundel Community College,colleges_college_sport.cfm?sid=7&collegeid=1678&slid=3&category=Schedule,7,1678,3
1,Arizona Western College,colleges_college_sport.cfm?sid=7&collegeid=1239&slid=3&category=Schedule,7,1239,3
1,Arkansas Baptist College,colleges_college_sport.cfm?sid=7&collegeid=1765&slid=3&category=Schedule,7,1765,3
1,ASA,colleges_college_sport.cfm?sid=7&collegeid=1889&slid=3&category=Schedule,7,1889,3
1,Barton County Community Colleg,colleges_college_sport.cfm?sid=7&collegeid=1322&slid=3&category=Schedule,7,1322,3
1,Baton Rouge Community College,colleges_college_sport.cfm?sid=7&collegeid=1744&slid=3&category=Schedule,7,1744,3
1,Bevill State Community College,colleges_college_sport.cfm?sid=7&collegeid=1661&slid=3&category=Schedule,7,1661,3
1,Bishop State Community College,colleges_college_sport.cfm?sid=7&collegeid=1549&slid=3&category=Schedule,7,1549,3
1,Blinn College,colleges_college_sport.cfm?sid=7&collegeid=1687&slid=3&category=Schedule,7,1687,3
1,Blue Ridge Community College,colleges_college_sport.cfm?sid=7&collegeid=1728&slid=3&category=Schedule,7,1728,3
1,Bossier Parish Community Colle,colleges_college_sport.cfm?sid=7&collegeid=1552&slid=3&category=Schedule,7,1552,3
1,Brevard Community College,colleges_college_sport.cfm?sid=7&collegeid=1595&slid=3&category=Schedule,7,1595,3
1,Broward College,colleges_college_sport.cfm?sid=7&collegeid=1353&slid=3&category=Schedule,7,1353,3
1,Butler Community College - KS,colleges_college_sport.cfm?sid=7&collegeid=1323&slid=3&category=Schedule,7,1323,3
1,Calhoun Community College,colleges_college_sport.cfm?sid=7&collegeid=1545&slid=3&category=Schedule,7,1545,3
1,Central Alabama Community Coll,colleges_college_sport.cfm?sid=7&collegeid=1535&slid=3&category=Schedule,7,1535,3
1,Central Arizona College,colleges_college_sport.cfm?sid=7&collegeid=1240&slid=3&category=Schedule,7,1240,3
1,Chattahoochee Valley Community,colleges_college_sport.cfm?sid=7&collegeid=1537&slid=3&category=Schedule,7,1537,3
1,Chattanooga State Community Co,colleges_college_sport.cfm?sid=7&collegeid=1342&slid=3&category=Schedule,7,1342,3
1,Chesapeake College,colleges_college_sport.cfm?sid=7&collegeid=1510&slid=3&category=Schedule,7,1510,3
1,Chipola  College,colleges_college_sport.cfm?sid=7&collegeid=1356&slid=3&category=Schedule,7,1356,3
1,Cisco College,colleges_college_sport.cfm?sid=7&collegeid=1686&slid=3&category=Schedule,7,1686,3
1,Clarendon College,colleges_college_sport.cfm?sid=7&collegeid=1688&slid=3&category=Schedule,7,1688,3
1,Cleveland State Community Coll,colleges_college_sport.cfm?sid=7&collegeid=1343&slid=3&category=Schedule,7,1343,3
1,Cloud County Community College,colleges_college_sport.cfm?sid=7&collegeid=1324&slid=3&category=Schedule,7,1324,3
1,Cochise College,colleges_college_sport.cfm?sid=7&collegeid=1671&slid=3&category=Schedule,7,1671,3
1,Coffeyville Community College,colleges_college_sport.cfm?sid=7&collegeid=1673&slid=3&category=Schedule,7,1673,3
1,Colby Community College,colleges_college_sport.cfm?sid=7&collegeid=1325&slid=3&category=Schedule,7,1325,3
1,College of Central Florida ,colleges_college_sport.cfm?sid=7&collegeid=1354&slid=3&category=Schedule,7,1354,3
1,College of Eastern Utah,colleges_college_sport.cfm?sid=7&collegeid=1241&slid=3&category=Schedule,7,1241,3
1,College of Southern Idaho,colleges_college_sport.cfm?sid=7&collegeid=1486&slid=3&category=Schedule,7,1486,3
1,College of Southern Nevada,colleges_college_sport.cfm?sid=7&collegeid=1330&slid=3&category=Schedule,7,1330,3
1,Colorado Northwestern Communit,colleges_college_sport.cfm?sid=7&collegeid=1242&slid=3&category=Schedule,7,1242,3
1,Columbia State Community Colle,colleges_college_sport.cfm?sid=7&collegeid=1344&slid=3&category=Schedule,7,1344,3
1,Connors State College,colleges_college_sport.cfm?sid=7&collegeid=1255&slid=3&category=Schedule,7,1255,3
1,Cowley County Community Colleg,colleges_college_sport.cfm?sid=7&collegeid=1326&slid=3&category=Schedule,7,1326,3
1,Crowder College,colleges_college_sport.cfm?sid=7&collegeid=1462&slid=3&category=Schedule,7,1462,3
1,Darton College,colleges_college_sport.cfm?sid=7&collegeid=1640&slid=3&category=Schedule,7,1640,3
1,Daytona State College,colleges_college_sport.cfm?sid=7&collegeid=1357&slid=3&category=Schedule,7,1357,3
1,Delgado Community College,colleges_college_sport.cfm?sid=7&collegeid=1555&slid=3&category=Schedule,7,1555,3
1,Dodge City Community College,colleges_college_sport.cfm?sid=7&collegeid=1327&slid=3&category=Schedule,7,1327,3
1,Dyersburg State Community Coll,colleges_college_sport.cfm?sid=7&collegeid=1345&slid=3&category=Schedule,7,1345,3
1,East Georgia College,colleges_college_sport.cfm?sid=7&collegeid=2194&slid=3&category=Schedule,7,2194,3
1,Eastern Arizona College,colleges_college_sport.cfm?sid=7&collegeid=1244&slid=3&category=Schedule,7,1244,3
1,Eastern Oklahoma State College,colleges_college_sport.cfm?sid=7&collegeid=1256&slid=3&category=Schedule,7,1256,3
1,El Paso Community College,colleges_college_sport.cfm?sid=7&collegeid=1663&slid=3&category=Schedule,7,1663,3
1,Enterprise-Ozark Community Col,colleges_college_sport.cfm?sid=7&collegeid=1538&slid=3&category=Schedule,7,1538,3
1,Faulkner State Community Colle,colleges_college_sport.cfm?sid=7&collegeid=1542&slid=3&category=Schedule,7,1542,3
1,Florence-Darlington Technical ,colleges_college_sport.cfm?sid=7&collegeid=1743&slid=3&category=Schedule,7,1743,3
1,Florida State College at Jacks,colleges_college_sport.cfm?sid=7&collegeid=1669&slid=3&category=Schedule,7,1669,3
1,Fort Scott Community College,colleges_college_sport.cfm?sid=7&collegeid=1328&slid=3&category=Schedule,7,1328,3
1,Frank Phillips College,colleges_college_sport.cfm?sid=7&collegeid=1307&slid=3&category=Schedule,7,1307,3
1,Gadsden State Community Colleg,colleges_college_sport.cfm?sid=7&collegeid=1539&slid=3&category=Schedule,7,1539,3
1,Galveston College,colleges_college_sport.cfm?sid=7&collegeid=1231&slid=3&category=Schedule,7,1231,3
1,Garden City Community College,colleges_college_sport.cfm?sid=7&collegeid=1329&slid=3&category=Schedule,7,1329,3
1,Garrett College,colleges_college_sport.cfm?sid=7&collegeid=1517&slid=3&category=Schedule,7,1517,3
1,Georgia Perimeter College,colleges_college_sport.cfm?sid=7&collegeid=1479&slid=3&category=Schedule,7,1479,3
1,Globe Institute of Technology,colleges_college_sport.cfm?sid=7&collegeid=1701&slid=3&category=Schedule,7,1701,3
1,Gordon College,colleges_college_sport.cfm?sid=7&collegeid=1480&slid=3&category=Schedule,7,1480,3
