division_id,sent_date,pulled_date,visitor_name,visitor_id,visitor_college_id,vistor_href,visitor_record,visitor_score,park_name,home_name,home_id,home_college_id,home_href,home_record,home_score,status
1,1/18/2003,1/18/2003,Copiah-Lincoln Community College,16152,1554,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1554&amp;teamid=16152"">Copiah-Lincoln Community College</a>",0 - 0 - 0,0,East Central Community College,East Central Community College,15792,1565,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1565&amp;teamid=15792"">East Central Community College</a>",1 - 1 - 0,0,""
1,1/18/2003,1/18/2003,Copiah-Lincoln Community College,16152,1554,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1554&amp;teamid=16152"">Copiah-Lincoln Community College</a>",0 - 0 - 0,0,East Central Community College,East Central Community College,15792,1565,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1565&amp;teamid=15792"">East Central Community College</a>",1 - 1 - 0,0,""
1,1/31/2003,1/31/2003,UT All-Stars (non-member school),,,UT All-Stars (non-member school), ,6,Dixie State College of Utah,Dixie State College of Utah,13747,1243,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1243&amp;teamid=13747"">Dixie State College of Utah</a>",19 - 19 - 0,2,""
1,1/31/2003,1/31/2003,Dixie State College of Utah,13747,1243,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1243&amp;teamid=13747"">Dixie State College of Utah</a>",19 - 19 - 0,3,UT All-Stars (non-member school),UT All-Stars (non-member school),,,UT All-Stars (non-member school), ,3,""
1,1/31/2003,1/31/2003,South Georgia College,14106,1482,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1482&amp;teamid=14106"">South Georgia College</a>",32 - 27 - 0,4,Lake City Community College,Lake City Community College,18061,1362,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1362&amp;teamid=18061"">Lake City Community College</a>",5 - 2 - 0,5,""
1,1/31/2003,1/31/2003,Yavapai College,16715,1252,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1252&amp;teamid=16715"">Yavapai College</a>",42 - 27 - 0,5,College of Southern Nevada,College of Southern Nevada,16298,1330,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1330&amp;teamid=16298"">College of Southern Nevada</a>",48 - 9 - 0,11,""
1,1/31/2003,1/31/2003,Pima Community College,16745,1248,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1248&amp;teamid=16745"">Pima Community College</a>",16 - 23 - 0,9,El Paso Community College,El Paso Community College,15617,1663,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1663&amp;teamid=15617"">El Paso Community College</a>",46 - 11 - 0,10,""
1,1/31/2003,1/31/2003,Pima Community College,16745,1248,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1248&amp;teamid=16745"">Pima Community College</a>",16 - 23 - 0,6,El Paso Community College,El Paso Community College,15617,1663,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1663&amp;teamid=15617"">El Paso Community College</a>",46 - 11 - 0,10,""
1,1/31/2003,1/31/2003,Alvin Community College,19215,1430,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1430&amp;teamid=19215"">Alvin Community College</a>",8 - 8 - 0,4,Wharton County Junior College,Wharton County Junior College,19142,1447,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1447&amp;teamid=19142"">Wharton County Junior College</a>",9 - 10 - 0,8,""
1,1/31/2003,1/31/2003,Blinn College,12828,1687,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1687&amp;teamid=12828"">Blinn College</a>",25 - 18 - 0,6,Galveston College,Galveston College,19251,1231,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1231&amp;teamid=19251"">Galveston College</a>",3 - 11 - 0,4,""
1,1/31/2003,1/31/2003,New Mexico Military Institute,16739,1668,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1668&amp;teamid=16739"">New Mexico Military Institute</a>",6 - 19 - 0,7,Lubbock Christian JV (non-member school),Lubbock Christian JV (non-member school),,,Lubbock Christian JV (non-member school), ,8,""
1,1/31/2003,1/31/2003,New Mexico Military Institute,16739,1668,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1668&amp;teamid=16739"">New Mexico Military Institute</a>",6 - 19 - 0,3,Lubbock Christian JV (non-member school),Lubbock Christian JV (non-member school),,,Lubbock Christian JV (non-member school), ,0,""
1,1/31/2003,1/31/2003,Western Texas College,18928,1734,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1734&amp;teamid=18928"">Western Texas College</a>",3 - 28 - 0,3,Vernon College,Vernon College,12089,1608,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1608&amp;teamid=12089"">Vernon College</a>",17 - 17 - 0,9,""
1,1/31/2003,1/31/2003,Panola College,14990,1440,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1440&amp;teamid=14990"">Panola College</a>",6 - 2 - 0,7,McLennan C.C. (non-member school),McLennan C.C. (non-member school),,,McLennan C.C. (non-member school), ,6,""
1,1/31/2003,1/31/2003,St. Petersburg College,18857,1370,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1370&amp;teamid=18857"">St. Petersburg College</a>",0 - 1 - 0,2,Lake Sumter Community College,Lake Sumter Community College,13095,1699,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1699&amp;teamid=13095"">Lake Sumter Community College</a>",14 - 13 - 0,6,""
1,1/31/2003,1/31/2003,Tyler Junior College,18925,1446,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1446&amp;teamid=18925"">Tyler Junior College</a>",16 - 35 - 0,5,New Mexico Junior College,New Mexico Junior College,19104,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=19104"">New Mexico Junior College</a>",37 - 9 - 0,6,""
1,1/31/2003,1/31/2003,Tyler Junior College,18925,1446,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1446&amp;teamid=18925"">Tyler Junior College</a>",16 - 35 - 0,12,New Mexico Junior College,New Mexico Junior College,19104,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=19104"">New Mexico Junior College</a>",37 - 9 - 0,15,""
1,1/31/2003,1/31/2003,Howard College,18924,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=18924"">Howard College </a>",12 - 24 - 0,0,Cedar Valley College,Cedar Valley College,12087,1597,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1597&amp;teamid=12087"">Cedar Valley College</a>",7 - 20 - 0,4,""
1,1/31/2003,1/31/2003,Howard College,18924,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=18924"">Howard College </a>",12 - 24 - 0,7,Cedar Valley College,Cedar Valley College,12087,1597,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1597&amp;teamid=12087"">Cedar Valley College</a>",7 - 20 - 0,1,""
1,1/31/2003,1/31/2003,Tyler Junior College,18925,1446,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1446&amp;teamid=18925"">Tyler Junior College</a>",16 - 35 - 0,5,New Mexico Junior College,New Mexico Junior College,19104,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=19104"">New Mexico Junior College</a>",37 - 9 - 0,6,""
1,1/31/2003,1/31/2003,Tyler Junior College,18925,1446,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1446&amp;teamid=18925"">Tyler Junior College</a>",16 - 35 - 0,11,New Mexico Junior College,New Mexico Junior College,19104,1313,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1313&amp;teamid=19104"">New Mexico Junior College</a>",37 - 9 - 0,15,""
1,1/31/2003,1/31/2003,Odessa College,18885,1314,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1314&amp;teamid=18885"">Odessa College</a>",33 - 23 - 0,8,Brookhaven College,Brookhaven College,12094,1606,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1606&amp;teamid=12094"">Brookhaven College</a>",7 - 34 - 0,3,""
1,1/31/2003,1/31/2003,Odessa College,18885,1314,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1314&amp;teamid=18885"">Odessa College</a>",33 - 23 - 0,3,Brookhaven College,Brookhaven College,12094,1606,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1606&amp;teamid=12094"">Brookhaven College</a>",7 - 34 - 0,7,""
1,1/31/2003,1/31/2003,Howard College,18924,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=18924"">Howard College </a>",12 - 24 - 0,7,Cedar Valley College,Cedar Valley College,12087,1597,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1597&amp;teamid=12087"">Cedar Valley College</a>",7 - 20 - 0,1,""
1,1/31/2003,1/31/2003,Howard College,18924,1310,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1310&amp;teamid=18924"">Howard College </a>",12 - 24 - 0,0,Cedar Valley College,Cedar Valley College,12087,1597,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1597&amp;teamid=12087"">Cedar Valley College</a>",7 - 20 - 0,4,""
1,1/31/2003,1/31/2003,Pasadena (non-member school),,,Pasadena (non-member school), ,6,Arizona Western College,Arizona Western College,16734,1239,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1239&amp;teamid=16734"">Arizona Western College</a>",44 - 21 - 0,10,""
1,1/31/2003,1/31/2003,San Diego City College (non-member school),,,San Diego City College (non-member school), ,0,neutral,Eastern Arizona College,16723,1244,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1244&amp;teamid=16723"">Eastern Arizona College</a>",25 - 39 - 0,3,""
1,1/31/2003,1/31/2003,San Bernardino (non-member school),,,San Bernardino (non-member school), ,9,neutral,Central Arizona College,16741,1240,"<a href=""colleges_college_stats.cfm?category=stats&amp;sid=7&amp;divid=1&amp;slid=3&amp;collegeId=1240&amp;teamid=16741"">Central Arizona College</a>",47 - 19 - 0,10,Overtime
