year	division_id	school_id	roster_url	original_filename	saved_filename	content_disposition	meta
2014	2	lakeregionstatecollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=b5e1dl5ng5lw0wwe&view=ext	LAKEREGI.TRO	lakeregionstatecollege-2-2014.tro	"attachment; filename=""LAKEREGI.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:50 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKEREGI.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""252"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	2	lakeregionstatecollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=b5e1dl5ng5lw0wwe&view=exte	LAKEREGI.TRX	lakeregionstatecollege-2-2014.trx	"attachment; filename=""LAKEREGI.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKEREGI.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""1272"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	allencountycommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=ppnjeyqork8s1t8q&view=ext	ALLENCOU.TRO	allencountycommunitycollege-1-2014.tro	"attachment; filename=""ALLENCOU.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:50 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ALLENCOU.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""651"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kankakeecommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=hf64eoc30iltsn02&view=ext	KANKAKEE.TRO	kankakeecommunitycollege-2-2013.tro	"attachment; filename=""KANKAKEE.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:50 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KANKAKEE.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""609"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	lakelandcollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=sef1i4y2cly209y0&view=ext	LAKELAND.TRO	lakelandcollege-1-2014.tro	"attachment; filename=""LAKELAND.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""LAKELAND.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""525"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	vernoncollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=ih28ahvyfi4zailj&view=ext	VERNONCO.TRO	vernoncollege-1-2014.tro	"attachment; filename=""VERNONCO.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""VERNONCO.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""567"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	1	asacollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=3tmkqa6fsgdpzna2&view=ext	ASACOLLE.TRO	asacollege-1-2013.tro	"attachment; filename=""ASACOLLE.TRO"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ASACOLLE.TRO\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""714"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2013	2	kankakeecommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div2/players?teamId=hf64eoc30iltsn02&view=exte	KANKAKEE.TRX	kankakeecommunitycollege-2-2013.trx	"attachment; filename=""KANKAKEE.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""KANKAKEE.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3074"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	allencountycommunitycollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=ppnjeyqork8s1t8q&view=exte	ALLENCOU.TRX	allencountycommunitycollege-1-2014.trx	"attachment; filename=""ALLENCOU.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:52 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""ALLENCOU.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""3286"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
2014	1	vernoncollege	http://stats.njcaa.org/sports/bsb/2013-14/div1/players?teamId=ih28ahvyfi4zailj&view=exte	VERNONCO.TRX	vernoncollege-1-2014.trx	"attachment; filename=""VERNONCO.TRX"""	"{""date""=>""Wed, 09 Apr 2014 07:54:51 GMT"", ""server""=>""Apache/2.2.10 (Fedora)"", ""content-disposition""=>""attachment; filename=\""VERNONCO.TRX\"""", ""content-language""=>""en-US"", ""x-cache""=>""MISS from Anonymouse.org"", ""x-cache-lookup""=>""MISS from Anonymouse.org:3128"", ""proxy-connection""=>""close"", ""content-length""=>""2862"", ""connection""=>""close"", ""content-type""=>""text/plain""}"
