conference_id,year,conference_name
NAIMBA1_AMEC,2009,American Mideast Conference
NAIMBA1_AMWC,2009,American Midwest Conference
NAIMBA1_AAC,2009,Appalachian Athletic Conference
NAIMBA1_CALPAC,2009,California Pacific Conference
NAIMBA1_CCC,2009,Cascade Collegiate Conference
NAIMBA1_CCAC,2009,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2009,Dakota Athletic Conference
NAIMBA1_IND,2009,Division 1 Independents
NAIMBA1_FC,2009,Frontier Conference
NAIMBA1_GSAC,2009,Golden State Athletic Conference
NAIMBA1_GPAC,2009,Great Plains Athletic Conference
NAIMBA1_GCAC,2009,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2009,Heart of America Athletic Conference
NAIMBA1_KCAC,2009,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2009,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2009,Mid-Central College Conference
NAIMBA1_MSC,2009,Mid-South Conference
NAIMBA1_MCAC,2009,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2009,Midwest Collegiate Conference
NAIMBA1_RRAC,2009,Red River Athletic Conference
NAIMBA1_SAC,2009,Sooner Athletic Conference
NAIMBA1_SSAC,2009,Southern States Athletic Conference
NAIMBA1_SC,2009,Sunrise Conference
NAIMBA1_FSC,2009,The Sun Conference
NAIMBA1_TSAC,2009,TranSouth Athletic Conference
NAIMBA1_WHAC,2009,Wolverine-Hoosier Athletic Conference
