team_name,team_id,parsed_team_id,opponent_id,comp_id,conf_game,year,game_date,opponent_name,location,score,outcome,webcast_url
College of Idaho,1612,1612,,165066,false,2013,2/6/2013,U. of Antelope Valley,A,8-0,W,""
College of Idaho,1612,1612,,165065,false,2013,2/7/2013,U. of Antelope Valley,A,8-9,L,""
College of Idaho,1612,1612,,165064,false,2013,2/7/2013,U. of Antelope Valley,A,4-5,L,""
College of Idaho,1612,1612,,165063,false,2013,2/8/2013,U. of Antelope Valley,A,0-8,L,""
College of Idaho,1612,1612,1653,165062,false,2013,2/15/2013,Concordia (Ore.),N,3-2,W,""
College of Idaho,1612,1612,,165061,false,2013,2/15/2013,Central Washington,N,7-8,L,""
College of Idaho,1612,1612,1707,165060,false,2013,2/16/2013,Lewis-Clark State (Idaho),A,1-5,L,""
College of Idaho,1612,1612,1653,172744,false,2013,2/17/2013,Concordia (Ore.),N,3-4,L,""
College of Idaho,1612,1612,,165059,false,2013,2/23/2013,Whitman,H,4-2,W,""
College of Idaho,1612,1612,,165058,false,2013,2/23/2013,Whitman,H,9-0,W,""
College of Idaho,1612,1612,,165057,false,2013,2/24/2013,Whitman,H,1-10,L,""
College of Idaho,1612,1612,,165056,false,2013,2/24/2013,Whitman,H,15-3,W,""
College of Idaho,1612,1612,1833,164107,true,2013,3/2/2013,Simpson (Calif.),A,5-2,W,""
College of Idaho,1612,1612,1833,164106,true,2013,3/2/2013,Simpson (Calif.),A,13-5,W,""
College of Idaho,1612,1612,1833,164105,true,2013,3/3/2013,Simpson (Calif.),A,10-4,W,""
College of Idaho,1612,1612,1833,164104,true,2013,3/3/2013,Simpson (Calif.),A,17-4,W,""
College of Idaho,1612,1612,1819,163518,true,2013,3/8/2013,Corban (Ore.),H,0-5,L,""
College of Idaho,1612,1612,1819,163517,true,2013,3/8/2013,Corban (Ore.),H,8-5,W,""
College of Idaho,1612,1612,1819,163516,true,2013,3/9/2013,Corban (Ore.),H,6-4,W,""
College of Idaho,1612,1612,1819,163515,true,2013,3/9/2013,Corban (Ore.),H,8-9,L,""
College of Idaho,1612,1612,,176104,false,2013,3/16/2013,Puget Sound,H,4-1,W,""
College of Idaho,1612,1612,,176105,false,2013,3/17/2013,Puget Sound,H,5-2,W,""
College of Idaho,1612,1612,,176103,false,2013,3/17/2013,Puget Sound,H,4-2,W,""
College of Idaho,1612,1612,,176216,false,2013,3/18/2013,Puget Sound,H,5-4,W,""
College of Idaho,1612,1612,1799,165051,true,2013,3/23/2013,British Columbia,A,3-0,W,""
College of Idaho,1612,1612,1799,165050,true,2013,3/23/2013,British Columbia,A,0-9,L,""
College of Idaho,1612,1612,1799,165049,true,2013,3/24/2013,British Columbia,A,2-8,L,""
College of Idaho,1612,1612,1799,165048,true,2013,3/24/2013,British Columbia,A,2-8,L,""
College of Idaho,1612,1612,1707,165047,true,2013,3/29/2013,Lewis-Clark State (Idaho),H,3-2,W,""
College of Idaho,1612,1612,1707,165044,true,2013,3/30/2013,Lewis-Clark State (Idaho),H,7-11,L,""
College of Idaho,1612,1612,1707,165045,true,2013,3/30/2013,Lewis-Clark State (Idaho),H,3-17,L,""
College of Idaho,1612,1612,1707,165046,true,2013,3/31/2013,Lewis-Clark State (Idaho),H,0-13,L,""
College of Idaho,1612,1612,1751,163397,true,2013,4/6/2013,Oregon Tech,A,10-2,W,""
College of Idaho,1612,1612,1751,163396,true,2013,4/6/2013,Oregon Tech,A,4-10,L,""
College of Idaho,1612,1612,1751,163395,true,2013,4/7/2013,Oregon Tech,A,1-8,L,""
College of Idaho,1612,1612,1751,163394,true,2013,4/7/2013,Oregon Tech,A,3-9,L,""
College of Idaho,1612,1612,9101,165043,true,2013,4/21/2013,Menlo (Calif.),A,4-10,L,""
College of Idaho,1612,1612,9101,165042,true,2013,4/21/2013,Menlo (Calif.),A,6-7,L,""
College of Idaho,1612,1612,9101,165041,true,2013,4/22/2013,Menlo (Calif.),A,4-3,W,""
College of Idaho,1612,1612,9101,165040,true,2013,4/22/2013,Menlo (Calif.),A,0-8,L,""
College of Idaho,1612,1612,1653,165039,true,2013,4/26/2013,Concordia (Ore.),H,12-4,W,""
College of Idaho,1612,1612,1653,179654,true,2013,4/26/2013,Concordia (Ore.),H,1-4,L,""
College of Idaho,1612,1612,1653,165037,true,2013,4/27/2013,Concordia (Ore.),H,1-8,L,""
College of Idaho,1612,1612,1653,165036,true,2013,4/27/2013,Concordia (Ore.),H,8-12,L,""
Alice Lloyd (Ky.),1613,1613,,171620,false,2013,2/8/2013,Victory University,A,1-11,L,""
Alice Lloyd (Ky.),1613,1613,,164747,false,2013,2/8/2013,Victory University,A,0-2,L,""
Alice Lloyd (Ky.),1613,1613,,164746,false,2013,2/9/2013,Victory University,A,5-6,L,""
Alice Lloyd (Ky.),1613,1613,,164745,false,2013,2/9/2013,Victory University,A,5-7,L,""
Alice Lloyd (Ky.),1613,1613,1811,173332,false,2013,2/21/2013,Virginia Intermont,A,2-7,L,""
Alice Lloyd (Ky.),1613,1613,1811,168694,false,2013,2/21/2013,Virginia Intermont,A,2-6,L,""
Alice Lloyd (Ky.),1613,1613,,164751,false,2013,2/23/2013,Ohio Christian University,H,12-2,W,""
Alice Lloyd (Ky.),1613,1613,,173602,false,2013,2/23/2013,Ohio Christian University,H,0-5,L,""
Alice Lloyd (Ky.),1613,1613,,174098,false,2013,3/9/2013,Ohio State Lima,H,6-4,W,""
Alice Lloyd (Ky.),1613,1613,,175192,false,2013,3/9/2013,Ohio State Lima,H,6-7,L,""
Alice Lloyd (Ky.),1613,1613,17741,174815,false,2013,3/9/2013,Holy Cross (Ind.),H,3-6,L,""
Alice Lloyd (Ky.),1613,1613,17741,174816,false,2013,3/9/2013,Holy Cross (Ind.),H,2-5,L,""
