conference_id,year,conference_name
NAIMBA1_AMEC,2008,American Mideast Conference
NAIMBA1_AMWC,2008,American Midwest Conference
NAIMBA1_AAC,2008,Appalachian Athletic Conference
NAIMBA1_CCC,2008,Cascade Collegiate Conference
NAIMBA1_CCAC,2008,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2008,Dakota Athletic Conference
NAIMBA1_IND,2008,Division 1 Independents
NAIMBA1_FSC,2008,Florida Sun Conference
NAIMBA1_GSAC,2008,Golden State Athletic Conference
NAIMBA1_GPAC,2008,Great Plains Athletic Conference
NAIMBA1_GCAC,2008,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2008,Heart of America Athletic Conference
NAIMBA1_KCAC,2008,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2008,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2008,Mid-Central College Conference
NAIMBA1_MSC,2008,Mid-South Conference
NAIMBA1_MCAC,2008,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2008,Midwest Collegiate Conference
NAIMBA1_RRAC,2008,Red River Athletic Conference
NAIMBA1_SAC,2008,Sooner Athletic Conference
NAIMBA1_SSAC,2008,Southern States Athletic Conference
NAIMBA1_TSAC,2008,TranSouth Athletic Conference
