conference_id,year,conference_name
NAIMBA1_AMWC,2015,American Midwest Conference
NAIMBA1_AAC,2015,Appalachian Athletic Conference
NAIMBA1_IND,2015,Association of Independent
NAIMBA1_CALCASFR,2015,Cal Pac/Cascade/Frontier
NAIMBA1_CCAC,2015,Chicagoland Collegiate Athletic Conference
NAIMBA1_CROSS,2015,Crossroads League
NAIMBA1_GSAC,2015,Golden State Athletic Conference
NAIMBA1_GPAC,2015,Great Plains Athletic Conference
NAIMBA1_GCAC,2015,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2015,Heart of America Athletic Conference
NAIMBA1_KCAC,2015,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2015,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MSC,2015,Mid-South Conference
NAIMBA1_MCAC,2015,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2015,Midwest Collegiate Conference
NAIMBA1_NSTR,2015,North Star Athletic Association
NAIMBA1_RRAC,2015,Red River Athletic Conference
NAIMBA1_SAC,2015,Sooner Athletic Conference
NAIMBA1_SSAC,2015,Southern States Athletic Conference
NAIMBA1_FSC,2015,The Sun Conference
NAIMBA1_WHAC,2015,Wolverine-Hoosier Athletic Conference
