conference_id,year,conference_name
NAIMBA1_AMEC,2011,American Mideast Conference
NAIMBA1_AMWC,2011,American Midwest Conference
NAIMBA1_AAC,2011,Appalachian Athletic Conference
NAIMBA1_CALPAC,2011,California Pacific Conference
NAIMBA1_CCC,2011,Cascade Collegiate Conference
NAIMBA1_CCAC,2011,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2011,Dakota Athletic Conference
NAIMBA1_IND,2011,Division 1 Independents
NAIMBA1_GSAC,2011,Golden State Athletic Conference
NAIMBA1_GPAC,2011,Great Plains Athletic Conference
NAIMBA1_GCAC,2011,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2011,Heart of America Athletic Conference
NAIMBA1_KCAC,2011,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2011,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2011,Mid-Central College Conference
NAIMBA1_MSC,2011,Mid-South Conference
NAIMBA1_MCAC,2011,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2011,Midwest Collegiate Conference
NAIMBA1_RRAC,2011,Red River Athletic Conference
NAIMBA1_SAC,2011,Sooner Athletic Conference
NAIMBA1_SSAC,2011,Southern States Athletic Conference
NAIMBA1_SC,2011,Sunrise Conference
NAIMBA1_FSC,2011,The Sun Conference
NAIMBA1_TSAC,2011,TranSouth Athletic Conference
NAIMBA1_WHAC,2011,Wolverine-Hoosier Athletic Conference
