team_name,team_id,parsed_team_id,opponent_id,comp_id,conf_game,year,game_date,opponent_name,location,score,outcome,webcast_url
College of Idaho,1612,1612,,181370,false,2014,2/2/2014,Bethesda,A,11-7,W,""
College of Idaho,1612,1612,,181369,false,2014,2/2/2014,Bethesda,A,7-1,W,""
College of Idaho,1612,1612,1631,181368,false,2014,2/3/2014,Biola (Calif.),A,5-0,W,""
College of Idaho,1612,1612,1631,181367,false,2014,2/3/2014,Biola (Calif.),A,3-2,W,""
College of Idaho,1612,1612,,181363,false,2014,2/14/2014,George Fox,N,3-12,L,""
College of Idaho,1612,1612,1653,181362,false,2014,2/14/2014,Concordia (Ore.),A,3-7,L,""
College of Idaho,1612,1612,1653,181360,false,2014,2/16/2014,Concordia (Ore.),A,3-7,L,""
College of Idaho,1612,1612,,181361,false,2014,2/16/2014,George Fox,N,0-4,L,""
College of Idaho,1612,1612,,181359,false,2014,2/21/2014,Whitworth,H,6-5,W,""
College of Idaho,1612,1612,,181358,false,2014,2/22/2014,Whitworth,H,3-6,L,""
College of Idaho,1612,1612,,181357,false,2014,2/22/2014,Whitworth,H,7-3,W,""
College of Idaho,1612,1612,,181356,false,2014,2/23/2014,Whitworth,H,7-0,W,""
College of Idaho,1612,1612,19071,181354,false,2014,2/28/2014,Antelope Valley (Calif.),H,3-4,L,""
College of Idaho,1612,1612,19071,181353,false,2014,2/28/2014,Antelope Valley (Calif.),H,1-2,L,""
College of Idaho,1612,1612,19071,193943,false,2014,3/2/2014,Antelope Valley (Calif.),H,3-2,W,""
College of Idaho,1612,1612,19071,193942,false,2014,3/2/2014,Antelope Valley (Calif.),H,9-1,W,""
College of Idaho,1612,1612,1751,181349,true,2014,3/7/2014,Oregon Tech,H,6-2,W,""
College of Idaho,1612,1612,1751,181348,true,2014,3/7/2014,Oregon Tech,H,7-3,W,""
College of Idaho,1612,1612,1751,181351,true,2014,3/8/2014,Oregon Tech,H,13-5,W,""
College of Idaho,1612,1612,1751,181350,true,2014,3/8/2014,Oregon Tech,H,5-2,W,""
College of Idaho,1612,1612,1707,181347,true,2014,3/14/2014,Lewis-Clark State (Idaho),A,0-8,L,""
College of Idaho,1612,1612,1707,181345,true,2014,3/15/2014,Lewis-Clark State (Idaho),A,2-10,L,""
College of Idaho,1612,1612,1707,181346,true,2014,3/15/2014,Lewis-Clark State (Idaho),A,2-6,L,""
College of Idaho,1612,1612,1707,181344,true,2014,3/16/2014,Lewis-Clark State (Idaho),A,3-9,L,""
College of Idaho,1612,1612,1819,181343,true,2014,3/21/2014,Corban (Ore.),A,2-3,L,""
College of Idaho,1612,1612,1819,181342,true,2014,3/21/2014,Corban (Ore.),A,2-1,W,""
College of Idaho,1612,1612,1819,181341,true,2014,3/22/2014,Corban (Ore.),A,3-4,L,""
College of Idaho,1612,1612,1819,181340,true,2014,3/22/2014,Corban (Ore.),A,3-2,W,""
College of Idaho,1612,1612,1833,181337,true,2014,3/30/2014,Simpson (Calif.),H,3-0,W,""
College of Idaho,1612,1612,1833,181336,true,2014,3/30/2014,Simpson (Calif.),H,6-4,W,""
College of Idaho,1612,1612,1833,196681,true,2014,3/31/2014,Simpson (Calif.),H,3-0,W,""
College of Idaho,1612,1612,1833,196680,true,2014,3/31/2014,Simpson (Calif.),H,11-0,W,""
College of Idaho,1612,1612,1799,181335,true,2014,4/5/2014,British Columbia,H,10-5,W,""
College of Idaho,1612,1612,1799,181334,true,2014,4/5/2014,British Columbia,H,6-10,L,""
College of Idaho,1612,1612,1799,181333,true,2014,4/6/2014,British Columbia,H,8-1,W,""
College of Idaho,1612,1612,1799,181332,true,2014,4/6/2014,British Columbia,H,4-3,W,""
College of Idaho,1612,1612,1653,181331,true,2014,4/12/2014,Concordia (Ore.),A,2-1,W,""
College of Idaho,1612,1612,1653,181330,true,2014,4/12/2014,Concordia (Ore.),A,2-7,L,""
College of Idaho,1612,1612,1653,181329,true,2014,4/13/2014,Concordia (Ore.),A,2-12,L,""
College of Idaho,1612,1612,1653,181328,true,2014,4/13/2014,Concordia (Ore.),A,0-2,L,""
College of Idaho,1612,1612,9101,181327,true,2014,4/19/2014,Menlo (Calif.),H,1-5,L,""
College of Idaho,1612,1612,9101,181326,true,2014,4/19/2014,Menlo (Calif.),H,10-6,W,""
College of Idaho,1612,1612,9101,198099,true,2014,4/20/2014,Menlo (Calif.),H,2-3,L,""
College of Idaho,1612,1612,9101,181324,true,2014,4/20/2014,Menlo (Calif.),H,9-5,W,""
College of Idaho,1612,1612,1707,197914,false,2014,4/27/2014,Lewis-Clark State (Idaho),H,1-2,L,""
College of Idaho,1612,1612,9101,198939,false,2014,5/2/2014,Menlo (Calif.),H,5-9,L,""
College of Idaho,1612,1612,1653,199124,false,2014,5/3/2014,Concordia (Ore.),N,1-4,L,""
Alice Lloyd (Ky.),1613,1613,,187408,false,2014,2/20/2014,Hiwassee College,A,0-2,L,""
Alice Lloyd (Ky.),1613,1613,,187407,false,2014,2/20/2014,Hiwassee College,A,1-9,L,""
Alice Lloyd (Ky.),1613,1613,,187402,false,2014,2/23/2014,Ohio University Chillicot,H,11-0,W,""
Alice Lloyd (Ky.),1613,1613,,187401,false,2014,2/23/2014,Ohio University Chillicot,H,7-4,W,""
Alice Lloyd (Ky.),1613,1613,1756,187411,false,2014,2/25/2014,Pikeville (Ky.),A,3-2,W,""
Alice Lloyd (Ky.),1613,1613,,187404,false,2014,2/28/2014,Mt. St. Joseph,H,4-2,W,""
Alice Lloyd (Ky.),1613,1613,,187403,false,2014,2/28/2014,Mt. St. Joseph,H,2-2,T,""
Alice Lloyd (Ky.),1613,1613,,187398,false,2014,3/1/2014,Ohio State Lima,H,6-4,W,""
Alice Lloyd (Ky.),1613,1613,,187397,false,2014,3/1/2014,Ohio State Lima,H,8-5,W,""
Alice Lloyd (Ky.),1613,1613,,194717,false,2014,3/10/2014,Ohio Mid-Western,H,7-2,W,""
Alice Lloyd (Ky.),1613,1613,,194716,false,2014,3/10/2014,Ohio Mid-Western,H,6-5,W,""
Alice Lloyd (Ky.),1613,1613,,187394,false,2014,3/11/2014,Ohio Christian University,H,7-6,W,""
