conference_id,year,conference_name
NAIMBA1_AMWC,2014,American Midwest Conference
NAIMBA1_AAC,2014,Appalachian Athletic Conference
NAIMBA1_IND,2014,Association of Independent
NAIMBA1_CCFR,2014,CalPac/Cascade/Frontier
NAIMBA1_CCC,2014,Cascade Collegiate Conference
NAIMBA1_CCAC,2014,Chicagoland Collegiate Athletic Conference
NAIMBA1_CROSS,2014,Crossroads League
NAIMBA1_FRNS,2014,Frontier/North Star
NAIMBA1_GSAC,2014,Golden State Athletic Conference
NAIMBA1_GPAC,2014,Great Plains Athletic Conference
NAIMBA1_GCAC,2014,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2014,Heart of America Athletic Conference
NAIMBA1_KCAC,2014,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2014,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MSC,2014,Mid-South Conference
NAIMBA1_MCAC,2014,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2014,Midwest Collegiate Conference
NAIMBA1_RRAC,2014,Red River Athletic Conference
NAIMBA1_SAC,2014,Sooner Athletic Conference
NAIMBA1_SSAC,2014,Southern States Athletic Conference
NAIMBA1_FSC,2014,The Sun Conference
NAIMBA1_WHAC,2014,Wolverine-Hoosier Athletic Conference
