team_name,team_id,parsed_team_id,opponent_id,comp_id,conf_game,year,game_date,opponent_name,location,score,outcome,webcast_url
College of Idaho,1612,1612,,202270,false,2015,2/1/2015,CSU-Dominguez Hills,A,5-3,W,""
College of Idaho,1612,1612,,202269,false,2015,2/1/2015,CSU-Dominguez Hills,A,2-3,L,""
College of Idaho,1612,1612,,202267,false,2015,2/2/2015,CSU-Dominguez Hills,A,0-12,L,""
College of Idaho,1612,1612,,202268,false,2015,2/2/2015,CSU-Dominguez Hills,A,3-4,L,""
College of Idaho,1612,1612,1653,202272,false,2015,2/6/2015,Concordia (Ore.),H,3-8,L,""
College of Idaho,1612,1612,1799,202273,false,2015,2/7/2015,British Columbia,H,11-5,W,""
College of Idaho,1612,1612,,208991,false,2015,2/7/2015,Northwest Nazarene,A,14-10,W,""
College of Idaho,1612,1612,1707,208990,false,2015,2/8/2015,Lewis-Clark State (Idaho),H,0-8,L,""
College of Idaho,1612,1612,,202287,false,2015,2/13/2015,Saint Martin's,H,4-2,W,""
College of Idaho,1612,1612,,202286,false,2015,2/14/2015,Saint Martin's,H,1-13,L,""
College of Idaho,1612,1612,,202285,false,2015,2/14/2015,Saint Martin's,H,2-1,W,""
College of Idaho,1612,1612,,202284,false,2015,2/15/2015,Saint Martin's,H,9-8,W,""
College of Idaho,1612,1612,,212292,false,2015,2/28/2015,Sul Ross State,N,8-4,W,""
College of Idaho,1612,1612,1694,212082,false,2015,2/28/2015,Indiana Wesleyan,N,7-2,W,""
College of Idaho,1612,1612,,212326,false,2015,3/1/2015,Mary,N,17-5,W,""
College of Idaho,1612,1612,1679,210149,false,2015,3/1/2015,Grace (Ind.),N,16-7,W,""
College of Idaho,1612,1612,1742,208081,false,2015,3/2/2015,Northwestern (Iowa),N,10-11,L,""
College of Idaho,1612,1612,1661,207843,false,2015,3/6/2015,Dickinson State (N.D.),H,9-0,W,""
College of Idaho,1612,1612,1661,207842,false,2015,3/6/2015,Dickinson State (N.D.),H,6-0,W,""
College of Idaho,1612,1612,1661,207841,false,2015,3/7/2015,Dickinson State (N.D.),H,4-0,W,""
College of Idaho,1612,1612,1661,207840,false,2015,3/7/2015,Dickinson State (N.D.),H,4-3,W,""
College of Idaho,1612,1612,,202279,false,2015,3/10/2015,Whitman,H,3-2,W,""
College of Idaho,1612,1612,,202278,false,2015,3/10/2015,Whitman,H,8-7,W,""
College of Idaho,1612,1612,1819,202276,true,2015,3/14/2015,Corban (Ore.),H,8-7,W,""
College of Idaho,1612,1612,1819,202277,true,2015,3/14/2015,Corban (Ore.),H,2-5,L,""
College of Idaho,1612,1612,1819,202275,true,2015,3/15/2015,Corban (Ore.),H,4-3,W,""
College of Idaho,1612,1612,1819,202274,true,2015,3/15/2015,Corban (Ore.),H,6-9,L,""
College of Idaho,1612,1612,1799,214114,true,2015,3/21/2015,British Columbia,A,0-1,L,""
College of Idaho,1612,1612,1799,202288,true,2015,3/21/2015,British Columbia,A,3-1,W,""
College of Idaho,1612,1612,1799,202290,true,2015,3/22/2015,British Columbia,A,5-4,W,""
College of Idaho,1612,1612,1799,202289,true,2015,3/22/2015,British Columbia,A,4-5,L,""
College of Idaho,1612,1612,,202296,false,2015,3/25/2015,Northwest Nazarene,H,2-3,L,""
College of Idaho,1612,1612,1833,202295,true,2015,3/28/2015,Simpson (Calif.),H,4-2,W,""
College of Idaho,1612,1612,1833,202294,true,2015,3/28/2015,Simpson (Calif.),H,2-5,L,""
College of Idaho,1612,1612,1833,202292,true,2015,3/29/2015,Simpson (Calif.),H,11-0,W,""
College of Idaho,1612,1612,1833,202293,true,2015,3/29/2015,Simpson (Calif.),H,11-0,W,""
College of Idaho,1612,1612,1707,202307,true,2015,4/2/2015,Lewis-Clark State (Idaho),H,9-8,W,""
College of Idaho,1612,1612,1707,202306,true,2015,4/3/2015,Lewis-Clark State (Idaho),H,13-3,W,""
College of Idaho,1612,1612,1707,202305,true,2015,4/4/2015,Lewis-Clark State (Idaho),A,6-8,L,""
College of Idaho,1612,1612,1707,202304,true,2015,4/5/2015,Lewis-Clark State (Idaho),A,1-5,L,""
College of Idaho,1612,1612,,202298,false,2015,4/8/2015,Whitman,H,9-1,W,""
College of Idaho,1612,1612,,202297,false,2015,4/8/2015,Whitman,H,14-1,W,""
College of Idaho,1612,1612,1751,202303,true,2015,4/11/2015,Oregon Tech,A,8-9,L,""
College of Idaho,1612,1612,1751,202302,true,2015,4/11/2015,Oregon Tech,A,11-13,L,""
College of Idaho,1612,1612,1751,202300,true,2015,4/12/2015,Oregon Tech,A,5-8,L,""
College of Idaho,1612,1612,1751,202301,true,2015,4/12/2015,Oregon Tech,A,12-10,W,""
College of Idaho,1612,1612,,202299,false,2015,4/15/2015,Northwest Nazarene,A,0-12,L,""
College of Idaho,1612,1612,1653,202315,true,2015,4/18/2015,Concordia (Ore.),H,2-3,L,""
College of Idaho,1612,1612,1653,202314,true,2015,4/18/2015,Concordia (Ore.),H,0-10,L,""
College of Idaho,1612,1612,1653,202312,true,2015,4/19/2015,Concordia (Ore.),H,8-15,L,""
College of Idaho,1612,1612,1653,202313,true,2015,4/19/2015,Concordia (Ore.),H,6-5,W,""
College of Idaho,1612,1612,9101,203343,true,2015,4/24/2015,Menlo (Calif.),A,9-13,L,""
College of Idaho,1612,1612,9101,203342,true,2015,4/24/2015,Menlo (Calif.),A,5-7,L,""
College of Idaho,1612,1612,9101,203345,true,2015,4/25/2015,Menlo (Calif.),A,7-6,W,""
College of Idaho,1612,1612,9101,203344,true,2015,4/25/2015,Menlo (Calif.),A,10-6,W,""
College of Idaho,1612,1612,1819,217470,false,2015,5/1/2015,Corban (Ore.),N,5-1,W,""
College of Idaho,1612,1612,1653,217546,false,2015,5/1/2015,Concordia (Ore.),H,2-5,L,""
College of Idaho,1612,1612,1819,217607,false,2015,5/2/2015,Corban (Ore.),N,5-3,W,""
College of Idaho,1612,1612,1653,217675,false,2015,5/3/2015,Concordia (Ore.),H,1-7,L,""
Alice Lloyd (Ky.),1613,1613,,206951,false,2015,2/6/2015,Tennessee Temple,A,4-1,W,""
Alice Lloyd (Ky.),1613,1613,,206950,false,2015,2/7/2015,Tennessee Temple,A,0-5,L,""
Alice Lloyd (Ky.),1613,1613,,206949,false,2015,2/7/2015,Tennessee Temple,A,1-4,L,""
Alice Lloyd (Ky.),1613,1613,,211397,false,2015,3/16/2015,Hiwassee College,A,1-5,L,""
Alice Lloyd (Ky.),1613,1613,,211396,false,2015,3/16/2015,Hiwassee College,A,1-2,L,""
Alice Lloyd (Ky.),1613,1613,,213919,false,2015,3/17/2015,Johnson University,H,8-0,W,""
Alice Lloyd (Ky.),1613,1613,,213918,false,2015,3/17/2015,Johnson University,H,11-9,W,""
Alice Lloyd (Ky.),1613,1613,,213917,false,2015,3/18/2015,Johnson University,H,2-3,L,""
Alice Lloyd (Ky.),1613,1613,1633,206657,true,2015,3/21/2015,Brescia (Ky.),H,6-5,W,""
Alice Lloyd (Ky.),1613,1613,1633,206656,true,2015,3/21/2015,Brescia (Ky.),H,5-11,L,""
Alice Lloyd (Ky.),1613,1613,1633,206659,true,2015,3/22/2015,Brescia (Ky.),H,1-6,L,""
Alice Lloyd (Ky.),1613,1613,1633,206658,true,2015,3/22/2015,Brescia (Ky.),H,3-5,L,""
Alice Lloyd (Ky.),1613,1613,,207007,false,2015,3/25/2015,Tennessee Temple,H,0-12,L,""
Alice Lloyd (Ky.),1613,1613,,207006,false,2015,3/25/2015,Tennessee Temple,H,6-9,L,""
Alice Lloyd (Ky.),1613,1613,1758,215236,true,2015,3/28/2015,Point Park (Pa.),H,3-1,W,""
Alice Lloyd (Ky.),1613,1613,1758,215145,true,2015,3/28/2015,Point Park (Pa.),H,2-4,L,""
Alice Lloyd (Ky.),1613,1613,1758,215147,true,2015,3/29/2015,Point Park (Pa.),H,7-15,L,""
Alice Lloyd (Ky.),1613,1613,1758,215271,true,2015,3/29/2015,Point Park (Pa.),H,1-13,L,""
Alice Lloyd (Ky.),1613,1613,,206999,false,2015,4/1/2015,Hiwassee College,H,8-9,L,""
Alice Lloyd (Ky.),1613,1613,,206998,false,2015,4/1/2015,Hiwassee College,H,1-2,L,""
Alice Lloyd (Ky.),1613,1613,8291,206869,true,2015,4/4/2015,Asbury (Ky.),A,5-10,L,""
Alice Lloyd (Ky.),1613,1613,8291,206868,true,2015,4/4/2015,Asbury (Ky.),A,11-10,W,""
Alice Lloyd (Ky.),1613,1613,1696,217029,true,2015,4/11/2015,IU Southeast (Ind.),A,2-6,L,""
Alice Lloyd (Ky.),1613,1613,1696,217028,true,2015,4/11/2015,IU Southeast (Ind.),A,3-8,L,""
Alice Lloyd (Ky.),1613,1613,1696,216659,true,2015,4/12/2015,IU Southeast (Ind.),A,2-5,L,""
Alice Lloyd (Ky.),1613,1613,1696,216658,true,2015,4/12/2015,IU Southeast (Ind.),A,3-9,L,""
Alice Lloyd (Ky.),1613,1613,1803,206987,true,2015,4/18/2015,Rio Grande (Ohio),H,3-9,L,""
Alice Lloyd (Ky.),1613,1613,1803,216588,true,2015,4/18/2015,Rio Grande (Ohio),H,1-6,L,""
Alice Lloyd (Ky.),1613,1613,1803,206989,true,2015,4/21/2015,Rio Grande (Ohio),H,1-3,L,""
Alice Lloyd (Ky.),1613,1613,1803,216949,true,2015,4/21/2015,Rio Grande (Ohio),H,0-14,L,""
Alice Lloyd (Ky.),1613,1613,8291,217015,true,2015,4/24/2015,Asbury (Ky.),A,4-17,L,""
Alice Lloyd (Ky.),1613,1613,8291,217014,true,2015,4/24/2015,Asbury (Ky.),A,2-1,W,""
Alice Lloyd (Ky.),1613,1613,1633,217077,false,2015,4/29/2015,Brescia (Ky.),N,6-8,L,""
Alice Lloyd (Ky.),1613,1613,1696,217376,false,2015,4/30/2015,IU Southeast (Ind.),N,7-8,L,""
Aquinas (Mich.),1615,1615,1823,206115,false,2015,3/8/2015,William Penn (Iowa),N,3-2,W,""
Aquinas (Mich.),1615,1615,1823,206114,false,2015,3/8/2015,William Penn (Iowa),N,1-4,L,""
Aquinas (Mich.),1615,1615,,206113,false,2015,3/9/2015,Alderson-Broaddus,N,14-6,W,""
Aquinas (Mich.),1615,1615,19069,203165,false,2015,3/10/2015,Purdue Calumet (Ind.),N,8-9,L,""
Aquinas (Mich.),1615,1615,1666,203279,false,2015,3/11/2015,Embry-Riddle (Fla.),A,8-16,L,""
Aquinas (Mich.),1615,1615,1823,206111,false,2015,3/12/2015,William Penn (Iowa),N,4-9,L,""
Aquinas (Mich.),1615,1615,,206110,false,2015,3/13/2015,Wayne St. (Neb.),N,2-8,L,""
Aquinas (Mich.),1615,1615,,206109,false,2015,3/14/2015,Trinity Baptist (Fla.),N,5-1,W,""
Aquinas (Mich.),1615,1615,,213701,false,2015,3/16/2015,Grand Valley St.,N,7-11,L,""
Aquinas (Mich.),1615,1615,9100,206106,true,2015,3/18/2015,Davenport (Mich.),H,2-3,L,""
Aquinas (Mich.),1615,1615,9100,206105,true,2015,3/18/2015,Davenport (Mich.),H,3-13,L,""
Aquinas (Mich.),1615,1615,17744,202710,true,2015,3/21/2015,Northwestern Ohio,A,0-12,L,""
Aquinas (Mich.),1615,1615,17744,202709,true,2015,3/21/2015,Northwestern Ohio,A,4-8,L,""
Aquinas (Mich.),1615,1615,17744,202708,true,2015,3/22/2015,Northwestern Ohio,A,0-7,L,""
Aquinas (Mich.),1615,1615,17744,202707,true,2015,3/22/2015,Northwestern Ohio,A,0-2,L,""
Aquinas (Mich.),1615,1615,1773,206104,true,2015,3/28/2015,Siena Heights (Mich.),H,13-8,W,""
Aquinas (Mich.),1615,1615,1773,206103,true,2015,3/28/2015,Siena Heights (Mich.),H,7-5,W,""
Aquinas (Mich.),1615,1615,1773,206102,true,2015,3/29/2015,Siena Heights (Mich.),H,11-5,W,""
Aquinas (Mich.),1615,1615,,206100,false,2015,3/31/2015,Cleary,H,5-4,W,""
Aquinas (Mich.),1615,1615,,206099,false,2015,3/31/2015,Cleary,H,4-13,L,""
Aquinas (Mich.),1615,1615,18999,206098,true,2015,4/1/2015,Cornerstone (Mich.),H,8-6,W,""
Aquinas (Mich.),1615,1615,18999,206097,true,2015,4/1/2015,Cornerstone (Mich.),H,6-3,W,""
Aquinas (Mich.),1615,1615,18711,201942,true,2015,4/4/2015,Lourdes (Ohio),A,8-12,L,""
Aquinas (Mich.),1615,1615,18711,201941,true,2015,4/4/2015,Lourdes (Ohio),A,7-2,W,""
Aquinas (Mich.),1615,1615,18711,201940,true,2015,4/6/2015,Lourdes (Ohio),A,4-3,W,""
Aquinas (Mich.),1615,1615,18711,201939,true,2015,4/6/2015,Lourdes (Ohio),A,3-4,L,""
Aquinas (Mich.),1615,1615,,206094,false,2015,4/7/2015,Olivet,A,9-1,W,""
Aquinas (Mich.),1615,1615,9100,201911,true,2015,4/8/2015,Davenport (Mich.),A,2-6,L,""
Aquinas (Mich.),1615,1615,9100,201910,true,2015,4/8/2015,Davenport (Mich.),A,0-4,L,""
Aquinas (Mich.),1615,1615,1715,209379,true,2015,4/11/2015,Madonna (Mich.),A,2-8,L,""
Aquinas (Mich.),1615,1615,1715,209378,true,2015,4/11/2015,Madonna (Mich.),A,2-4,L,""
Aquinas (Mich.),1615,1615,1715,209377,true,2015,4/12/2015,Madonna (Mich.),A,0-5,L,""
Aquinas (Mich.),1615,1615,1715,209376,true,2015,4/12/2015,Madonna (Mich.),A,0-1,L,""
Aquinas (Mich.),1615,1615,19207,216487,true,2015,4/17/2015,Marygrove (Mich.),H,7-0,W,""
Aquinas (Mich.),1615,1615,19207,216486,true,2015,4/17/2015,Marygrove (Mich.),H,14-3,W,""
Aquinas (Mich.),1615,1615,19207,206089,true,2015,4/18/2015,Marygrove (Mich.),H,12-2,W,""
Aquinas (Mich.),1615,1615,19207,206088,true,2015,4/18/2015,Marygrove (Mich.),H,4-2,W,""
Aquinas (Mich.),1615,1615,,206085,false,2015,4/21/2015,Hope,A,8-5,W,""
Aquinas (Mich.),1615,1615,18999,216845,true,2015,4/23/2015,Cornerstone (Mich.),A,2-3,L,""
Aquinas (Mich.),1615,1615,18999,216844,true,2015,4/23/2015,Cornerstone (Mich.),A,0-5,L,""
Aquinas (Mich.),1615,1615,1651,206081,true,2015,4/25/2015,Concordia (Mich.),A,7-8,L,""
Aquinas (Mich.),1615,1615,1651,206080,true,2015,4/25/2015,Concordia (Mich.),A,9-1,W,""
Aquinas (Mich.),1615,1615,1651,206079,true,2015,4/26/2015,Concordia (Mich.),A,9-5,W,""
Aquinas (Mich.),1615,1615,1651,206078,true,2015,4/26/2015,Concordia (Mich.),A,2-5,L,""
Aquinas (Mich.),1615,1615,,217199,false,2015,4/28/2015,Northwood (Mich.),H,3-13,L,""
Aquinas (Mich.),1615,1615,1692,200061,true,2015,4/29/2015,Indiana Tech,H,4-2,W,""
Aquinas (Mich.),1615,1615,1692,200060,true,2015,4/29/2015,Indiana Tech,H,2-7,L,""
Aquinas (Mich.),1615,1615,1692,200059,true,2015,4/30/2015,Indiana Tech,H,3-7,L,""
Aquinas (Mich.),1615,1615,1692,200058,true,2015,4/30/2015,Indiana Tech,H,12-2,W,""
Aquinas (Mich.),1615,1615,17744,217683,false,2015,5/4/2015,Northwestern Ohio,N,2-10,L,""
Aquinas (Mich.),1615,1615,18999,217730,false,2015,5/4/2015,Cornerstone (Mich.),N,9-2,W,""
Aquinas (Mich.),1615,1615,1692,217781,false,2015,5/6/2015,Indiana Tech,N,2-14,L,""
Auburn Montgomery (Ala.),1616,1616,1785,213956,false,2015,1/30/2015,Tennessee Wesleyan,H,5-7,L,""
Auburn Montgomery (Ala.),1616,1616,1785,202669,false,2015,1/31/2015,Tennessee Wesleyan,H,3-2,W,""
Auburn Montgomery (Ala.),1616,1616,1785,202668,false,2015,1/31/2015,Tennessee Wesleyan,H,2-1,W,""
Auburn Montgomery (Ala.),1616,1616,1711,202667,false,2015,2/6/2015,Lindsey Wilson (Ky.),H,3-14,L,""
Auburn Montgomery (Ala.),1616,1616,1711,202666,false,2015,2/6/2015,Lindsey Wilson (Ky.),H,7-4,W,""
Auburn Montgomery (Ala.),1616,1616,1711,202665,false,2015,2/7/2015,Lindsey Wilson (Ky.),H,3-8,L,""
Auburn Montgomery (Ala.),1616,1616,,213951,false,2015,2/11/2015,Columbus State,A,4-15,L,""
Auburn Montgomery (Ala.),1616,1616,1635,202663,true,2015,2/13/2015,Brewton-Parker (Ga.),H,7-5,W,""
Auburn Montgomery (Ala.),1616,1616,1635,202662,true,2015,2/14/2015,Brewton-Parker (Ga.),H,4-2,W,""
Auburn Montgomery (Ala.),1616,1616,1635,202661,true,2015,2/14/2015,Brewton-Parker (Ga.),H,6-2,W,""
Auburn Montgomery (Ala.),1616,1616,18705,202660,false,2015,2/17/2015,Point (Ga.),H,2-0,W,""
Auburn Montgomery (Ala.),1616,1616,18705,202659,false,2015,2/17/2015,Point (Ga.),H,11-7,W,""
Auburn Montgomery (Ala.),1616,1616,1666,202658,false,2015,2/20/2015,Embry-Riddle (Fla.),H,4-8,L,""
Auburn Montgomery (Ala.),1616,1616,1666,202657,false,2015,2/20/2015,Embry-Riddle (Fla.),H,4-1,W,""
Auburn Montgomery (Ala.),1616,1616,1666,202656,false,2015,2/21/2015,Embry-Riddle (Fla.),H,1-4,L,""
Auburn Montgomery (Ala.),1616,1616,19206,200975,true,2015,2/27/2015,Middle Georgia State,A,3-0,W,""
