conference_id,year,conference_name
NAIMBA1_AMEC,2012,American Mideast Conference
NAIMBA1_AMWC,2012,American Midwest Conference
NAIMBA1_AAC,2012,Appalachian Athletic Conference
NAIMBA1_CALPAC,2012,California Pacific Conference
NAIMBA1_CCC,2012,Cascade Collegiate Conference
NAIMBA1_CCAC,2012,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2012,Dakota Athletic Conference
NAIMBA1_IND,2012,Division 1 Independents
NAIMBA1_GSAC,2012,Golden State Athletic Conference
NAIMBA1_GPAC,2012,Great Plains Athletic Conference
NAIMBA1_GCAC,2012,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2012,Heart of America Athletic Conference
NAIMBA1_KCAC,2012,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2012,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2012,Mid-Central College Conference
NAIMBA1_MSC,2012,Mid-South Conference
NAIMBA1_MCAC,2012,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2012,Midwest Collegiate Conference
NAIMBA1_RRAC,2012,Red River Athletic Conference
NAIMBA1_SAC,2012,Sooner Athletic Conference
NAIMBA1_SSAC,2012,Southern States Athletic Conference
NAIMBA1_SC,2012,Sunrise Conference
NAIMBA1_FSC,2012,The Sun Conference
NAIMBA1_TSAC,2012,TranSouth Athletic Conference
NAIMBA1_WHAC,2012,Wolverine-Hoosier Athletic Conference
