team_name,team_id,parsed_team_id,opponent_id,comp_id,conf_game,year,game_date,opponent_name,location,score,outcome,webcast_url
College of Idaho,1612,1612,1707,58732,false,2008,2/9/2008,Lewis-Clark State College,A,0-10,L,""
College of Idaho,1612,1612,,54580,false,2008,2/9/2008,Whitworth,N,27-4,W,""
College of Idaho,1612,1612,1707,54578,false,2008,2/10/2008,Lewis-Clark State College,A,3-4,L,""
College of Idaho,1612,1612,,54579,false,2008,2/10/2008,Whitworth,N,15-6,W,""
College of Idaho,1612,1612,1707,48345,false,2008,2/15/2008,Lewis-Clark State College,A,3-8,L,""
College of Idaho,1612,1612,1720,48346,false,2008,2/15/2008,Mayville State Univ,N,5-7,L,""
College of Idaho,1612,1612,1720,48344,false,2008,2/16/2008,Mayville State Univ,N,10-4,W,""
College of Idaho,1612,1612,1707,48343,false,2008,2/17/2008,Lewis-Clark State College,A,3-2,W,""
College of Idaho,1612,1612,,46833,false,2008,2/20/2008,Sonoma State,A,5-8,L,""
College of Idaho,1612,1612,,46832,false,2008,2/20/2008,Sonoma State,A,1-14,L,""
College of Idaho,1612,1612,1751,46831,true,2008,3/1/2008,Oregon Institute of Tech,H,8-1,W,""
College of Idaho,1612,1612,1751,46830,true,2008,3/1/2008,Oregon Institute of Tech,H,8-0,W,""
College of Idaho,1612,1612,1751,46829,true,2008,3/2/2008,Oregon Institute of Tech,H,5-2,W,""
College of Idaho,1612,1612,1751,46828,false,2008,3/2/2008,Oregon Institute of Tech,H,6-2,W,""
College of Idaho,1612,1612,1707,46827,false,2008,3/11/2008,Lewis-Clark State College,H,0-10,L,""
College of Idaho,1612,1612,1707,46826,false,2008,3/11/2008,Lewis-Clark State College,H,3-8,L,""
College of Idaho,1612,1612,1707,46825,true,2008,3/12/2008,Lewis-Clark State College,H,1-13,L,""
College of Idaho,1612,1612,1653,46824,true,2008,3/15/2008,Concordia University OR,H,1-4,L,""
College of Idaho,1612,1612,1653,46823,true,2008,3/15/2008,Concordia University OR,H,4-8,L,""
College of Idaho,1612,1612,1653,46822,true,2008,3/16/2008,Concordia University OR,H,8-2,W,""
College of Idaho,1612,1612,,60756,false,2008,3/18/2008,Central Washington,H,7-16,L,""
College of Idaho,1612,1612,,46820,false,2008,3/18/2008,Central Washington,H,9-5,W,""
College of Idaho,1612,1612,1819,46819,true,2008,3/21/2008,Corban College,A,2-4,L,""
College of Idaho,1612,1612,1819,46817,true,2008,3/22/2008,Corban College,A,5-2,W,""
College of Idaho,1612,1612,1819,47835,true,2008,3/22/2008,Corban College,A,4-0,W,""
College of Idaho,1612,1612,1833,46816,false,2008,3/24/2008,Simpson University,N,7-5,W,""
College of Idaho,1612,1612,1833,46815,false,2008,3/25/2008,Simpson University,H,13-2,W,""
College of Idaho,1612,1612,1799,65292,true,2008,3/29/2008,Univ British Columbia,A,0-3,L,""
College of Idaho,1612,1612,1799,65291,true,2008,3/29/2008,Univ British Columbia,A,8-6,W,""
College of Idaho,1612,1612,1799,65290,true,2008,3/30/2008,Univ British Columbia,A,2-9,L,""
College of Idaho,1612,1612,1799,65289,false,2008,3/30/2008,Univ British Columbia,A,4-10,L,""
College of Idaho,1612,1612,1707,46810,true,2008,4/8/2008,Lewis-Clark State College,A,5-6,L,""
College of Idaho,1612,1612,1707,46809,true,2008,4/8/2008,Lewis-Clark State College,A,6-13,L,""
College of Idaho,1612,1612,1707,46808,true,2008,4/9/2008,Lewis-Clark State College,A,2-10,L,""
College of Idaho,1612,1612,1751,46807,true,2008,4/12/2008,Oregon Institute of Tech,A,3-2,W,""
College of Idaho,1612,1612,1751,46806,true,2008,4/12/2008,Oregon Institute of Tech,A,11-4,W,""
College of Idaho,1612,1612,1751,46805,true,2008,4/13/2008,Oregon Institute of Tech,A,15-4,W,""
College of Idaho,1612,1612,1751,46804,false,2008,4/13/2008,Oregon Institute of Tech,A,7-9,L,""
College of Idaho,1612,1612,1653,46803,true,2008,4/19/2008,Concordia University OR,A,10-3,W,""
College of Idaho,1612,1612,1653,46802,true,2008,4/19/2008,Concordia University OR,A,5-6,L,""
College of Idaho,1612,1612,1653,46801,true,2008,4/20/2008,Concordia University OR,A,9-3,W,""
College of Idaho,1612,1612,1653,56387,false,2008,4/20/2008,Concordia University OR,A,1-2,L,""
College of Idaho,1612,1612,1819,46800,true,2008,4/25/2008,Corban College,H,8-7,W,""
College of Idaho,1612,1612,1819,46799,true,2008,4/25/2008,Corban College,H,4-2,W,""
College of Idaho,1612,1612,1819,46798,true,2008,4/26/2008,Corban College,H,19-14,W,""
College of Idaho,1612,1612,1819,46797,false,2008,4/26/2008,Corban College,H,16-1,W,""
College of Idaho,1612,1612,,46796,false,2008,4/29/2008,Central Washington,A,4-5,L,""
College of Idaho,1612,1612,,46795,false,2008,4/29/2008,Central Washington,A,7-5,W,""
College of Idaho,1612,1612,1799,46794,true,2008,5/3/2008,Univ British Columbia,H,6-2,W,""
College of Idaho,1612,1612,1799,46793,true,2008,5/3/2008,Univ British Columbia,H,6-9,L,""
College of Idaho,1612,1612,1799,46792,true,2008,5/4/2008,Univ British Columbia,H,4-3,W,""
College of Idaho,1612,1612,1799,46791,false,2008,5/4/2008,Univ British Columbia,H,8-6,W,""
College of Idaho,1612,1612,1799,68835,false,2008,5/8/2008,Univ British Columbia,H,3-0,W,""
College of Idaho,1612,1612,1707,68900,false,2008,5/9/2008,Lewis-Clark State College,N,0-11,L,""
College of Idaho,1612,1612,1799,68907,false,2008,5/9/2008,Univ British Columbia,H,6-2,W,""
College of Idaho,1612,1612,1707,68951,false,2008,5/10/2008,Lewis-Clark State College,N,4-15,L,""
Alice Lloyd (Ky.),1613,1613,1851,47813,false,2008,2/16/2008,Covenant College,A,6-7,L,""
Alice Lloyd (Ky.),1613,1613,1851,47812,false,2008,2/16/2008,Covenant College,A,2-3,L,""
Alice Lloyd (Ky.),1613,1613,,56546,false,2008,2/25/2008,Toccoa Falls College,A,0-10,L,""
Alice Lloyd (Ky.),1613,1613,,57638,false,2008,2/25/2008,Toccoa Falls College,A,4-10,L,""
Alice Lloyd (Ky.),1613,1613,,56548,false,2008,2/25/2008,Toccoa Falls College,A,2-7,L,""
Alice Lloyd (Ky.),1613,1613,1796,56541,false,2008,3/2/2008,Union College,A,6-18,L,""
Alice Lloyd (Ky.),1613,1613,1858,59365,false,2008,3/10/2008,West Virginia U. Inst of Tech,A,3-7,L,""
