conference_id,year,conference_name
NAIMBA1_AMWC,2013,American Midwest Conference
NAIMBA1_AAC,2013,Appalachian Athletic Conference
NAIMBA1_IND,2013,Association of Independent
NAIMBA1_CALPAC,2013,California Pacific Conference
NAIMBA1_CCC,2013,Cascade Collegiate Conference
NAIMBA1_CCAC,2013,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_CROSS,2013,Crossroads League
NAIMBA1_FC,2013,Frontier Conference
NAIMBA1_GSAC,2013,Golden State Athletic Conference
NAIMBA1_GPAC,2013,Great Plains Athletic Conference
NAIMBA1_GCAC,2013,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2013,Heart of America Athletic Conference
NAIMBA1_KCAC,2013,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2013,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MSC,2013,Mid-South Conference
NAIMBA1_MCAC,2013,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2013,Midwest Collegiate Conference
NAIMBA1_RRAC,2013,Red River Athletic Conference
NAIMBA1_SAC,2013,Sooner Athletic Conference
NAIMBA1_SSAC,2013,Southern States Athletic Conference
NAIMBA1_FSC,2013,The Sun Conference
NAIMBA1_TSAC,2013,TranSouth Athletic Conference
NAIMBA1_WHAC,2013,Wolverine-Hoosier Athletic Conference
