game_date,home_name,home_url,home_id,away_name,away_url,away_id,game_score,boxscore_url,association_id,sport_id,season_id,conference_id,game_id,webcast_js,tournament_js,gamebook_js
"Friday February 19, 2010",Univ of the Cumberlands KY,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1656,1656,Shawnee State Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1771,1771,7-12,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=105696,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,105696,"javascript:ShowWebcastPopup('10','MBA','105696','NAIMBA_2010'); return false;",,
"Friday February 19, 2010",Univ of the Cumberlands KY,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1656,1656,Shawnee State Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1771,1771,5-6,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=105695,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,105695,"javascript:ShowWebcastPopup('10','MBA','105695','NAIMBA_2010'); return false;",,
"Saturday February 20, 2010",Pikeville College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1756,1756,Notre Dame College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1835,1835,7-5,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=109802,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,109802,,,
"Saturday February 20, 2010",Pikeville College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1756,1756,Notre Dame College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1835,1835,1-9,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=109804,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,109804,,,
"Saturday February 20, 2010",Univ of the Cumberlands KY,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1656,1656,Shawnee State Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1771,1771,12-2,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=105942,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,105942,,,
"Saturday February 20, 2010",Univ of the Cumberlands KY,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1656,1656,Shawnee State Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1771,1771,3-5,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=105918,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,105918,"javascript:ShowWebcastPopup('10','MBA','105918','NAIMBA_2010'); return false;",,
"Sunday February 21, 2010",Pikeville College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1756,1756,Notre Dame College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1835,1835,0-11,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=109801,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,109801,,,
"Sunday February 21, 2010",Pikeville College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1756,1756,Notre Dame College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1835,1835,3-4,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=109803,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,109803,,,
"Saturday February 27, 2010",Milligan College,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1726,1726,Shawnee State Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1771,1771,8-5,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=106876,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,106876,,,
"Saturday February 27, 2010",Clearwater Christian,,,Cedarville Univ,/WebSync/Pages/Team/TeamPage.aspx?association=10&sg=MBA&sea=NAIMBA_2010&team=1643,1643,4-3,/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&sg=MBA&sea=NAIMBA_2010&conference=NAIMBA1_AMEC&compID=108866,10,MBA,NAIMBA_2010,NAIMBA1_AMEC,108866,,,
