conference_id,year,conference_name
NAIMBA1_AMEC,2007,American Mideast Conference
NAIMBA1_AMWC,2007,American Midwest Conference
NAIMBA1_AAC,2007,Appalachian Athletic Conference
NAIMBA1_CCC,2007,Cascade Collegiate Conference
NAIMBA1_CCAC,2007,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2007,Dakota Athletic Conference
NAIMBA1_IND,2007,Division 1 Independents
NAIMBA1_FSC,2007,Florida Sun Conference
NAIMBA1_GSAC,2007,Golden State Athletic Conference
NAIMBA1_GPAC,2007,Great Plains Athletic Conference
NAIMBA1_GCAC,2007,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2007,Heart of America Athletic Conference
NAIMBA1_KCAC,2007,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2007,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2007,Mid-Central College Conference
NAIMBA1_MSC,2007,Mid-South Conference
NAIMBA1_MCAC,2007,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2007,Midwest Collegiate Conference
NAIMBA1_RRAC,2007,Red River Athletic Conference
NAIMBA1_SAC,2007,Sooner Athletic Conference
NAIMBA1_SSAC,2007,Southern States Athletic Conference
NAIMBA1_TSAC,2007,TranSouth Athletic Conference
