conference_id,year,conference_name
NAIMBA1_AMEC,2010,American Mideast Conference
NAIMBA1_AMWC,2010,American Midwest Conference
NAIMBA1_AAC,2010,Appalachian Athletic Conference
NAIMBA1_CALPAC,2010,California Pacific Conference
NAIMBA1_CCC,2010,Cascade Collegiate Conference
NAIMBA1_CCAC,2010,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2010,Dakota Athletic Conference
NAIMBA1_IND,2010,Division 1 Independents
NAIMBA1_FC,2010,Frontier Conference
NAIMBA1_GSAC,2010,Golden State Athletic Conference
NAIMBA1_GPAC,2010,Great Plains Athletic Conference
NAIMBA1_GCAC,2010,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2010,Heart of America Athletic Conference
NAIMBA1_KCAC,2010,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2010,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2010,Mid-Central College Conference
NAIMBA1_MSC,2010,Mid-South Conference
NAIMBA1_MCAC,2010,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2010,Midwest Collegiate Conference
NAIMBA1_RRAC,2010,Red River Athletic Conference
NAIMBA1_SAC,2010,Sooner Athletic Conference
NAIMBA1_SSAC,2010,Southern States Athletic Conference
NAIMBA1_SC,2010,Sunrise Conference
NAIMBA1_FSC,2010,The Sun Conference
NAIMBA1_TSAC,2010,TranSouth Athletic Conference
NAIMBA1_WHAC,2010,Wolverine-Hoosier Athletic Conference
