conference_id,year,conference_name
NAIMBA1_AMEC,2006,American Mideast Conference
NAIMBA1_AMWC,2006,American Midwest Conference
NAIMBA1_AAC,2006,Appalachian Athletic Conference
NAIMBA1_CCC,2006,Cascade Collegiate Conference
NAIMBA1_CCAC,2006,Chicagoland DI Collegiate Athletic Conference
NAIMBA1_DAC,2006,Dakota Athletic Conference
NAIMBA1_IND,2006,Division 1 Independents
NAIMBA1_FSC,2006,Florida Sun Conference
NAIMBA1_GSAC,2006,Golden State Athletic Conference
NAIMBA1_GPAC,2006,Great Plains Athletic Conference
NAIMBA1_GCAC,2006,Gulf Coast Athletic Conference
NAIMBA1_HAAC,2006,Heart of America Athletic Conference
NAIMBA1_KCAC,2006,Kansas Collegiate Athletic Conference
NAIMBA1_KIAC,2006,Kentucky Intercollegiate Athletic Conference
NAIMBA1_MCCC,2006,Mid-Central College Conference
NAIMBA1_MSC,2006,Mid-South Conference
NAIMBA1_MCAC,2006,Midlands Collegiate Athletic Conference
NAIMBA1_MCC,2006,Midwest Classic Conference
NAIMBA1_RRAC,2006,Red River Athletic Conference
NAIMBA1_SAC,2006,Sooner Athletic Conference
NAIMBA1_SSAC,2006,Southern States Athletic Conference
NAIMBA1_TSAC,2006,TranSouth Athletic Conference
