rk,school,div,str,park,ofs,dfs,sos
765,Bridgewater St.,D3,0.365,0.928,1.021,1.127,0.639
766,New Jersey City,D3,0.363,0.984,1.268,1.410,0.691
767,Penn St.-Berks,D3,0.362,0.968,1.025,1.141,0.606
767,Covenant,D3,0.362,0.947,1.073,1.194,0.735
767,William Peace,D3,0.362,0.876,0.899,1.002,0.675
767,Rensselaer,D3,0.362,1.031,0.815,0.908,0.679
771,SUNY Maritime,D3,0.361,1.011,1.011,1.130,0.603
771,Mt. St. Mary's,D1,0.361,1.071,0.581,1.607,0.870
773,Saint Rose,D2,0.360,0.956,0.686,1.120,0.842
774,McDaniel,D3,0.358,1.022,0.982,1.107,0.703
774,Colby,D3,0.358,0.943,0.793,0.893,0.745
776,SUNY Canton,D3,0.357,1.012,1.059,1.197,0.664
776,Skidmore,D3,0.357,0.856,0.893,1.007,0.637
778,Swarthmore,D3,0.355,0.972,0.846,0.962,0.699
778,St. Anselm,D2,0.355,1.051,0.689,1.140,0.717
778,West Va. Wesleyan,D2,0.355,0.925,0.775,1.283,0.686
781,Mercy,D2,0.354,0.961,0.891,1.478,0.795
782,Assumption,D2,0.353,1.166,0.651,1.083,0.738
782,St. Joseph's (Brkln),D3,0.353,0.986,0.898,1.025,0.565
782,Thiel,D3,0.353,0.994,0.950,1.083,0.642
782,Anderson (IN),D3,0.353,1.042,1.069,1.222,0.677
786,Alabama A&M,D1,0.352,1.104,0.563,1.602,0.845
787,Claremont-M-S,D3,0.351,1.072,0.857,0.985,0.756
787,Wittenberg,D3,0.351,1.095,0.987,1.134,0.729
789,Husson,D3,0.350,0.842,0.892,1.026,0.643
789,Cornell College,D3,0.350,1.036,0.963,1.108,0.672
791,Saint Peter's,D1,0.347,1.089,0.606,1.745,0.926
792,Curry,D3,0.346,0.897,0.718,0.836,0.730
792,Johnson & Wales (RI),D3,0.346,0.899,0.931,1.085,0.632
794,Emory & Henry,D3,0.345,1.282,0.850,0.992,0.682
795,Bemidji St.,D2,0.343,1.113,0.799,1.370,0.768
796,Virginia St.,D2,0.342,0.873,0.920,1.583,0.645
797,Colby-Sawyer,D3,0.341,0.949,0.897,1.060,0.602
798,Becker,D3,0.340,1.049,1.151,1.363,0.614
799,Southern Wesleyan,D2,0.337,1.077,0.689,1.203,0.837
799,Rochester (NY),D3,0.337,0.965,0.822,0.983,0.714
799,West Virginia St.,D2,0.337,0.948,0.756,1.320,0.708
799,Mass. Maritime,D3,0.337,0.981,0.824,0.985,0.675
803,St. Lawrence,D3,0.334,0.918,0.958,1.156,0.666
803,Penn St. Harrisburg,D3,0.334,0.864,1.062,1.281,0.672
805,Defiance,D3,0.333,0.908,1.014,1.228,0.688
806,Caldwell,D2,0.332,0.928,0.714,1.265,0.735
