BEGIN
CREATE TABLE
INSERT 0 302
 rk  |       school        | div |  str  | park  |  ofs  |  dfs  |  sos  
-----+---------------------+-----+-------+-------+-------+-------+-------
   1 | LSU                 |   1 | 2.574 | 0.967 | 1.479 | 0.575 | 1.142
   2 | Virginia            |   1 | 2.496 | 0.913 | 1.303 | 0.522 | 1.147
   3 | Ole Miss            |   1 | 2.422 | 0.896 | 1.542 | 0.637 | 1.192
   4 | TCU                 |   1 | 2.384 | 0.924 | 1.258 | 0.528 | 1.171
   5 | Indiana             |   1 | 2.335 | 0.885 | 1.418 | 0.607 | 1.086
   6 | Oregon St.          |   1 | 2.315 | 0.806 | 1.447 | 0.625 | 1.114
   7 | Houston             |   1 | 2.305 | 0.929 | 1.306 | 0.567 | 1.150
   8 | Vanderbilt          |   1 | 2.277 | 1.015 | 1.411 | 0.620 | 1.214
   9 | Rice                |   1 | 2.254 | 0.808 | 1.516 | 0.672 | 1.156
   9 | Florida St.         |   1 | 2.254 | 1.071 | 1.502 | 0.667 | 1.144
  11 | Texas               |   1 | 2.244 | 0.843 | 1.220 | 0.544 | 1.220
  12 | South Carolina      |   1 | 2.149 | 0.953 | 1.205 | 0.561 | 1.124
  13 | Texas Tech          |   1 | 2.114 | 1.050 | 1.304 | 0.617 | 1.167
  14 | Louisville          |   1 | 2.068 | 1.055 | 1.268 | 0.613 | 1.096
  15 | Cal St. Fullerton   |   1 | 2.042 | 0.964 | 1.224 | 0.599 | 1.150
  16 | La.-Lafayette       |   1 | 2.032 | 0.970 | 1.625 | 0.800 | 1.050
  17 | Pepperdine          |   1 | 2.025 | 0.937 | 1.281 | 0.633 | 1.093
  18 | Arkansas            |   1 | 2.007 | 1.110 | 1.159 | 0.577 | 1.166
  19 | Oregon              |   1 | 1.989 | 0.865 | 1.451 | 0.729 | 1.125
  20 | Kentucky            |   1 | 1.955 | 1.110 | 1.716 | 0.878 | 1.173
  21 | Cal Poly            |   1 | 1.929 | 0.848 | 1.497 | 0.776 | 1.091
  22 | Florida             |   1 | 1.864 | 0.951 | 1.253 | 0.672 | 1.245
  23 | Texas A&M           |   1 | 1.851 | 0.950 | 1.391 | 0.752 | 1.201
  24 | Washington          |   1 | 1.820 | 0.889 | 1.343 | 0.738 | 1.110
  25 | Mississippi St.     |   1 | 1.800 | 0.877 | 1.255 | 0.697 | 1.160
