rk,school,div,str,park,ofs,dfs,sos
1,Franklin Pierce,2,1.973,1.063,1.492,0.459,0.792
2,Florida Tech,2,1.651,0.955,1.704,0.626,0.890
3,Catawba,2,1.608,1.143,1.527,0.576,0.873
4,Columbus St.,2,1.463,0.956,1.724,0.715,0.913
5,Nova Southeastern,2,1.460,1.062,1.444,0.600,0.939
6,Saint Leo,2,1.377,1.099,1.587,0.699,0.898
7,Southern N.H.,2,1.362,0.947,1.324,0.590,0.838
8,Mercyhurst,2,1.299,0.713,1.309,0.611,0.806
9,West Ala.,2,1.271,0.877,1.442,0.689,0.882
10,Lynn,2,1.241,1.130,1.395,0.682,0.934
11,North Georgia,2,1.239,1.039,1.296,0.635,0.897
12,Shepherd,2,1.232,0.979,1.289,0.635,0.717
13,Colorado Mesa,2,1.148,1.142,1.352,0.715,0.823
14,St. Cloud St.,2,1.145,0.887,1.362,0.721,0.724
15,Millersville,2,1.135,0.850,1.277,0.683,0.805
16,Tampa,2,1.109,1.098,1.406,0.770,0.931
17,Delta St.,2,1.106,1.009,1.405,0.771,0.906
18,Ala.-Huntsville,2,1.099,1.019,1.160,0.641,0.837
19,West Ga.,2,1.095,0.938,1.282,0.710,0.852
20,Erskine,2,1.094,1.055,1.358,0.753,0.793
20,UC San Diego,2,1.094,0.958,1.114,0.618,0.835
22,East Stroudsburg,2,1.055,0.889,1.368,0.787,0.789
23,Flagler,2,1.052,0.998,1.129,0.651,0.919
24,Georgia College,2,1.045,1.110,1.430,0.830,0.936
25,Henderson St.,2,1.031,0.971,1.208,0.711,0.865
26,West Florida,2,1.029,0.913,1.212,0.715,0.906
27,S.C. Aiken,2,1.028,1.107,1.418,0.837,0.912
28,Cal Poly Pomona,2,1.025,0.965,1.115,0.660,0.836
29,Southern Ark.,2,1.013,1.041,1.240,0.743,0.879
30,Colorado St.-Pueblo,2,1.012,1.095,1.152,0.691,0.807
31,Lander,2,1.010,0.995,1.548,0.929,0.926
32,Ouachita Baptist,2,1.000,0.924,1.388,0.842,0.905
33,Angelo St.,2,0.994,0.956,1.156,0.706,0.862
34,Quincy,2,0.991,0.942,1.500,0.918,0.827
35,North Ala.,2,0.982,1.050,1.213,0.749,0.827
36,Armstrong,2,0.976,1.048,1.264,0.786,0.837
37,UNC Pembroke,2,0.971,1.013,1.649,1.030,0.883
38,Mo. Western St.,2,0.967,0.928,1.222,0.766,0.845
39,Seton Hill,2,0.964,0.882,1.369,0.862,0.803
39,Valdosta St.,2,0.964,0.924,1.462,0.920,0.878
41,Lincoln Memorial,2,0.956,1.196,1.351,0.857,0.848
42,Mount Olive,2,0.955,1.039,1.520,0.965,0.849
43,St. Mary's (TX),2,0.953,0.888,1.159,0.737,0.780
44,Emporia St.,2,0.939,1.058,1.534,0.991,0.840
45,Palm Beach Atl.,2,0.936,1.139,1.355,0.878,1.009
46,Arkansas Tech,2,0.935,1.076,1.393,0.904,0.912
47,Wingate,2,0.925,1.151,1.508,0.989,0.889
47,Lenoir-Rhyne,2,0.925,1.174,1.182,0.775,0.887
49,Azusa Pacific,2,0.914,0.990,1.358,0.902,0.829
50,Mo. Southern St.,2,0.910,1.023,1.272,0.848,0.815
51,Dixie St.,2,0.896,1.157,1.151,0.780,0.820
52,Spring Hill,2,0.888,0.999,1.527,1.044,0.670
53,William Jewell,2,0.880,0.881,1.128,0.778,0.825
54,Wilmington (DE),2,0.877,1.012,1.065,0.737,0.787
55,Winston-Salem,2,0.876,1.017,1.080,0.748,0.805
56,Washburn,2,0.871,0.977,1.329,0.926,0.846
57,Tex. A&M-Kingsville,2,0.870,0.898,1.112,0.776,0.874
58,Harding,2,0.867,0.866,1.050,0.734,0.910
59,West Virginia St.,2,0.849,0.955,1.041,0.744,0.730
60,East Central,2,0.840,1.061,1.448,1.045,0.857
61,Tusculum,2,0.836,1.045,1.164,0.845,0.900
62,Truman,2,0.835,0.945,1.402,1.019,0.821
63,Ark.-Monticello,2,0.833,0.978,1.200,0.875,0.879
64,Kutztown,2,0.827,0.900,1.099,0.807,0.793
65,Francis Marion,2,0.821,0.911,1.621,1.197,0.859
66,Neb.-Kearney,2,0.812,1.030,1.371,1.025,0.834
67,Lake Erie,2,0.811,1.049,1.314,0.983,0.806
68,Minn. St. Mankato,2,0.810,0.995,1.302,0.975,0.748
69,Fresno Pacific,2,0.807,0.870,1.019,0.766,0.803
70,Fla. Southern,2,0.803,1.040,1.423,1.076,0.946
70,West Tex. A&M,2,0.803,1.165,0.948,0.716,0.848
72,Stonehill,2,0.800,0.937,1.320,1.001,0.819
73,Cal St. Monterey Bay,2,0.798,1.051,1.081,0.822,0.838
74,Carson-Newman,2,0.796,1.142,1.027,0.783,0.874
75,Newberry,2,0.795,1.003,1.124,0.858,0.878
75,Merrimack,2,0.795,0.981,1.179,0.901,0.830
77,Mo.-St. Louis,2,0.789,0.931,1.076,0.827,0.821
78,St. Edward's,2,0.781,1.007,1.097,0.853,0.822
79,Augustana (SD),2,0.775,0.974,0.978,0.766,0.741
80,California Baptist,2,0.769,0.990,1.001,0.789,0.845
81,Lindenwood (MO),2,0.766,0.939,1.442,1.142,0.865
81,Eckerd,2,0.766,1.122,1.000,0.792,0.968
83,St. Joseph's (IN),2,0.751,0.942,0.931,0.752,0.831
84,New Haven,2,0.750,0.808,1.309,1.059,0.804
85,Slippery Rock,2,0.748,0.954,1.420,1.152,0.818
86,Indiana (PA),2,0.738,1.016,1.075,0.884,0.855
87,Cal St. L.A.,2,0.736,1.109,1.091,0.899,0.837
88,Indianapolis,2,0.734,0.941,1.055,0.872,0.826
89,Barry,2,0.731,1.101,1.155,0.959,0.964
90,Northeastern St.,2,0.730,1.063,0.945,0.786,0.797
91,Wayne St. (MI),2,0.722,0.952,1.173,0.985,0.783
92,Lee,2,0.720,0.853,0.961,0.809,0.839
93,West Chester,2,0.717,0.943,1.135,0.960,0.838
93,Drury,2,0.717,1.051,1.058,0.895,0.872
95,Mercy,2,0.714,0.981,0.981,0.833,0.806
96,Cameron,2,0.711,1.079,0.906,0.773,0.861
97,Barton,2,0.710,1.104,1.082,0.924,0.816
98,Trevecca Nazarene,2,0.708,0.951,1.238,1.061,0.753
98,Rockhurst,2,0.708,0.996,1.009,0.864,0.820
100,California (PA),2,0.701,0.909,1.293,1.119,0.805
101,Shorter,2,0.699,0.981,1.148,0.996,0.854
102,King (TN),2,0.698,1.002,0.948,0.824,0.832
103,Mont. St. Billings,2,0.695,1.236,1.241,1.083,0.787
104,Oakland City,2,0.686,1.083,1.132,1.000,0.788
105,Hawaii Pacific,2,0.685,1.054,1.049,0.930,0.780
105,Anderson (SC),2,0.685,1.107,1.153,1.022,0.895
107,Metro St.,2,0.683,1.092,0.863,0.767,0.848
108,Dowling,2,0.679,0.924,1.036,0.927,0.771
109,Chico St.,2,0.678,0.960,1.027,0.920,0.834
110,Concordia (NY),2,0.674,0.948,1.030,0.928,0.749
111,Grand Valley St.,2,0.672,0.930,1.200,1.083,0.799
112,Western Ore.,2,0.669,0.874,0.994,0.901,0.786
112,Ashland,2,0.669,0.967,1.079,0.978,0.792
114,Bloomsburg,2,0.666,0.988,1.041,0.949,0.862
115,Chestnut Hill,2,0.665,0.966,0.951,0.867,0.742
116,Virginia St.,2,0.660,0.903,0.951,0.875,0.685
117,Southern Ind.,2,0.656,0.919,1.149,1.063,0.840
117,Missouri S&T,2,0.656,0.989,0.983,0.909,0.862
117,Montevallo,2,0.656,1.086,1.039,0.961,0.912
120,Saginaw Valley,2,0.646,0.865,0.997,0.937,0.779
121,Rollins,2,0.643,0.977,1.184,1.118,0.921
122,Central Mo.,2,0.642,1.023,0.856,0.808,0.818
123,Northwest Mo. St.,2,0.638,0.962,1.185,1.126,0.866
124,Point Loma,2,0.636,0.942,0.937,0.894,0.809
125,Northwestern Okla.,2,0.635,0.985,0.803,0.767,0.854
126,Pfeiffer,2,0.623,0.953,1.166,1.136,0.833
127,Shippensburg,2,0.622,0.951,1.146,1.118,0.865
128,GRU Augusta,2,0.619,1.044,1.022,1.002,0.936
129,Regis (CO),2,0.617,1.191,1.082,1.064,0.820
130,Ark.-Fort Smith,2,0.616,0.986,1.057,1.041,0.800
131,West Liberty,2,0.614,1.003,0.724,0.716,0.734
132,Mars Hill,2,0.613,1.236,0.962,0.951,0.879
133,Sonoma St.,2,0.611,0.846,0.967,0.960,0.816
133,Brevard,2,0.611,1.079,0.871,0.864,0.871
135,Wis.-Parkside,2,0.609,0.880,1.027,1.023,0.820
135,Lubbock Christian,2,0.609,1.083,1.168,1.164,0.785
137,Newman,2,0.608,1.221,1.061,1.059,0.785
138,Malone,2,0.602,0.887,1.099,1.108,0.806
138,Molloy,2,0.602,0.978,1.030,1.038,0.779
140,Central Okla.,2,0.599,1.044,1.055,1.068,0.818
141,Walsh,2,0.596,0.954,0.949,0.966,0.806
142,Cal St. Dom. Hills,2,0.595,1.120,0.885,0.902,0.841
143,North Greenville,2,0.594,0.987,1.173,1.198,0.840
144,Southern Conn. St.,2,0.593,1.013,1.045,1.069,0.766
145,Tarleton St.,2,0.584,1.081,0.885,0.919,0.903
146,Felician,2,0.581,0.955,1.080,1.128,0.795
