BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2008 | I   | I   | 16584 | 16584 |   86 | 33254
 2008 | I   | II  |   231 |    76 |    0 |   307
 2008 | I   | III |    94 |    35 |    4 |   133
 2008 | II  | II  | 10561 | 10561 |   28 | 21150
 2008 | II  | III |   196 |   121 |    2 |   319
 2008 | III | III | 12710 | 12710 |   72 | 25492
 2009 | I   | I   | 16985 | 16985 |   44 | 34014
 2009 | I   | II  |   178 |    70 |    0 |   248
 2009 | I   | III |   130 |    75 |    0 |   205
 2009 | II  | II  | 11180 | 11180 |   34 | 22394
 2009 | II  | III |   166 |   103 |    0 |   269
 2009 | III | III | 12664 | 12664 |   80 | 25408
 2010 | I   | I   | 18361 | 18361 |   46 | 36768
 2010 | I   | II  |   140 |    58 |    0 |   198
 2010 | I   | III |   125 |    65 |    0 |   190
 2010 | II  | II  | 11200 | 11200 |   18 | 22418
 2010 | II  | III |   130 |    87 |    2 |   219
 2010 | III | III | 13986 | 13986 |   36 | 28008
 2011 | I   | I   | 16406 | 16406 |   44 | 32856
 2011 | I   | II  |   114 |    36 |    1 |   151
 2011 | I   | III |    95 |    42 |    0 |   137
 2011 | II  | II  | 10581 | 10581 |   14 | 21176
 2011 | II  | III |    77 |    45 |    2 |   124
 2011 | III | III | 13042 | 13042 |   30 | 26114
 2012 | I   | I   | 16514 | 16514 |   36 | 33064
 2012 | I   | II  |    90 |    34 |    0 |   124
 2012 | I   | III |    48 |     6 |    0 |    54
 2012 | II  | II  | 11592 | 11592 |   28 | 23212
 2012 | II  | III |   126 |    61 |    0 |   187
 2012 | III | III | 14135 | 14135 |   40 | 28310
 2013 | I   | I   | 16470 | 16470 |   16 | 32956
 2013 | I   | II  |    62 |    28 |    2 |    92
 2013 | I   | III |    86 |     4 |    0 |    90
 2013 | II  | II  | 11562 | 11562 |   32 | 23156
 2013 | II  | III |    40 |    36 |    0 |    76
 2013 | III | III | 13776 | 13776 |   40 | 27592
 2014 | I   | I   | 16384 | 16384 |   36 | 32804
 2014 | I   | II  |    42 |    24 |    0 |    66
 2014 | I   | III |    52 |     6 |    0 |    58
 2014 | II  | II  | 11822 | 11822 |   12 | 23656
 2014 | II  | III |    48 |    48 |    0 |    96
 2014 | III | III | 13484 | 13484 |   52 | 27020
 2015 | I   | I   |  5276 |  5276 |   24 | 10576
 2015 | I   | II  |     8 |     6 |    0 |    14
 2015 | I   | III |     6 |     0 |    0 |     6
 2015 | II  | II  |  4186 |  4186 |    8 |  8380
 2015 | II  | III |    42 |    26 |    0 |    68
 2015 | III | III |  3297 |  3297 |   12 |  6606
(48 rows)

COMMIT
