FIRST ROUND (x-compensation pick)
1. Arizona, Dansby Swanson, SS, Vanderbilt.
2. Houston, Alex Bregman, SS, LSU.
3. Colorado, Brendan Rodgers, SS, Lake Mary (Fla.) HS.
4. Texas, Dillon Tate, RHP, UC Santa Barbara.
5. Houston, Kyle Tucker, OF, Plant HS, Tampa, Fla.
6. Minnesota, Tyler Jay, LHP, Illinois.
7. Boston, Andrew Benintendi, OF, Arkansas.
8. Chicago White Sox, Carson Fulmer, RHP, Vanderbilt.
9. Chicago Cubs, Ian Happ, OF, Cincinnati.
10. Philadelphia, Cornelius Randolph, SS, Griffin (Ga.) HS.
11. Cincinnati, Tyler Stephenson, C, Kennesaw (Ga.) Mountain HS.
12. Miami, Josh Naylor, 1B-LF, St. Joan of Arc Catholic SS, Mississauga, Ontario.
13. Tampa Bay, Garrett Whitley, OF, Niskayuna (N.Y.) HS.
14. Atlanta, Kolby Allard, LHP, San Clemente (Calif.) HS.
15. Milwaukee, Trent Clark, OF, Richland HS, North Richland Hills, Texas.
16. N.Y. Yankees, James Kaprielian, RHP, UCLA.
17. Cleveland, Brady Aiken, LHP, IMG Academy, Bradenton, Fla.
18. San Francisco, Phil Bickford, RHP, Southern Nevada.
19. Pittsburgh, Kevin Newman, SS, Arizona.
20. Oakland, Richie Martin, SS, Florida.
21. Kansas City, Ashe Russell, RHP, Cathedral HS, Indianapolis.
22. Detroit, Beau Borrows, RHP, Weatherford (Texas) HS.
23. St. Louis, Nick Plummer, OF, Brother Rice HS, Bloomfield Hills, Mich.
24. L.A. Dodgers, Walker Buehler, RHP, Vanderbilt.
25. Baltimore, D.J. Stewart, OF, Florida State.
26. L.A. Angels, Taylor Ward, C, Fresno State.
27. x-Colorado (Michael Cuddyear-NYM), Mike Nikorak, RHP, Stroudsburg (Pa.) HS.
28. x-Atlanta (Ervin Santana-Min), Mike Soroka, RHP, Bishop Carroll HS, Calgary.
29. x-Toronto (Melky Cabrera-CWS), Jon Harris, RHP, Missouri State.
30. x-N.Y. Yankees (David Robertson-CWS), Kyle Holder, SS, San Diego.
31. x-San Francisco (Pablo Sandoval-Bos), Chris Shaw, 1B, Boston College.
32. x-Pittsburgh (Russell Martin-Tor), Ke'Bryan Hayes, 3B, Concordia Lutheran HS, Tomball, Texas.
33. x-Kansas City (James Shields-SD), Nolan Watson, RHP, Lawrence North HS, Indianapolis.
34. x-Detroit (Max Scherzer-Was), Christin Stewart, OF, Tennessee.
35. x-L.A. Dodgers (Hanley Ramirez-Bos), Kyle Funkhouser, RHP, Louisville.
36. x-Baltimore (Nelson Cruz-Sea), Ryan Mountcastle, SS, Hagerty HS, Oviedo, Fla.
COMPETITIVE BALANCE A
37. Houston (from Miami), Daz Cameron, OF, Eagle's Landing Christian Academy, McDonough, Ga.
38. Colorado, Tyler Nevin, 3B, Poway (Calif.) HS.
39. St. Louis, Jake Woodford, RHP, H.B. Plant HS, Tampa Fla.
40. Milwaukee, Nathan Kirby, LHP, Virginia.
41. Atlanta (from San Diego), Austin Riley, 3B, DeSoto Central HS, Southaven, Miss.
42. Cleveland, Tristan McKenzie, RHP, Royal Palm Beach (Fla.) HS.
SECOND ROUND
43. Arizona, Alex Young, LHP, TCU.
44. Colorado, Peter Lambert, RHP, San Dimas (Calif.) HS.
45. Texas, Eric Jenkins, OF, West Columbus HS, Cerro Gordo, N.C.
46. Houston, Thomas Eshelman, RHP, Cal State Fullerton.
47. Chicago Cubs, Donnie Dewees, OF, North Florida.
48. Philadelphia, Scott Kingery, 2B, Arizona.
49. Cincinnati, Antonio Santillan, RHP, Seguin (Texas) HS.
50. Miami, Brett Lilek, LHP, Arizona State.
51. San Diego, Austin Smith, RHP, Park Vista Community HS, Lake Worth, Fla.
52. Tampa Bay, Chris Betts, C, Woodrow Wilson HS, Long Beach, Calif.
53. N.Y. Mets, Desmond Lindsay, OF, The Out-Of-Door Academy, Sarasota, Fla.
54. Atlanta, Lucas Herbert, C, San Clemente (Calif.) HS.
55. Milwaukee, Cody Ponce, RHP, Cal Poly Pomona.
56. Toronto, Brady Singer, RHP, Eustis (Fla.) HS.
57. N.Y. Yankees, Jeff Degano, LHP, Indiana State.
58. x-Washington (unsigned Andrew Suarez), Andrew Stevenson, OF, LSU.
59. Cleveland, Juan Hillman, LHP, Olympia HS, Orlando, Fla.
60. Seattle, Nick Neidert, RHP, Peachtree Ridge HS, Suwanee, Ga.
61. San Francisco, Andrew Suarez, LHP, Miami.
62. Pittsburgh, Kevin Kramer, SS, UCLA.
63. Oakland, Mikey White, SS, Alabama.
64. Kansas City, Josh Staumont, RHP, Azusa Pacific.
65. Detroit, Tyler Alexander, LHP, TCU.
66. St. Louis, Bryce Denton 3B, Ravenwood HS, Brentwood, Tenn.
67. L.A. Dodgers, Mitch Hansen, OF, Plano (Texas) Senior HS.
68. Baltimore, Jonathan Hughes, RHP, Flowery Branch (Ga.) HS.
69. Washington, Blake Perkins, OF, Verrado HS, Buckeye, Ariz.
70. L.A. Angels, Jahmai Jones, OF, Wesleyan HS, Norcross, Ga.
COMPETITIVE BALANCE B
71. Cincinnati, Tanner Rainey, RHP, West Alabama.
72. Seattle, Andrew Moore, RHP, Oregon State.
73. Minnesota, Kyle Cody, RHP, Kentucky.
74. L.A. Dodgers (from Baltimore), Josh Sborz, RHP, Virginia.
75. Atlanta (from Arizona), A.J. Minter, LHP, Texas A&M.
THIRD ROUND
77. Colorado, Javier Medina, RHP, Sahuaro HS, Tucson, Ariz.
78. Texas, Michael Matuella, RHP, Duke.
79. Houston, Riley Ferrell, RHP, TCU.
80. Minnesota, Travis Blankenhorn, 3B, Pottsville (Pa.) HS.
81. Boston, Austin Rei, C, Washington.
82. Chicago, Bryan Hudson, LHP, Alton HS, Godfrey, Ill.
83. Philadelphia, Lucas Williams, SS, Dana Hills HS, Luguna Neguel, Calif.
84. Cincinnati, Blake Trahan, SS, Louisiana-Lafayette.
85. Miami, Isaiah White, CF, Greenfield School, Wilson, N.C.
86. San Diego, Jacob Nix, RHP, IMG Academy, Los Alamitos, Calif.
87. Tampa Bay, Brandon Lowe, 2B, Maryland.
88. N.Y. Mets, Max Wotell, LHP, Marvin (N.C.) Ridge HS.
89. Atlanta, Anthony Guardado, RHP, Nogales HS, La Puente, Calif.
90. Milwaukee, Nash Walters, RHP, Lindale (Texas) HS.
91. Toronto, Justin Maese, RHP, Ysleta HS, El Paso, Texas.
92. N.Y. Yankees, Drew Finley, RHP, Rancho Bernardo HS, San Diego.
93. Cleveland, Mark Mathias, 2B, Cal Poly.
94. Seattle, Braden Bishop, CF, Washington.
95. San Francisco, Jalen Miller, SS, Riverwood International Charter School, Atlanta.
96. Pittsburgh, Casey Hughston, LF, Alabama
97. Oakland, Dakota Chalmers, RHP, North Forsyth HS, Gainesville, Ga.
98. Kansas City, Anderson Miller, CF, Western Kentucky.
99. Detroit, Drew Smith, RHP, Dallas Baptist.
100. St. Louis, Harrison Bader, OF, Florida.
101. L.A. Angels, Philip Pfeifer, LHP, Vanderbilt.
102. Baltimore, Garrett Cleavinger, LHP, Oregon.
103. Washington, Rhett Wiseman, OF, Vanderbilt.
104. L.A. Angels, Grayson Long, RHP, Texas A&M.
FOURTH ROUND
107. Colorado, David Hill, RHP, San Diego.
108. Texas, Jake Lemoine, RHP, Houston.
109. Houston, Anthony Hermelyn, C, Oklahoma.
110. Minnesota, Trey Cabbage, 3B, Grainger HS, Blaine, Tenn.
111. Boston, Tate Matheny, CF, Missouri St.
112. Chicago White Sox, Zack Erwin, LHP, Clemson.
113. Chicago, Darryl Wilson, OF, Canton (Ohio) South HS.
114. Philadelphia, Kyle Martin, 1B, South Carolina.
115. Cincinnati, Miles Gordon, CF, St. Ignatius of Loyola Catholic SS, Oakville, Ontario.
116. Miami, Cody Poteet, RHP, UCLA.
117. San Diego, Austin Allen, C, Florida Tech.
118. Tampa Bay, Brandon Koch, RHP, Dallas Baptist U.
119. N.Y. Mets, David Thompson, 3B, Miami.
120. Atlanta, Josh Graham, RHP, Oregon.
121. Milwaukee, Demi Orimoloye, RF, St. Matthew HS, Orleans, Ontario.
122. Toronto, Carl Wise, 3B, College of Charleston.
123. N.Y. Yankees, Jeff Hendrix, CF, Oregon St.
124. Cleveland, Tyler Krieger, SS, Clemson.
125. Seattle, Dylan Thompson, RHP, Socastee HS, Myrtle Beach, S.C.
126. San Francisco, Mac Marshall, LHP, Chipola College.
127. Pittsburgh, Jacob Taylor, RHP, Pearl River CC.
128. Oakland, Skye Bolt, CF, North Carolina.
129. Kansas City, Garrett Davila, LHP, South Point HS, Belmont, N.C.
130. Detroit, Kade Scivicque, C, LSU.
131. St. Louis, Paul DeJong, 3B, Illinois St.
132. L.A. Dodgers, Willie Calhoun, 2B, Yavapai College.
133. Baltimore, Ryan McKenna, CF, St. Thomas Aquinas HS, Berwick, Maine.
134. Washington, Mariano Rivera, RHP, Iona.
135. L.A. Angels, Brendon Sanger, RF, FAU.
FIFTH ROUND
137. Colorado, Parker French, RHP, Texas.
138. Texas, Chad Smith, OF, South Gwinnett HS, Snellville, Ga.
139. Houston, Trent Thornton, RHP, North Carolina
140. Minnesota, Alex Robinson, LHP, Maryland.
141. Boston, Jagger Rusconi, CF, West Ranch HS, Valencia, Calif.
142. Chicago White Sox, Jordan Stephens, RHP, Rice.
143. Chicago, Ryan Kellogg, LHP, Arizona St.
144. Philadelphia, Bailey Falter, LHP, Chino Hills (Calif.) HS.
145. Cincinnati, Ian Kahaloa, RHP, Campbell HS, Ewa Beach, Hawaii.
146. Miami, Justin Jacome, LHP, UC Santa Barbara.
147. San Diego, Josh Magee, CF, Franklinton (La.) HS.
148. Tampa Bay, Joe McCarthy, RF, Virginia.
149. N.Y. Mets, Thomas Szapucki, LHP, William T. Dwyer HS, Palm Beach Gardens, Fla.
150. Atlanta, Ryan Clark, RHP, UNC Greensboro.
151. Milwaukee, Blake Allemand, SS, Texas A&M.
152. Toronto, Jose Espada, RHP, Jose Collazo Colon HS, Cosamo, Puerto Rico.
153. N.Y. Yankees, Chance Adams, RHP, Dallas Baptist.
154. Cleveland, Ka'Ai Tom, CF, Kentucky.
155. Seattle, Drew Jackson, SS, Stanford.
156. San Francisco, Ronnie Jebavy, CF, Middle Tennessee.
157. Pittsburgh, Brandon Waddell, LHP, Virginia.
158. Oakland, Kevin Duchene, LHP, Illinois.
159. Kansas City, Roman Collins, CF, FAU.
160. Detroit, Cam Gibson, CF, Michigan St.
161. St. Louis, Ryan Helsley, RHP, Northeastern St.
162. L.A. Dodgers, Brendon Davis, SS, Lakewood (Calif.) HS.
163. Baltimore, Jason Heinrich, LF, River Ridge Middle HS, Spring Hill, Fla.
164. Washington, Taylor Hearn, LHP, Oklahoma Baptist.
165. L.A. Angels, Jared Foster, RF, LSU.
SIXTH ROUND
167. Colorado, Jack Wynkoop, LHP, South Carolina.
168. Texas, Tyler Ferguson, RHP, Vanderbilt.
169. Houston, Nestor Muriel, CF, Carlos Beltran Baseball Academy, Carolina, Puerto Rico.
170. Minnesota, Christopher Paul, RF, California.
171. Boston, Travis Lakins, RHP, Ohio St.
172. Chicago White Sox, Corey Zangari, 1B, Carl Albert HS, Oklahoma City.
173. Chicago, Dave Berg, RHP, UCLA.
174. Philadelphia, Tyler Gilbert, LHP, Southern Cal.
175. Cincinnati, Jimmy Herget, RHP, South Florida.
176. Miami, Justin Cohen, Riverview HS, C, Sarasota, Fla.
177. San Diego, Jordan Guerrero, RHP, Polk St.
178. Tampa Bay, Benton Moss, RHP, North Carolina.
179. N.Y. Mets, Chase Ingram, RHP, Hillsborough CC.
180. Atlanta, Matt Withrow, RHP, Texas Tech.
181. Milwaukee, Eric Hanhold, RHP, Florida.
182. Toronto, JC Cardenas, SS, Barry U.
183. N.Y. Yankees, Brandon Wagner, 2B, Howard.
184. Cleveland, Jonas Wyatt, Quartz Hill HS, RHP, Lancaster, Calif.
185. Seattle, Kyle Wilcox, RHP, Bryant.
186. San Francisco, Steven Duggar, CF, Clemson.
187. Pittsburgh, Jonathan Brubaker, RHP, Akron.
188. Oakland, Bowdien Derby, RHP, San Diego St.
189. Kansas City, Cody Jones, CF, TCU.
190. Detroit, Matt Hall, LHP, Missouri St.
191. St. Louis, Jacob Evans, LHP, Oklahoma.
192. L.A. Dodgers, Edwin Rios, 1B, FIU.
193. Baltimore, Jay Flaa, RHP, North Dakota St.
194. Washington, Matt Crownover, LHP, Clemson.
195. L.A. Angels, David Fletcher, SS, Loyola Marymount.
SEVENTH ROUND
196. Arizona, Francis Christy, C, Palomar College.
197. Colorado, Brian Mundell, 1B, Cal Poly.
198. Texas, Dylan Moore, SS, UCF.
199. Houston, Michael Freeman, LHP, Oklahoma St.
200. Minnesota, Jovani Moran, LHP, Carlos Beltran Baseball Academy, Sabana Grande, Puerto Rico.
201. Boston, Ben Taylor, RHP, South Alabama.
202. Chicago White Sox, Blake Hickman, RHP, Iowa.
203. Chicago, Craig Brooks, RHP, Catawba.
204. Philadelphia, Luke Leftwich, RHP, Wofford.
205. Cincinnati, Jordan Ramsey, RHP, UNC Wilmington.
206. Miami, Travis Neubeck, RHP, Indian Hills CC.
207. San Diego, Trevor Megill, RHP, Loyola Marymount.
208. Tampa Bay, Jake Cronenworth, 2B, Michigan.
209. N.Y. Mets, Corey Taylor, RHP, Texas Tech.
210. Atlanta, Patrick Weigel, RHP, Houston.
211. Milwaukee, George Iskenderian, 3B, Miami.
212. Toronto, Travis Bergen, LHP, Kennesaw St.
213. N.Y. Yankees, Jhalan Jackson, RF, Florida Southern.
214. Cleveland, Nathan Lukes, RF, Cal St. Sacramento.
215. Seattle, Ryan Uhl, 1B, Indiana.
216. San Francisco, Jose Vizcaino, 3B, Santa Clara.
217. Pittsburgh, Mitchell Tolman, 3B, Oregon.
218. Oakland, Kyle Friedrichs, RHP, Long Beach St.
219. Kansas City, Gabriel Cancel, SS, Padre Anibal Reyes Belen, Arecibo, Puerto Rico.
220. Detroit, Nicholas Shumpert, SS, Highlands Ranch HS, Lone Tree, Colo.
221. St. Louis, Jesse Jenner, C, San Diego.
222. L.A. Dodgers, Andrew Sopko, RHP, Gonzaga.
223. Baltimore, Gray Fenter, RHP, West Memphis (Ark.) Senior HS.
224. Washington, Grant Borne, LHP, Nicholls St.
225. L.A. Angels, Hutton Moyer, 2B, Pepperdine.
EIGHTH ROUND
226. Arizona, Kal Simmons, SS, Kennesaw St.
227. Colorado, Colin Welmon, RHP, Loyola Marymount.
228. Texas, Blake Bass, RHP, Angelo St.
229. Houston, Garrett Stubbs, C, U Southern Cal.
230. Minnesota, Kolton Kendrick, 1B, Oak Forest Academy, Loranger, La.
231. Boston, Logan Allen, LHP, IMG Academy, Fletcher, N.C.
232. Chicago White Sox, Casey Schroeder, C, Coastal Carolina.
233. Chicago, Preston Morrison, RHP, TCU.
234. Philadelphia, Greg Pickett, OF, Legend HS, Aurora, Colo.
235. Cincinnati, Mitch Piatnik, SS, Florida Manatee-Sarasota.
236. Miami, Chris Paddack, RHP, Cedar Park (Texas) HS.
237. San Diego, Aldemar Burgos, CF, Carlos Beltran Baseball Academy, Guaynabo, Puerto Rico.
238. Tampa Bay, Reece Karalus, RHP, Santa Clara.
239. N.Y. Mets, Patrick Mazeika, C, Stetson.
240. Atlanta, Ryan Lawlor, LHP, Georgia.
241. Milwaukee, Nate Griep, RHP, Kansas St.
242. Toronto, Daniel Young, LHP, Florida.
243. N.Y. Yankees, Donny Sands, 3B, Salpointe Catholic HS, Oro Valley, Ariz.
244. Cleveland, Justin Garza, RHP, Cal St. Fullerton.
245. Seattle, Cody Mobley, RHP, Mount Vernon (Ind.) HS.
246. San Francisco, Cory Taylor, RHP, Dallas Baptist.
247. Pittsburgh, Seth McGarry, RHP, FAU.
248. Oakland, Nick Collins, C, Georgetown.
249. Kansas City, Bryon Davis, LHP, Arkansas-Pine Bluff.
250. Detroit, Dominic Moreno, RHP, Texas Tech.
251. St. Louis, Ian Oxnevad, LHP, Shorewood HS, Shoreline, Wash.
252. L.A. Dodgers, Tommy Bergjans, RHP, Haverford.
253. Baltimore, Seamus Curran, 1B, Agawam HS, Feeding Hills, Mass.
254. Washington, Koda Glover, RHP, Oklahoma St.
255. L.A. Angels, Kyle Survance, CF, Houston.
NINTH ROUND
256. Arizona, Pierce Romero, RHP, Santa Barbara CC.
257. Colorado, Trey Killian, RHP, Arkansas.
258. Texas, Peter Fairbanks, RHP, Missouri.
259. Houston, Zac Person, LHP, LSU.
260. Minnesota, LaMonte Wade, CF, Maryland.
261. Boston, Tucker Tubbs, 1B, Memphis.
262. Chicago White Sox, Ryan Hinchley, LHP, Illinois-Chicago.
263. Chicago, Tyler Peitzmeier, LHP, Cal St. Fullerton.
264. Philadelphia, Mark Laird, CF, LSU.
