year,team_name,division_id,count
2013,North Carolina,1,70
2013,Mississippi St.,1,64
2013,Elon,1,64
2014,Texas Tech,1,63
2013,LSU,1,63
2014,Oklahoma St.,1,62
2014,Louisville,1,62
2014,Florida,1,61
2013,Wichita St.,1,61
2013,South Carolina,1,61
2013,Troy,1,61
2013,Austin Peay,1,61
2013,Kansas St.,1,60
2013,Florida St.,1,60
2014,Vanderbilt,1,59
2013,Georgia Tech,1,59
2013,La.-Lafayette,1,59
2014,Stetson,1,59
2013,South Ala.,1,59
2014,Jacksonville St.,1,59
2014,Dallas Baptist,1,59
2013,Coastal Caro.,1,59
2014,TCU,1,59
2014,La.-Lafayette,1,59
2013,UTSA,1,58
2014,Campbell,1,58
2013,Sacramento St.,1,58
2013,Southern Ill.,1,58
2014,Oklahoma,1,58
2014,Michigan,1,58
2013,Oklahoma,1,58
2013,Houston,1,57
2013,Dallas Baptist,1,57
2013,Charlotte,1,57
2014,Miami (FL),1,57
2013,Kennesaw St.,1,57
2013,North Carolina St.,1,57
2014,Kansas,1,56
2013,Florida,1,56
2014,McNeese St.,1,56
2014,Col. of Charleston,1,56
2013,Citadel,1,56
2014,Texas St.,1,56
2014,Mississippi St.,1,56
2013,Virginia Tech,1,56
2014,Ga. Southern,1,56
2013,Texas St.,1,56
2014,LSU,1,56
2014,Florida St.,1,56
2014,Nebraska,1,56
2013,UCLA,1,56
2014,South Carolina,1,55
2014,Arkansas,1,55
2013,Auburn,1,55
2014,Ohio St.,1,55
2014,Alabama,1,55
2013,Oklahoma St.,1,55
2013,Tennessee Tech,1,55
2014,Texas,1,55
2014,Missouri St.,1,55
2013,CSUN,1,54
2013,Texas A&M,1,54
2013,Mercer,1,54
2014,Southeastern La.,1,54
2014,Tennessee Tech,1,54
2013,Vanderbilt,1,54
2013,Kansas,1,54
2014,Southern Ind.,2,54
2013,East Tenn. St.,1,54
2013,Bakersfield,1,53
2014,Georgia Tech,1,53
2014,San Jose St.,1,53
2014,Bakersfield,1,53
2014,Southern Miss.,1,53
2013,Eastern Ky.,1,53
2013,UC Santa Barbara,1,53
2013,Southern Miss.,1,53
2014,Sacramento St.,1,53
2013,Campbell,1,53
2013,Louisville,1,53
2013,East Carolina,1,53
2013,Oregon St.,1,53
2013,Stetson,1,53
2013,Jacksonville St.,1,53
2014,Kentucky,1,53
2014,UTSA,1,52
2013,Ga. Southern,1,52
2013,Alabama,1,52
2013,Furman,1,52
2013,UC Davis,1,52
2014,North Carolina,1,52
2014,North Carolina St.,1,52
2013,Lipscomb,1,52
2013,Long Beach St.,1,52
2014,Nicholls St.,1,52
2014,Citadel,1,52
2013,Arkansas,1,52
2014,Southern Ill.,1,52
2014,Winthrop,1,52
2013,FGCU,1,52
2013,Tulane,1,52
2014,East Carolina,1,52
2013,Lamar,1,51
2014,Stanford,1,51
2014,Northern Ill.,1,51
2014,Eastern Ill.,1,51
2014,USC Upstate,1,51
2013,Kentucky,1,51
2013,Western Ky.,1,51
2013,UC Irvine,1,51
2014,Auburn,1,51
2013,Memphis,1,51
2014,Kansas St.,1,51
2014,Baylor,1,51
2014,Northwestern St.,1,51
2013,Michigan,1,51
2013,Oral Roberts,1,51
2014,Rutgers,1,51
2013,Tampa,2,51
2013,St. Mary's (CA),1,51
2014,Michigan St.,1,51
2013,Bryant,1,51
2013,UCF,1,51
2013,Miami (FL),1,51
2013,Southeast Mo. St.,1,51
2013,USC Upstate,1,51
2013,Nebraska,1,50
2013,Cal Poly,1,50
2014,Pittsburgh,1,50
2014,Murray St.,1,50
2014,Wake Forest,1,50
2014,Jacksonville,1,50
2014,Radford,1,50
2013,Wofford,1,50
2013,Middle Tenn.,1,50
2014,Wofford,1,50
2014,Appalachian St.,1,50
2014,Memphis,1,50
2013,UALR,1,50
2014,UC San Diego,2,50
2014,Western Ky.,1,50
2014,Minnesota,1,50
2014,Lamar,1,49
2013,Col. of Charleston,1,49
2013,San Jose St.,1,49
2014,Coastal Caro.,1,49
2014,Texas A&M,1,49
2014,High Point,1,49
2013,Youngstown St.,1,49
2014,Nevada,1,49
2013,Baylor,1,49
2013,Murray St.,1,49
2014,Missouri,1,49
2014,Evansville,1,49
2014,Mercer,1,49
2013,Northern Ky.,1,48
2013,Indiana,1,48
2014,Miami (OH),1,48
2014,Indiana,1,48
2013,Wright St.,1,48
2014,South Fla.,1,48
2014,South Ala.,1,48
2014,West Virginia,1,48
2013,Wake Forest,1,48
2014,Southeast Mo. St.,1,48
2014,Illinois,1,48
2013,Arkansas St.,1,48
2014,Arkansas St.,1,48
2014,Charlotte,1,48
2013,Tennessee,1,48
2014,Maryland,1,48
2014,Oregon St.,1,48
2013,Loyola Marymount,1,48
2013,Notre Dame,1,48
2014,Incarnate Word,1,48
2014,Fresno Pacific,2,48
2013,Louisiana Tech,1,48
2013,West Virginia,1,48
2014,Oral Roberts,1,48
2013,Texas Tech,1,48
2013,Stanford,1,47
2014,Old Dominion,1,47
2014,Belmont,1,47
2014,Northwestern,1,47
2013,Illinois,1,47
2013,Alabama St.,1,47
2013,VMI,1,47
2014,Bethune-Cookman,1,47
2013,High Point,1,47
2013,La.-Monroe,1,47
2014,La.-Monroe,1,47
2013,A&M-Corpus Chris,1,47
2013,Missouri St.,1,47
2014,Tampa,2,47
2013,Tex. A&M-Kingsville,2,47
2014,Tennessee,1,47
2014,UNLV,1,47
2014,Furman,1,47
2014,Air Force,1,47
2013,Texas,1,47
2013,Delta St.,2,47
2013,Sonoma St.,2,46
2014,New Orleans,1,46
2013,McNeese St.,1,46
2013,Western Ore.,2,46
2013,Tex.-Pan American,1,46
2013,UConn,1,46
2014,Wichita St.,1,46
2013,Appalachian St.,1,46
2013,UNCW,1,46
2014,Pacific,1,46
2013,UC Riverside,1,46
2013,Arizona,1,46
2014,Elon,1,46
2013,Ohio St.,1,45
2014,Tulane,1,45
2014,Utah Valley,1,45
2014,East Tenn. St.,1,45
2014,Central Mich.,1,45
2013,SIUE,1,45
2013,New Orleans,1,45
2013,Nevada,1,45
2014,Kent St.,1,45
2014,Loyola Marymount,1,45
2013,Missouri,1,45
2014,UCLA,1,45
2014,Alabama St.,1,45
2014,Tex.-Pan American,1,45
2014,Notre Dame,1,45
2014,UCF,1,45
2013,Pepperdine,1,45
2013,VCU,1,45
2013,Hawaii,1,45
2013,Southern California,1,45
2013,Winthrop,1,45
2013,Duke,1,45
2013,West Tex. A&M,2,45
2014,Houston,1,45
2014,Valparaiso,1,44
2014,William & Mary,1,44
2013,Valdosta St.,2,44
2014,Youngstown St.,1,44
2013,Indiana St.,1,44
2014,Virginia Tech,1,44
2013,Monmouth,1,44
2013,Portland,1,44
2013,UT Martin,1,44
2013,West Florida,2,44
2013,Western Caro.,1,44
2014,Ill.-Chicago,1,44
2014,Arizona,1,44
2014,Central Ark.,1,44
2014,Austin Peay,1,44
2014,Troy,1,43
2014,Milwaukee,1,43
2013,Lynn,2,43
2014,North Florida,1,43
2014,Southern California,1,43
2013,Morehead St.,1,43
2014,Morehead St.,1,43
2014,Wright St.,1,43
2013,Valparaiso,1,43
2014,San Fran. St.,2,43
2014,King (TN),2,43
2014,Creighton,1,43
2013,Villanova,1,43
2014,Louisiana Tech,1,43
2014,Cal Poly,1,43
2014,Cal St. L.A.,2,43
2013,Northwestern St.,1,43
2014,Western Caro.,1,43
2013,New Mexico St.,1,43
2013,Azusa Pacific,2,42
2013,Cal St. Monterey Bay,2,42
2013,Dixie St.,2,42
2013,UNCG,1,42
2014,Lynn,2,42
2014,Academy of Art,2,42
2014,UNCW,1,42
2014,Harding,2,42
2013,Maryland,1,42
2013,Chicago St.,1,42
2013,Shippensburg,2,42
2014,St. Mary's (CA),1,42
2013,Washington St.,1,42
2014,Christian Bros.,2,42
2013,Angelo St.,2,42
2013,Evansville,1,42
2013,Towson,1,42
2013,Rutgers,1,42
2014,FIU,1,42
2014,Canisius,1,42
2014,Northeastern St.,2,42
2014,West Tex. A&M,2,42
2014,Seton Hill,2,42
2013,George Washington,1,42
2014,James Madison,1,42
2014,Hawaii,1,42
2013,Southeastern La.,1,42
2014,Charleston So.,1,41
2013,Houston Baptist,1,41
2014,Houston Baptist,1,41
2013,Georgia College,2,41
2013,North Florida,1,41
2013,Utah Valley,1,41
2014,Liberty,1,41
2013,California,1,41
2014,Chicago St.,1,41
2014,UT Martin,1,41
2013,Presbyterian,1,41
2013,Northern Ill.,1,41
2013,Eastern Mich.,1,41
2014,Washington St.,1,41
2014,Eastern Ky.,1,41
2013,Gardner-Webb,1,41
2013,Stony Brook,1,40
2014,Kennesaw St.,1,40
2013,Fla. Atlantic,1,40
2014,N.C. A&T,1,40
2013,Pittsburgh,1,40
2014,Cal St. Monterey Bay,2,40
2014,Presbyterian,1,40
2014,UC Davis,1,40
2014,Azusa Pacific,2,40
2013,Radford,1,40
2013,Xavier,1,40
2014,Dixie St.,2,40
2013,San Diego,1,40
2013,Northeastern St.,2,40
2013,Eastern Ill.,1,40
2013,Bethune-Cookman,1,40
2013,McKendree,2,40
2013,St. Edward's,2,40
2013,Mont. St. Billings,2,40
2013,Michigan St.,1,40
2014,Southwest Minn. St.,2,40
2014,Gonzaga,1,40
2014,N.M. Highlands,2,39
2014,FGCU,1,39
2013,Marshall,1,39
2013,Bentley,2,39
2014,Fairleigh Dickinson,1,39
2013,Mo. Western St.,2,39
2013,Academy of Art,2,39
2013,BYU,1,39
2013,Seattle,1,39
2013,Barton,2,39
2013,Texas-Arlington,1,39
2013,Akron,1,39
2014,Penn St.,1,39
2013,Central Mo.,2,39
2013,Point Loma,2,39
2014,Limestone,2,39
2013,Pacific,1,39
2014,Bowling Green,1,39
2013,Colorado Mesa,2,39
2014,Utah,1,39
2013,California (PA),2,39
2013,Mo. Southern St.,2,39
2014,Middle Tenn.,1,39
2013,Air Force,1,39
2014,Sonoma St.,2,39
2014,Saint Louis,1,38
2013,Marist,1,38
2014,Southern Ark.,2,38
2014,Eckerd,2,38
2014,Lee,2,38
2013,Purdue,1,38
2013,James Madison,1,38
2013,TCU,1,38
2014,Texas-Arlington,1,38
2014,Lipscomb,1,38
2014,Cal St. Stanislaus,2,38
2014,Indiana St.,1,38
2014,Fla. Southern,2,38
2014,New Mexico,1,38
2013,Nicholls St.,1,38
2014,Indianapolis,2,38
2014,SIUE,1,38
2014,Western Ore.,2,38
2014,Point Loma,2,38
2014,Fla. Atlantic,1,37
2013,Jacksonville,1,37
2014,Shippensburg,2,37
2013,UNC Pembroke,2,37
2013,Central Wash.,2,37
2014,Purdue,1,37
2014,San Francisco,1,37
2013,Navy,1,37
2013,Washburn,2,37
2014,Colorado Mesa,2,37
2013,Eastern N.M.,2,37
2014,Eastern N.M.,2,37
2013,Cal St. Fullerton,1,37
2013,New Mexico,1,37
2014,Truman,2,37
2014,Buffalo,1,37
2013,Francis Marion,2,37
2014,George Washington,1,37
2013,Incarnate Word,2,37
2014,Bellarmine,2,37
2014,Iowa,1,37
2013,Utah,1,36
2013,Miami (OH),1,36
2013,Penn St.,1,36
2013,San Diego St.,1,36
2013,Holy Cross,1,36
2014,Barton,2,36
2013,Central Ark.,1,36
2013,Wagner,1,36
2014,Francis Marion,2,36
2014,Savannah St.,1,36
2014,Grand Valley St.,2,36
2013,Massachusetts,1,36
2014,BYU,1,36
2013,George Mason,1,36
2014,Augustana (SD),2,36
2014,Florida Tech,2,36
2014,Towson,1,35
2013,Concord,2,35
2013,Charleston So.,1,35
2014,Bradley,1,35
2014,Abilene Christian,1,35
2013,Fresno St.,1,35
2013,Creighton,1,35
2014,Northern Ky.,1,35
2013,Flagler,2,35
2013,Hartford,1,35
2013,Cal St. L.A.,2,35
2014,Ala.-Huntsville,2,35
2013,Columbus St.,2,35
2013,California Baptist,2,35
2013,Central Mich.,1,35
2014,Portland,1,35
2014,Navy,1,34
2013,Florida Tech,2,34
2013,Franklin Pierce,2,34
2013,Arkansas Tech,2,34
2014,Hofstra,1,34
2014,Central Mo.,2,34
2013,Christian Bros.,2,34
2014,Fordham,1,34
2013,La Salle,1,34
