         name         | po  | cl  |        team         | pa  | bb_p  | so_p  | wops  
----------------------+-----+-----+---------------------+-----+-------+-------+-------
 Sell, Nick           | INF | Sr  | Seton Hill          | 207 | 0.159 | 0.097 | 2.185
 Uhl, Ryan            | OF  | Sr  | Indiana (PA)        | 180 | 0.183 | 0.117 | 2.157
 Eads, Taylor         | OF  | Sr  | Spring Hill         | 164 | 0.177 | 0.104 | 2.092
 Albertson, Will      | C   | Jr  | Catawba             | 242 | 0.087 | 0.079 | 2.006
 Newman, Hunter       | 1B  | Jr  | Trevecca Nazarene   | 247 | 0.158 | 0.057 | 1.993
 Cuthrell, Collins    | 3B  | Sr  | UNC Pembroke        | 245 | 0.139 | 0.127 | 1.940
 Tice, Dylan          | INF | Sr  | West Chester        | 173 | 0.145 | 0.023 | 1.934
 Wilson, Matt         | OF  | Sr  | Shepherd            | 202 | 0.084 | 0.084 | 1.876
 Miller, Chris        | C   | Jr  | Seton Hill          | 167 | 0.126 | 0.078 | 1.875
 Garcia, Justin       | 1B  | Jr  | Nova Southeastern   | 216 | 0.111 | 0.157 | 1.869
 Baur, Albert         | INF | Sr  | Newberry            | 243 | 0.115 | 0.095 | 1.816
 Jackson, Jhalan      | OF  | Jr  | Fla. Southern       | 201 | 0.080 | 0.154 | 1.809
 Rainey, Tanner       | INF | Sr  | West Ala.           | 193 | 0.166 | 0.202 | 1.807
 Simbeck, Colton      | OF  | Sr  | Ala.-Huntsville     | 151 | 0.079 | 0.265 | 1.796
 Floros, William      | 3B  | Jr  | Spring Hill         | 157 | 0.197 | 0.089 | 1.787
 Morozowski, Jason    | OF  | Jr  | Mount Olive         | 236 | 0.085 | 0.127 | 1.770
 Montville, Mike      | OF  | Sr  | Southern N.H.       | 152 | 0.204 | 0.138 | 1.765
 Rubino, Matt         | C   | Sr  | Francis Marion      | 215 | 0.130 | 0.126 | 1.741
 Urbania, Adam        | OF  | Sr  | Slippery Rock       | 199 | 0.080 | 0.085 | 1.740
 Wojciechowski, Alex  | P   | Jr  | Minn. Duluth        | 219 | 0.114 | 0.169 | 1.729
 Hardy, Clint         | OF  | So  | GRU Augusta         | 162 | 0.074 | 0.105 | 1.728
 Czarnecki, Kevin     | INF | Sr  | Fort Hays St.       | 198 | 0.111 | 0.167 | 1.727
 Rall, Jesse          | INF | Jr  | Mo. Southern St.    | 192 | 0.115 | 0.198 | 1.721
 Long, Dean           | INF | Sr  | Emporia St.         | 239 | 0.079 | 0.163 | 1.721
 Young, Kamran        | OF  | Sr  | Cal St. Dom. Hills  | 225 | 0.164 | 0.133 | 1.711
 Tracy, Chandler      | C   | Sr  | Saint Martin's      | 182 | 0.203 | 0.220 | 1.707
 Waletich, Max        | INF | Sr  | Minn. St. Mankato   | 173 | 0.081 | 0.052 | 1.707
 Jurgella, Mike       | C   | Sr  | St. Cloud St.       | 221 | 0.113 | 0.063 | 1.704
 Paris, Troy          | 3B  | Jr  | Ky. Wesleyan        | 213 | 0.127 | 0.070 | 1.699
 Koehler, Joe         | INF | Jr  | Mount Olive         | 186 | 0.134 | 0.151 | 1.693
 Spitz, Thomas        | OF  | Sr  | Wingate             | 267 | 0.142 | 0.101 | 1.689
 Sarty, Jonathan      | OF  | So  | Shepherd            | 184 | 0.049 | 0.109 | 1.688
 Mock, Austin         | INF | Sr  | Indiana (PA)        | 184 | 0.136 | 0.190 | 1.686
 Peters, Matt         | INF | Sr  | California (PA)     | 180 | 0.089 | 0.078 | 1.685
 Burden, Tyler        | P   | Jr  | Chowan              | 165 | 0.091 | 0.145 | 1.683
 Kennedy, Jake        | C   | So  | Shippensburg        | 197 | 0.162 | 0.254 | 1.677
 Goines, Sam          | OF  | Sr  | Wilmington (DE)     | 188 | 0.138 | 0.069 | 1.670
 Martin, Daniel       | INF | Jr  | Azusa Pacific       | 221 | 0.090 | 0.140 | 1.667
 Gouge, Michael       | INF | Jr  | Valdosta St.        | 213 | 0.108 | 0.183 | 1.666
 Allen, Austin        | C   | Jr  | Florida Tech        | 201 | 0.100 | 0.080 | 1.664
 Jones, Alex          | C   | Jr  | Spring Hill         | 164 | 0.098 | 0.085 | 1.664
 Farley, Grant        | P   | So  | Minn. Duluth        | 193 | 0.093 | 0.166 | 1.660
 Marcus, David        | INF | Jr  | California (PA)     | 176 | 0.102 | 0.136 | 1.659
