         name          | cl |       team        | pa  | bb_p  | so_p  | wops  
-----------------------+----+-------------------+-----+-------+-------+-------
 Kaczmarski, Kevin     | Sr | Evansville        | 201 | 0.124 | 0.109 | 1.845
 Craig, Will           | So | Wake Forest       | 218 | 0.170 | 0.092 | 1.774
 Benintendi, Andrew    | So | Arkansas          | 211 | 0.161 | 0.118 | 1.763
 Dewees, Donnie        | Jr | North Florida     | 243 | 0.111 | 0.049 | 1.745
 Happ, Ian             | Jr | Cincinnati        | 221 | 0.208 | 0.213 | 1.688
 Byler, Austin         | Sr | Nevada            | 252 | 0.206 | 0.206 | 1.677
 Ferguson, Drew        | Sr | Belmont           | 239 | 0.109 | 0.092 | 1.676
 Gray, Logan           | So | Austin Peay       | 180 | 0.133 | 0.244 | 1.674
 Gould, Charley        | Jr | William & Mary    | 198 | 0.121 | 0.136 | 1.660
 Stewart, DJ           | Jr | Florida St.       | 239 | 0.259 | 0.155 | 1.651
 Rodriguez, Melvin     | Sr | Jackson St.       | 234 | 0.124 | 0.056 | 1.643
 Robinson, Chris       | Sr | Morehead St.      | 240 | 0.096 | 0.104 | 1.621
 Bauml, Cole           | Sr | Northern Ky.      | 173 | 0.098 | 0.145 | 1.609
 Lewis, Kyle           | So | Mercer            | 203 | 0.074 | 0.172 | 1.608
 Koenig, Sam           | Sr | Milwaukee         | 223 | 0.130 | 0.175 | 1.605
 Landon, Logan         | Sr | Tex.-Pan American | 216 | 0.139 | 0.130 | 1.604
 Boehm, Jeff           | Sr | Ill.-Chicago      | 211 | 0.147 | 0.142 | 1.600
 Rivera, Cesar         | Sr | Alabama St.       | 224 | 0.125 | 0.129 | 1.594
 Sweeney, Kane         | Sr | Morehead St.      | 251 | 0.183 | 0.163 | 1.593
 Beaty, Matt           | Sr | Belmont           | 240 | 0.113 | 0.058 | 1.593
 Park, Jensen          | Sr | Northern Colo.    | 168 | 0.060 | 0.089 | 1.582
 George, Zach          | Sr | Arkansas St.      | 231 | 0.165 | 0.108 | 1.574
 Martin, Kyle          | Sr | South Carolina    | 226 | 0.159 | 0.111 | 1.562
 Sanger, Brendon       | Jr | Fla. Atlantic     | 232 | 0.190 | 0.091 | 1.561
 Dini, Nick            | Sr | Wagner            | 194 | 0.134 | 0.036 | 1.558
 Rivera, Nick          | Jr | FGCU              | 215 | 0.158 | 0.126 | 1.557
 Korenblatt, Justin    | Sr | La Salle          | 173 | 0.150 | 0.145 | 1.557
 Nowlin, Kyle          | Jr | Eastern Ky.       | 207 | 0.150 | 0.208 | 1.553
 DeJong, Paul          | Jr | Illinois St.      | 221 | 0.122 | 0.190 | 1.552
 Falcone, Joey         | Sr | Columbia          | 187 | 0.107 | 0.203 | 1.551
 Wright, Aaron         | Sr | UNC Greensboro    | 195 | 0.138 | 0.241 | 1.549
 Dacey, Matt           | Jr | Richmond          | 204 | 0.162 | 0.206 | 1.543
 Fullerton, Tyler      | Jr | Belmont           | 219 | 0.100 | 0.119 | 1.542
 Alas, TJ              | Jr | Eastern Ky.       | 164 | 0.091 | 0.183 | 1.539
 York, Trey            | Jr | East Tenn. St.    | 222 | 0.104 | 0.176 | 1.539
 Lynch, Nick           | Sr | UC Davis          | 217 | 0.097 | 0.097 | 1.533
 Kerian, David         | Sr | Illinois          | 198 | 0.141 | 0.116 | 1.529
 Thompson, David       | Jr | Miami (FL)        | 233 | 0.146 | 0.099 | 1.527
 Lowe, Brandon         | So | Maryland          | 248 | 0.133 | 0.093 | 1.520
 Garza, Robert         | Sr | Texas Southern    | 163 | 0.117 | 0.147 | 1.519
 Turbin, Drew          | Sr | Dallas Baptist    | 204 | 0.147 | 0.181 | 1.519
 Ghelfi, Mitch         | Jr | Milwaukee         | 170 | 0.135 | 0.118 | 1.516
 Trosclair, Stefan     | Jr | La.-Lafayette     | 195 | 0.108 | 0.154 | 1.514
 Panas, Connor         | Sr | Canisius          | 236 | 0.119 | 0.140 | 1.513
 Howell, Ryan          | Jr | Nevada            | 244 | 0.139 | 0.193 | 1.510
 Marshall, Patrick     | Sr | Radford           | 208 | 0.168 | 0.173 | 1.509
 Kingery, Scott        | Jr | Arizona           | 221 | 0.041 | 0.059 | 1.507
 Gruber, Cole          | Jr | Omaha             | 186 | 0.167 | 0.156 | 1.505
 Stewart, Christin     | Jr | Tennessee         | 198 | 0.121 | 0.172 | 1.501
 Swilling, Hunter      | So | Samford           | 234 | 0.107 | 0.188 | 1.497
 Howell, Caleb         | Sr | Eastern Ill.      | 196 | 0.133 | 0.071 | 1.496
 Nau, Mitchell         | Sr | Texas A&M         | 221 | 0.127 | 0.122 | 1.487
 Tubbs, Tucker         | Sr | Memphis           | 217 | 0.111 | 0.101 | 1.486
 Brooks, Trenton       | So | Nevada            | 230 | 0.161 | 0.096 | 1.486
 Collins, Zack         | So | Miami (FL)        | 232 | 0.177 | 0.190 | 1.484
 Friend, Jordan        | Sr | Alabama A&M       | 178 | 0.129 | 0.202 | 1.484
 Pacchioli, Justin     | Sr | Lehigh            | 211 | 0.152 | 0.104 | 1.483
