BEGIN
 year |       team_name       | division_id | count 
------+-----------------------+-------------+-------
 2013 | North Carolina        |           1 |    70
 2012 | Oklahoma              |           1 |    65
 2013 | Elon                  |           1 |    64
 2012 | South Carolina        |           1 |    64
 2013 | Mississippi St.       |           1 |    64
 2012 | Arkansas              |           1 |    63
 2012 | Baylor                |           1 |    63
 2014 | Texas Tech            |           1 |    63
 2012 | Florida               |           1 |    63
 2012 | Mississippi St.       |           1 |    63
 2013 | LSU                   |           1 |    63
 2012 | Vanderbilt            |           1 |    63
 2014 | Oklahoma St.          |           1 |    62
 2014 | Louisville            |           1 |    62
 2012 | Austin Peay           |           1 |    61
 2013 | Troy                  |           1 |    61
 2012 | Florida St.           |           1 |    61
 2013 | South Carolina        |           1 |    61
 2014 | Florida               |           1 |    61
 2013 | Austin Peay           |           1 |    61
 2013 | Wichita St.           |           1 |    61
 2013 | Kansas St.            |           1 |    60
 2013 | Florida St.           |           1 |    60
 2012 | Texas A&M             |           1 |    60
 2012 | Ohio St.              |           1 |    59
 2013 | La.-Lafayette         |           1 |    59
 2014 | Vanderbilt            |           1 |    59
 2014 | La.-Lafayette         |           1 |    59
 2013 | South Ala.            |           1 |    59
 2014 | Jacksonville St.      |           1 |    59
 2013 | Georgia Tech          |           1 |    59
 2014 | Dallas Baptist        |           1 |    59
 2013 | Coastal Caro.         |           1 |    59
 2012 | UCF                   |           1 |    59
 2014 | TCU                   |           1 |    59
 2014 | Stetson               |           1 |    59
 2013 | Southern Ill.         |           1 |    58
 2013 | Sacramento St.        |           1 |    58
 2013 | UTSA                  |           1 |    58
 2013 | Oklahoma              |           1 |    58
 2014 | Oklahoma              |           1 |    58
 2012 | Western Ky.           |           1 |    58
 2014 | Campbell              |           1 |    58
 2014 | Michigan              |           1 |    58
 2014 | Miami (FL)            |           1 |    57
 2012 | Oklahoma St.          |           1 |    57
 2012 | La.-Monroe            |           1 |    57
 2013 | Charlotte             |           1 |    57
 2012 | Memphis               |           1 |    57
 2012 | South Ala.            |           1 |    57
 2012 | Missouri              |           1 |    57
 2013 | Kennesaw St.          |           1 |    57
 2013 | North Carolina St.    |           1 |    57
 2013 | Dallas Baptist        |           1 |    57
 2013 | Houston               |           1 |    57
 2012 | Tulane                |           1 |    56
 2014 | Ga. Southern          |           1 |    56
 2014 | Texas St.             |           1 |    56
 2013 | Florida               |           1 |    56
 2014 | LSU                   |           1 |    56
 2014 | Kansas                |           1 |    56
 2013 | Virginia Tech         |           1 |    56
 2013 | Texas St.             |           1 |    56
 2014 | Florida St.           |           1 |    56
 2013 | UCLA                  |           1 |    56
 2013 | Citadel               |           1 |    56
 2014 | Nebraska              |           1 |    56
 2012 | North Carolina St.    |           1 |    56
 2012 | Pepperdine            |           1 |    56
 2014 | Mississippi St.       |           1 |    56
 2014 | McNeese St.           |           1 |    56
 2014 | Col. of Charleston    |           1 |    56
 2013 | Tennessee Tech        |           1 |    55
 2014 | Arkansas              |           1 |    55
 2014 | Ohio St.              |           1 |    55
 2014 | Alabama               |           1 |    55
 2012 | Kentucky              |           1 |    55
 2014 | South Carolina        |           1 |    55
 2012 | High Point            |           1 |    55
 2012 | Maryland              |           1 |    55
 2012 | Kansas St.            |           1 |    55
 2014 | Missouri St.          |           1 |    55
 2013 | Oklahoma St.          |           1 |    55
 2014 | Texas                 |           1 |    55
 2012 | Belmont               |           1 |    55
 2012 | Kansas                |           1 |    55
 2012 | Middle Tenn.          |           1 |    55
 2013 | Auburn                |           1 |    55
 2013 | Kansas                |           1 |    54
 2012 | Col. of Charleston    |           1 |    54
 2013 | Mercer                |           1 |    54
 2013 | Texas A&M             |           1 |    54
 2012 | Furman                |           1 |    54
 2013 | Vanderbilt            |           1 |    54
 2014 | Southeastern La.      |           1 |    54
 2012 | Michigan St.          |           1 |    54
 2013 | East Tenn. St.        |           1 |    54
 2013 | CSUN                  |           1 |    54
 2012 | East Carolina         |           1 |    54
 2014 | Tennessee Tech        |           1 |    54
 2014 | Southern Ind.         |           2 |    54
 2014 | Bakersfield           |           1 |    53
 2012 | Nevada                |           1 |    53
 2014 | Georgia Tech          |           1 |    53
 2012 | Troy                  |           1 |    53
 2012 | Murray St.            |           1 |    53
 2012 | Arkansas St.          |           1 |    53
 2013 | Bakersfield           |           1 |    53
 2012 | Georgia Tech          |           1 |    53
 2013 | Louisville            |           1 |    53
 2013 | East Carolina         |           1 |    53
 2012 | Lipscomb              |           1 |    53
 2014 | Sacramento St.        |           1 |    53
 2013 | Oregon St.            |           1 |    53
 2012 | Coastal Caro.         |           1 |    53
 2013 | Jacksonville St.      |           1 |    53
 2013 | UC Santa Barbara      |           1 |    53
 2012 | Valparaiso            |           1 |    53
 2013 | Stetson               |           1 |    53
 2013 | Eastern Ky.           |           1 |    53
 2014 | Kentucky              |           1 |    53
 2014 | Southern Miss.        |           1 |    53
 2012 | Dayton                |           1 |    53
 2012 | Central Mich.         |           1 |    53
 2014 | San Jose St.          |           1 |    53
 2012 | Nebraska              |           1 |    53
 2013 | Campbell              |           1 |    53
 2013 | Southern Miss.        |           1 |    53
 2012 | Louisville            |           1 |    52
 2013 | Furman                |           1 |    52
 2012 | Charlotte             |           1 |    52
 2013 | Alabama               |           1 |    52
 2014 | Winthrop              |           1 |    52
 2014 | Citadel               |           1 |    52
 2014 | UTSA                  |           1 |    52
 2013 | Lipscomb              |           1 |    52
 2014 | Nicholls St.          |           1 |    52
 2012 | Sacramento St.        |           1 |    52
 2014 | Southern Ill.         |           1 |    52
 2012 | FGCU                  |           1 |    52
 2013 | Ga. Southern          |           1 |    52
 2012 | Dallas Baptist        |           1 |    52
 2012 | Indiana St.           |           1 |    52
 2013 | FGCU                  |           1 |    52
 2014 | East Carolina         |           1 |    52
 2013 | UC Davis              |           1 |    52
 2013 | Arkansas              |           1 |    52
 2012 | Cal Poly              |           1 |    52
 2012 | Texas Tech            |           1 |    52
 2014 | North Carolina        |           1 |    52
 2012 | UTSA                  |           1 |    52
 2013 | Long Beach St.        |           1 |    52
 2012 | Southern Ill.         |           1 |    52
 2014 | North Carolina St.    |           1 |    52
 2012 | Alabama               |           1 |    52
 2013 | Tulane                |           1 |    52
 2012 | LSU                   |           1 |    52
 2013 | St. Mary's (CA)       |           1 |    51
 2014 | Northern Ill.         |           1 |    51
 2013 | UC Irvine             |           1 |    51
 2012 | Evansville            |           1 |    51
 2013 | Miami (FL)            |           1 |    51
 2012 | Southern Miss.        |           1 |    51
 2013 | Michigan              |           1 |    51
 2014 | Rutgers               |           1 |    51
 2014 | Michigan St.          |           1 |    51
 2013 | USC Upstate           |           1 |    51
 2013 | Western Ky.           |           1 |    51
 2013 | Oral Roberts          |           1 |    51
 2014 | Eastern Ill.          |           1 |    51
 2012 | Wichita St.           |           1 |    51
 2013 | Southeast Mo. St.     |           1 |    51
 2013 | Lamar                 |           1 |    51
 2012 | Duke                  |           1 |    51
 2014 | USC Upstate           |           1 |    51
 2013 | Memphis               |           1 |    51
 2014 | Northwestern St.      |           1 |    51
 2014 | Stanford              |           1 |    51
 2014 | Auburn                |           1 |    51
 2013 | Kentucky              |           1 |    51
 2013 | UCF                   |           1 |    51
 2013 | Tampa                 |           2 |    51
 2014 | Baylor                |           1 |    51
 2012 | Ga. Southern          |           1 |    51
 2013 | Bryant                |           1 |    51
 2014 | Kansas St.            |           1 |    51
 2012 | USC Upstate           |           1 |    51
 2012 | Butler                |           1 |    50
 2012 | Tennessee Tech        |           1 |    50
 2013 | Wofford               |           1 |    50
 2014 | Appalachian St.       |           1 |    50
 2012 | TCU                   |           1 |    50
 2014 | Memphis               |           1 |    50
 2012 | SIUE                  |           1 |    50
 2014 | UC San Diego          |           2 |    50
 2014 | Wake Forest           |           1 |    50
 2014 | Minnesota             |           1 |    50
 2014 | Wofford               |           1 |    50
 2013 | Middle Tenn.          |           1 |    50
 2013 | Nebraska              |           1 |    50
 2014 | Jacksonville          |           1 |    50
 2013 | Cal Poly              |           1 |    50
 2014 | Radford               |           1 |    50
 2014 | Western Ky.           |           1 |    50
 2014 | Murray St.            |           1 |    50
 2012 | Elon                  |           1 |    50
 2012 | Southeast Mo. St.     |           1 |    50
 2014 | Pittsburgh            |           1 |    50
 2013 | UALR                  |           1 |    50
 2012 | New Mexico            |           1 |    50
 2014 | Coastal Caro.         |           1 |    49
 2014 | Lamar                 |           1 |    49
