 game_id | period_id | event_id | n 
---------+-----------+----------+---
 1807112 |         0 |        0 | 2
 3819375 |         0 |        0 | 2
 3746724 |         0 |        0 | 2
 2102293 |         0 |        0 | 2
 2193993 |         0 |        0 | 2
 3835323 |         0 |        0 | 2
 1975470 |         0 |        0 | 2
 3305932 |         0 |        0 | 2
 3336486 |         0 |        0 | 2
 1834233 |         0 |        0 | 2
 2038698 |         0 |        0 | 2
 3851206 |         0 |        0 | 2
 3351372 |         0 |        0 | 2
 2173493 |         0 |        0 | 2
 3181343 |         0 |        0 | 2
 3825720 |         0 |        0 | 2
 3077186 |         0 |        0 | 2
 2039865 |         0 |        0 | 2
 3790433 |         0 |        0 | 2
 3271043 |         0 |        0 | 2
 1880813 |         0 |        0 | 2
 3353344 |         0 |        0 | 2
 1885953 |         0 |        0 | 2
 3851415 |         0 |        0 | 2
 1964813 |         0 |        0 | 2
 3336606 |         0 |        0 | 2
 3208603 |         0 |        0 | 2
 3231643 |         0 |        0 | 2
 3851199 |         0 |        0 | 2
 3165224 |         0 |        0 | 2
 3351625 |         0 |        0 | 2
 2085494 |         0 |        0 | 2
 2104553 |         0 |        0 | 2
 1677196 |         0 |        0 | 2
 3315092 |         0 |        0 | 2
 3826438 |         0 |        0 | 2
 2164753 |         0 |        0 | 2
 3790432 |         0 |        0 | 2
 1673272 |         0 |        0 | 2
 3821272 |         0 |        0 | 2
 3856706 |         0 |        0 | 2
 1935958 |         0 |        0 | 2
 2104333 |         0 |        0 | 2
 2144413 |         0 |        0 | 2
 3336356 |         0 |        0 | 2
 1894593 |         0 |        0 | 2
 3827710 |         0 |        0 | 2
 3365364 |         0 |        0 | 2
 3382844 |         0 |        0 | 2
 1938195 |         0 |        0 | 2
 2041751 |         0 |        0 | 2
 3857554 |         0 |        0 | 2
 3864074 |         0 |        0 | 2
 1830172 |         0 |        0 | 2
 2080154 |         0 |        0 | 2
 3090293 |         0 |        0 | 2
 3839039 |         0 |        0 | 2
 1941796 |         0 |        0 | 2
 3246096 |         0 |        0 | 2
 2041747 |         0 |        0 | 2
 3378926 |         0 |        0 | 2
 1830472 |         0 |        0 | 2
 3864639 |         0 |        0 | 2
 3367404 |         0 |        0 | 2
 3857579 |         0 |        0 | 2
 1998609 |         0 |        0 | 2
 3349409 |         0 |        0 | 2
 2004506 |         0 |        0 | 2
 1886646 |         0 |        0 | 2
 3005914 |         0 |        0 | 2
 3386564 |         0 |        0 | 2
 3842807 |         0 |        0 | 2
 1829352 |         0 |        0 | 2
 1990040 |         0 |        0 | 2
 3322398 |         0 |        0 | 2
 3813540 |         0 |        0 | 2
 3292633 |         0 |        0 | 2
 2006273 |         0 |        0 | 2
 2141696 |         0 |        0 | 2
 2062717 |         0 |        0 | 2
 3245786 |         0 |        0 | 2
 3779327 |         0 |        0 | 2
 1998683 |         0 |        0 | 2
 3828180 |         0 |        0 | 2
 1981117 |         0 |        0 | 2
 3864470 |         0 |        0 | 2
 2185131 |         0 |        0 | 2
 1612993 |         0 |        0 | 2
 3289224 |         0 |        0 | 2
 3306393 |         0 |        0 | 2
 3334346 |         0 |        0 | 2
 3078434 |         0 |        0 | 2
 1809992 |         0 |        0 | 2
 1724812 |         0 |        0 | 2
 2143453 |         0 |        0 | 2
 3307364 |         0 |        0 | 2
 3315125 |         0 |        0 | 2
 3835932 |         0 |        0 | 2
 3306891 |         0 |        0 | 2
 3365684 |         0 |        0 | 2
 3202303 |         0 |        0 | 2
 2041875 |         0 |        0 | 2
 3236283 |         0 |        0 | 2
 3842727 |         0 |        0 | 2
 3864592 |         0 |        0 | 2
 3827729 |         0 |        0 | 2
 3320468 |         0 |        0 | 2
 3127543 |         0 |        0 | 2
 3858067 |         0 |        0 | 2
 3254050 |         0 |        0 | 2
 2039094 |         0 |        0 | 2
 3334375 |         0 |        0 | 2
 2173073 |         0 |        0 | 2
 2010024 |         0 |        0 | 2
 3857440 |         0 |        0 | 2
 3857507 |         0 |        0 | 2
 3812814 |         0 |        0 | 2
 3844054 |         0 |        0 | 2
 3202103 |         0 |        0 | 2
 3231443 |         0 |        0 | 2
 3085116 |         0 |        0 | 2
 2069753 |         0 |        0 | 2
 2005272 |         0 |        0 | 2
 3243020 |         0 |        0 | 2
 2152687 |         0 |        0 | 2
 1896433 |         0 |        0 | 2
 3821330 |         0 |        0 | 2
 3849172 |         0 |        0 | 2
 2171334 |         0 |        0 | 2
 3841526 |         0 |        0 | 2
