Allan Hancock
Allan Hancock,61,Nick Dermenjian.....,3.48,2,3,19,0,-,-,2,41.1,38,22,16,14,32,8,2,1,156,.244,2,11,-,1,4
Allan Hancock,33,Zander Zeisler......,3.86,1,1,14,0,-,-,1,23.1,27,10,10,1,10,5,1,-,93,.290,-,3,1,2,3
Allan Hancock,2,Jason Fletcher......,3.99,2,7,12,11,-,-,0,70.0,69,39,31,27,39,14,1,2,271,.255,7,11,1,4,3
Allan Hancock,28,Max Everingham......,5.53,2,7,12,12,-,-,0,68.1,89,50,42,27,39,19,5,-,273,.326,4,3,4,2,9
Allan Hancock,19,Sammy Vergara.......,6.06,1,6,10,10,1,-,0,52.0,59,45,35,37,28,7,1,1,202,.292,3,3,1,5,5
Allan Hancock,32,Tommy Dickinson.....,6.75,0,0,7,0,-,-,1,10.2,13,8,8,9,5,4,1,-,42,.310,1,1,-,-,2
Allan Hancock,55,Daniel Synhorst.....,7.50,0,0,9,0,-,-,0,12.0,15,11,10,6,9,3,2,1,52,.288,-,1,-,1,-
Allan Hancock,13,Kyle Keith..........,8.25,0,2,11,0,-,-,0,12.0,19,14,11,6,5,8,1,-,53,.358,1,5,1,2,-
Allan Hancock,42,Josh Johnson........,9.00,0,0,5,0,-,-,0,2.0,5,2,2,2,1,-,-,-,9,.556,-,1,1,-,1
Allan Hancock,40,Ryan Winder-Fernande,9.72,0,0,9,0,-,-,0,8.1,14,14,9,5,4,3,2,-,38,.368,-,7,-,2,-
Allan Hancock,4,Wes Vancil..........,10.22,0,2,11,2,-,-,0,12.1,15,17,14,12,8,4,-,-,52,.288,3,3,1,-,1
Allan Hancock,34,Scott Gray..........,15.63,0,0,7,0,-,-,0,6.1,11,11,11,5,6,1,1,-,29,.379,2,2,-,1,-
Allan Hancock,36,Brian Stauffer......,18.69,0,0,8,0,-,-,0,4.1,12,10,9,7,3,3,-,1,24,.500,-,1,1,2,-
Allan Hancock,41,Jay Standen.........,27.00,0,0,4,1,-,-,0,3.1,8,10,10,6,1,1,1,-,15,.533,-,-,-,2,-
Antelope Valley
Antelope Valley,20,Tyler Painton.......,1.69,7,2,13,13,1,-,0,80.0,57,25,15,37,64,11,1,1,276,.207,5,11,-,4,5
Antelope Valley,33,Austin Duran........,2.18,2,0,13,0,-,-,1,20.2,17,8,5,10,13,4,-,1,73,.233,-,2,-,1,1
Antelope Valley,30,Brad Lindsley.......,2.34,5,4,9,8,1,-,0,57.2,57,23,15,14,35,6,-,1,221,.258,3,7,1,1,3
Antelope Valley,18,Ryan Stapp..........,2.88,3,1,20,1,-,-,11,34.1,24,15,11,14,19,5,-,-,119,.202,1,7,-,1,3
Antelope Valley,34,Darion Nunn.........,3.71,1,0,10,0,-,-,1,17.0,17,9,7,8,19,3,-,-,68,.250,3,5,-,-,-
Antelope Valley,6,Justin Kelly........,4.10,5,2,14,9,2,-,0,63.2,66,33,29,19,53,9,1,3,247,.267,4,9,-,3,4
Antelope Valley,9,Philip Valos........,4.11,2,1,14,2,-,-,1,35.0,42,19,16,16,21,5,2,-,133,.316,5,4,1,2,4
Antelope Valley,27,Daniel Lamoureaux...,4.91,0,1,4,0,-,-,0,3.2,4,3,2,1,4,1,-,-,14,.286,-,1,-,-,1
Antelope Valley,17,Sean Deweese........,6.00,0,0,4,0,-,-,0,9.0,12,9,6,2,7,3,-,1,39,.308,1,1,-,2,-
Antelope Valley,32,Jared Lewis.........,11.15,0,1,7,3,-,-,0,15.1,23,22,19,9,10,5,-,2,66,.348,1,4,4,-,1
Barstow
Barstow,7,Steven Perry........,0.00,0,0,4,0,-,-,0,5.1,4,0,0,3,2,-,-,-,19,.211,-,-,-,-,1
Barstow,23,Kyle LaClaire.......,3.54,4,1,16,4,-,-,2,48.1,42,26,19,12,36,11,-,1,177,.237,4,5,1,1,5
Barstow,21,Tyler Molder........,3.65,5,2,15,7,-,-,2,56.2,72,37,23,14,44,13,2,2,239,.301,12,9,-,1,4
Barstow,15,Scott Avery.........,4.09,4,5,14,8,1,-,1,66.0,67,39,30,15,30,17,1,1,251,.267,9,7,-,3,9
Barstow,10,Ben Manley..........,4.50,4,2,18,5,-,-,3,44.0,50,31,22,15,25,6,-,1,173,.289,3,8,1,5,3
Barstow,33,Cole Wells..........,6.06,3,2,9,6,-,-,0,32.2,37,30,22,6,33,5,2,2,133,.278,4,10,-,-,4
Barstow,26,Logan Appledoorn....,6.25,0,4,8,7,-,-,0,31.2,38,25,22,11,23,7,2,1,134,.284,4,4,-,-,4
Barstow,22,Mitchell Navarro....,7.36,0,0,3,0,-,-,0,3.2,4,3,3,2,1,1,-,-,13,.308,1,1,-,1,-
Barstow,20,Jack Dunn...........,8.22,0,1,10,0,-,-,0,15.1,19,15,14,8,9,3,1,-,58,.328,1,7,1,-,1
Barstow,18,JD Doran............,8.76,0,0,8,0,-,-,0,12.1,21,12,12,7,12,2,1,-,51,.412,1,1,-,1,3
Cabrillo
Cabrillo,8,Marcus Pollard......,0.00,0,0,1,0,-,-,1,0.2,0,0,0,1,0,-,-,-,2,.000,-,-,-,-,-
Cabrillo,1,Peper Ethan.........,1.80,0,0,4,0,-,-,0,5.0,6,1,1,1,4,1,-,-,18,.333,-,-,-,-,-
Cabrillo,10,Mitchel Aguilar.....,2.90,2,1,13,3,1,-,0,40.1,34,18,13,17,19,5,2,3,151,.225,6,5,1,2,4
Cabrillo,35,Garrett Treadwell...,2.93,3,0,18,0,-,-,1,27.2,22,11,9,7,10,4,-,1,99,.222,1,8,1,-,4
Cabrillo,26,Pierce Precht.......,3.02,6,3,13,7,-,-,0,59.2,68,25,20,12,30,12,1,1,241,.282,-,-,-,2,3
Cabrillo,11,Gregory Hansen......,3.83,5,4,14,14,-,-,0,94.0,109,46,40,21,53,20,3,1,366,.298,1,10,2,2,9
Cabrillo,9,Mitch Labbie........,4.65,3,3,16,4,-,-,4,31.0,32,19,16,9,13,7,1,-,124,.258,3,7,1,2,3
Cabrillo,28,Ryan Murphy.........,6.00,0,2,10,3,-,-,0,27.0,29,19,18,9,10,10,-,-,104,.279,2,2,-,1,2
Cabrillo,36,Peter Casey.........,6.05,2,1,5,4,-,-,0,19.1,30,16,13,4,12,6,1,-,82,.366,2,3,1,1,3
Cabrillo,23,Zachary Wenzell.....,6.75,0,0,14,0,-,-,0,10.2,23,11,8,2,8,6,-,1,54,.426,-,5,-,1,-
Cabrillo,19,Ken Karagiorgas.....,7.71,0,0,7,0,-,-,0,4.2,6,5,4,5,4,-,2,-,20,.300,-,1,-,3,-
Cabrillo,31,John Ritzo..........,7.94,0,0,4,0,-,-,0,5.2,10,5,5,2,4,3,1,2,28,.357,-,-,-,-,-
Cabrillo,32,Connor Smith........,9.39,1,1,4,3,-,-,0,7.2,7,10,8,9,8,3,-,1,29,.241,2,3,-,-,2
Cabrillo,18,Mark Scannell.......,17.18,0,0,4,0,-,-,0,3.2,3,7,7,3,2,1,1,-,15,.200,-,4,1,-,-
Canyons
Canyons,12,Sebastian Frutos....,2.70,1,0,9,0,-,-,0,16.2,17,5,5,7,13,6,-,-,62,.274,2,1,-,1,2
Canyons,32,Jared Gibson........,3.18,0,0,10,0,-,-,0,11.1,11,7,4,6,5,4,-,-,42,.262,3,1,-,1,2
Canyons,17,Kyle Harper.........,3.83,0,7,12,8,-,-,0,49.1,58,34,21,13,31,12,4,-,198,.293,3,11,-,-,11
Canyons,16,Javier Lozano.......,3.86,0,0,3,0,-,-,0,2.1,4,1,1,1,2,2,-,-,11,.364,-,1,-,-,-
Canyons,45,Christian Price.....,4.20,2,4,12,7,-,-,0,49.1,52,30,23,20,27,7,6,2,196,.265,8,11,1,-,7
Canyons,27,Cesar Chavez........,4.78,1,1,18,0,-,-,3,26.1,29,17,14,7,15,3,1,1,94,.309,1,3,-,-,7
Canyons,21,Anthony Nunes.......,5.40,0,1,10,1,-,-,0,20.0,27,14,12,11,12,3,-,-,86,.314,3,1,-,-,1
Canyons,25,Jacob Bell..........,5.46,2,9,13,13,1,-,0,64.1,72,50,39,27,47,14,4,3,252,.286,5,4,3,2,6
Canyons,24,Jon Villapando......,6.67,1,3,12,4,-,-,0,28.1,33,23,21,15,13,2,3,1,112,.295,4,3,-,3,2
Canyons,20,Geoff Bill..........,6.75,0,2,5,1,-,-,0,12.0,15,14,9,4,5,4,1,-,49,.306,-,7,1,-,3
