Aquinas College,1615,2009,"Allred, Chris","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39621"">Allred, Chris</a>",39621,1.2,4.20,0.60,27.00,16.20,10.80
Aquinas College,1615,2009,"Bowhuis, Chad","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39611"">Bowhuis, Chad</a>",39611,7.0,2.57,0.44,11.57,5.14,11.57
Aquinas College,1615,2009,"Carey, Bryan","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39617"">Carey, Bryan</a>",39617,22.0,1.45,4.33,1.23,5.32,11.86
Aquinas College,1615,2009,"Clover, Earl","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39627"">Clover, Earl</a>",39627,14.0,1.93,1.50,3.86,5.79,13.50
Aquinas College,1615,2009,"Cole, Tyler","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39622"">Cole, Tyler</a>",39622,5.0,2.00,1.25,7.20,9.00,10.80
Aquinas College,1615,2009,"Dotson, Joey","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39642"">Dotson, Joey</a>",39642,19.2,2.29,0.76,7.78,5.95,12.81
Aquinas College,1615,2009,"Garneau, Cory","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39643"">Garneau, Cory</a>",39643,11.1,1.41,2.40,3.97,9.53,8.74
Aquinas College,1615,2009,"Hoogewind, Kyle","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39615"">Hoogewind, Kyle</a>",39615,1.0,3.00,0.00,18.00,0.00,9.00
Aquinas College,1615,2009,"Kaiser, Mike","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39641"">Kaiser, Mike</a>",39641,55.0,1.62,2.82,1.80,5.07,12.76
Aquinas College,1615,2009,"Keron, Mike","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39645"">Keron, Mike</a>",39645,50.2,1.48,1.93,2.66,5.15,10.66
Aquinas College,1615,2009,"Nagy, Mark","<a href=""/WebSync/Pages/Team/IndividualStats.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2009&amp;team=1615&amp;plr=39618"">Nagy, Mark</a>",39618,2.1,1.71,2.00,3.86,7.71,11.57
