comp_id,conference_id,conference_name,game_date,home_name,home_href,home_id,away_name,away_href,away_id,score,time,conf_game,status,box_score_href
1533,NAIMBA1_AMWC,American Midwest Conference,"February 28, 2004",Union University,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1797"">Union University</a>",1797,Missouri Baptist Univ,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1728"">Missouri Baptist Univ</a>",1728,11-9,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AMWC&amp;compID=1533"">11-9</a>"
1480,NAIMBA1_AMWC,American Midwest Conference,"March 10, 2004",Tenn Wesleyan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1785"">Tenn Wesleyan College</a>",1785,Hannibal-LaGrange College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1683"">Hannibal-LaGrange College</a>",1683,11-1,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AMWC&amp;compID=1480"">11-1</a>"
1479,NAIMBA1_AMWC,American Midwest Conference,"March 10, 2004",Tenn Wesleyan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1785"">Tenn Wesleyan College</a>",1785,Hannibal-LaGrange College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1683"">Hannibal-LaGrange College</a>",1683,10-4,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AMWC&amp;compID=1479"">10-4</a>"
2291,NAIMBA1_AMWC,American Midwest Conference,"March 11, 2004",Bryan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1636"">Bryan College</a>",1636,Hannibal-LaGrange College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1683"">Hannibal-LaGrange College</a>",1683,7-10,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AMWC&amp;compID=2291"">7-10</a>"
1001,NAIMBA1_AAC,Appalachian Athletic Conference,"January 30, 2004",Emmanuel College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1667"">Emmanuel College</a>",1667,Bluefield College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1632"">Bluefield College</a>",1632,1-6,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1001"">1-6</a>"
1164,NAIMBA1_AAC,Appalachian Athletic Conference,"January 30, 2004",Georgia Southwestern St,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1677"">Georgia Southwestern St</a>",1677,Brevard College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1634"">Brevard College</a>",1634,3-8,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1164"">3-8</a>"
1000,NAIMBA1_AAC,Appalachian Athletic Conference,"January 30, 2004",Emmanuel College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1667"">Emmanuel College</a>",1667,Bluefield College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1632"">Bluefield College</a>",1632,9-7,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1000"">9-7</a>"
998,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Emmanuel College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1667"">Emmanuel College</a>",1667,Bluefield College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1632"">Bluefield College</a>",1632,11-10,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=998"">11-10</a>"
1163,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Georgia Southwestern St,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1677"">Georgia Southwestern St</a>",1677,Brevard College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1634"">Brevard College</a>",1634,4-3,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1163"">4-3</a>"
1428,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Trevecca Nazarene Univ,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1791"">Trevecca Nazarene Univ</a>",1791,Bryan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1636"">Bryan College</a>",1636,11-1,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1428"">11-1</a>"
1422,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Trevecca Nazarene Univ,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1791"">Trevecca Nazarene Univ</a>",1791,Bryan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1636"">Bryan College</a>",1636,10-2,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1422"">10-2</a>"
1162,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Georgia Southwestern St,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1677"">Georgia Southwestern St</a>",1677,Brevard College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1634"">Brevard College</a>",1634,6-8,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1162"">6-8</a>"
999,NAIMBA1_AAC,Appalachian Athletic Conference,"January 31, 2004",Emmanuel College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1667"">Emmanuel College</a>",1667,Bluefield College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1632"">Bluefield College</a>",1632,4-7,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=999"">4-7</a>"
1161,NAIMBA1_AAC,Appalachian Athletic Conference,"February 01, 2004",Georgia Southwestern St,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1677"">Georgia Southwestern St</a>",1677,Brevard College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1634"">Brevard College</a>",1634,3-4,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=1161"">3-4</a>"
2287,NAIMBA1_AAC,Appalachian Athletic Conference,"February 03, 2004",Tennessee Temple,Tennessee Temple,,Bryan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1636"">Bryan College</a>",1636,7-5,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=2287"">7-5</a>"
2286,NAIMBA1_AAC,Appalachian Athletic Conference,"February 03, 2004",Tennessee Temple,Tennessee Temple,,Bryan College,"<a href=""/WebSync/Pages/Team/TeamPage.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;team=1636"">Bryan College</a>",1636,3-10,,false,,"<a href=""/WebSync/Pages/BoxScores/BoxScores.aspx?association=10&amp;sg=MBA&amp;sea=NAIMBA_2004&amp;conference=NAIMBA1_AAC&amp;compID=2286"">3-10</a>"
