BEGIN
CREATE TABLE
INSERT 0 385
 rk  |              team              | div |  str  | park  |  ofs  |  dfs  |  sos  
-----+--------------------------------+-----+-------+-------+-------+-------+-------
   1 | Polk State College             |   1 | 2.143 | 0.989 | 1.296 | 0.605 | 1.111
   2 | Iowa Western Community College |   1 | 2.050 | 0.973 | 1.624 | 0.792 | 0.888
   3 | Western Nevada College         |   1 | 2.026 | 0.905 | 1.312 | 0.648 | 1.019
   4 | Walters State Community Colleg |   1 | 2.023 | 1.097 | 1.266 | 0.626 | 1.003
   5 | Salt Lake Community College    |   1 | 1.934 | 1.050 | 1.293 | 0.669 | 0.982
   6 | Santa Fe College               |   1 | 1.864 | 1.105 | 1.312 | 0.704 | 1.034
   7 | Howard College                 |   1 | 1.773 | 1.093 | 1.423 | 0.803 | 0.984
   8 | Grayson County College         |   1 | 1.757 | 1.067 | 1.338 | 0.761 | 1.039
   9 | Palm Beach State College       |   1 | 1.754 | 0.881 | 1.339 | 0.763 | 1.076
  10 | Louisiana State University at  |   2 | 1.750 | 0.926 | 1.911 | 0.645 | 1.034
  11 | Chipola  College               |   1 | 1.725 | 0.957 | 1.434 | 0.831 | 1.144
  12 | Wabash Valley College          |   1 | 1.709 | 0.935 | 1.421 | 0.832 | 0.945
  13 | Northwest Florida State Colleg |   1 | 1.696 | 1.074 | 1.208 | 0.713 | 1.115
  14 | Central Arizona College        |   1 | 1.690 | 0.934 | 1.222 | 0.723 | 1.001
  15 | Louisburg College              |   1 | 1.660 | 1.008 | 1.238 | 0.746 | 0.955
  16 | Chattanooga State Community Co |   1 | 1.594 | 0.983 | 1.155 | 0.724 | 1.032
  17 | Hutchinson Community College   |   1 | 1.577 | 0.972 | 1.239 | 0.785 | 0.956
  18 | State College of Florida       |   1 | 1.568 | 1.040 | 1.189 | 0.758 | 1.101
  19 | Northeastern Junior College    |   1 | 1.545 | 0.997 | 1.129 | 0.731 | 0.945
  20 | Lamar Community College        |   1 | 1.543 | 0.976 | 1.316 | 0.853 | 0.943
