                 opponent                 | n  
 Bemidji State University (JV)            |  1
 Westmoreland                             |  1
 Thomas Unversity JV                      |  1
 University of Tampa B                    |  1
 St. Lawrence (Quebec)                    |  1
 Hill Community College Rebels            |  1
 N.C. Wesleyan College JV                 |  1
 Brewton-Parker College                   |  1
 Wheaton College JV                       |  1
 Morthland College JV                     |  1
 East Texas Baptist University - JV       |  1
 Tusculum College                         |  1
 Halcones                                 |  1
 Pro Training Baseball Academy            |  1
 St Lawrence (Quebec)                     |  1
 Bryan College                            |  1
 France National Team                     |  1
 Barry University                         |  1
 Thompson River                           |  1
 Davenport Univeristy                     |  1
 Bethany JV                               |  1
 Southern Maine Community College         |  1
 Catholic University (JV)                 |  1
 Milligan College JV                      |  1
 St. Thomas JV                            |  1
 Flagler (JV)                             |  1
 WV Wesleyan JV                           |  1
 ASU Club                                 |  1
 Mt. Olive College JV                     |  1
 Faulkner JV                              |  1
 Grove City JV                            |  1
 Trine                                    |  1
 University of Texas at Tyler JV          |  1
 Worcester State University               |  1
 Piedmont College                         |  1
 Central Baptist College JV               |  1
 Northwood University (Junior Varsity)    |  1
 West Virginia Wesleyan College           |  1
 Pacifica College                         |  1
 Ontario Academy                          |  1
 Inside Pitch Acadmey Saskatchewan        |  1
 Inside Pitch Academy, Saskatchewan       |  1
 Penn Tech College                        |  1
 Mount Marty (JV)                         |  1
 Belmont Abbey College (JV)               |  1
 Rutgers Camden JV                        |  1
 Texas Wesleyan University J.V.           |  1
 Okanagen College                         |  1
 Lindenwood-Belleville University JV      |  1
 Seminole State JV                        |  1
 Penn St / Greater Allegheny              |  1
 Arizona Christian                        |  1
 Texas Wesleyan                           |  1
 Guilford College JV                      |  1
 Fontonne University JV                   |  1
 Manchester JV                            |  1
 Southeastern University                  |  1
 Davenport University JV                  |  1
 Methodist                                |  1
 Brampton Royals (CAN)                    |  1
 Florida Memorial University              |  1
 Seminole State College JV                |  1
 Rose Hulman                              |  1
 Grinnell College JV                      |  1
 Northwood JV                             |  1
 Ste. Lawrence                            |  1
 Great Lakes                              |  1
 Okanagan Athletics                       |  1
 Southern Polytechnic State College       |  1
 Cumberland University                    |  1
 ProTrain Baseball                        |  1
 Penn Tech                                |  1
(289 rows)

