rho,v0,theta,vwind
1.19,91,27.5,2
1.19,93,27.5,2
1.19,95,27.5,2
1.19,97,27.5,2
1.19,99,27.5,2
1.19,101,27.5,2
1.19,103,27.5,2
1.19,105,27.5,2
1.19,107,27.5,2
1.19,109,27.5,2
1.19,111,27.5,2
1.19,91,27.5,0
1.19,93,27.5,0
1.19,95,27.5,0
1.19,97,27.5,0
1.19,99,27.5,0
1.19,101,27.5,0
1.19,103,27.5,0
1.19,105,27.5,0
1.19,107,27.5,0
1.19,109,27.5,0
1.19,111,27.5,0
1.17,91,27.5,-3
1.17,93,27.5,-3
1.17,95,27.5,-3
1.17,97,27.5,-3
1.17,99,27.5,-3
1.17,101,27.5,-3
1.17,103,27.5,-3
1.17,105,27.5,-3
1.17,107,27.5,-3
1.17,109,27.5,-3
1.17,111,27.5,-3
1.17,91,27.5,0
1.17,93,27.5,0
1.17,95,27.5,0
1.17,97,27.5,0
1.17,99,27.5,0
1.17,101,27.5,0
1.17,103,27.5,0
1.17,105,27.5,0
1.17,107,27.5,0
1.17,109,27.5,0
1.17,111,27.5,0
