10607 "struck out swinging"
6863 walked
6435 "to p for"
5745 "flied out to cf"
5264 "struck out looking"
4695 "grounded out to ss"
4521 "grounded out to 2b"
4180 "flied out to rf"
3911 "flied out to lf"
3477 "grounded out to 3b"
2230 "pinch hit for"
1948 "stole second"
1939 "hit by pitch"
1696 "singled up the middle"
1528 "grounded out to p"
1449 "grounded out to 1b unassisted"
1319 "singled to left field"
1229 "singled to center field"
1179 "popped up to 2b"
1115 "singled to right field"
1053 "popped up to ss"
1005 "singled through the left side"
956 "advanced to second on a wild pitch"
785 "out at first 1b to p"
770 "fouled out to 1b"
741 for
732 "singled through the right side"
649 "singled to shortstop"
601 "pinch ran for"
542 "lined out to cf"
490 "doubled down the lf line"
448 "lined out to lf"
446 "fouled out to 3b"
446 "popped up to 3b"
441 "popped up to 1b"
430 "lined out to 2b"
426 "lined out to rf"
422 "to lf"
416 "singled to right center"
415 "advanced to third on a wild pitch"
403 "lined out to ss"
375 "reached on a fielder"
363 "to c for"
361 "intentionally walked"
358 "to lf for"
357 "doubled to left center"
353 "doubled to left field"
350 "fouled out to c"
338 "singled to left center"
333 "singled to third base"
321 singled
321 "to rf"
317 "doubled to right center"
309 "to 3b"
298 "to 3b for"
287 "to 2b"
286 "to p"
265 "to 2b for"
262 "lined out to 3b"
253 "to dh"
251 "flied out to cf to left center"
244 "to 1b"
241 "doubled down the rf line"
239 "singled to second base"
235 "flied out to cf to right center"
220 "flied out to rf to right center"
213 "to cf"
207 "advanced to second on a passed ball"
204 "to 1b for"
190 "to rf for"
186 "flied out to lf to left center"
181 "doubled to right field"
180 "stole third"
180 "to dh for"
179 "fouled out to rf"
178 "lined out to 1b"
170 "to ss"
167 "to c"
164 "to cf for"
159 "struck out"
153 "advanced to second on a balk"
151 "doubled to center field"
149 "fouled out to lf"
148 "reached on an error by ss"
140 "flied out to 2b"
139 "reached on a fielding error by ss"
129 "reached on an error by 3b"
128 "flied out to ss"
126 "singled down the lf line"
125 "singled to pitcher"
121 "to ss for"
111 "reached on a fielding error by 3b"
107 "popped up to rf"
105 "reached on a throwing error by ss"
104 "advanced to third on a passed ball"
101 "grounded out to c"
101 "popped up to p"
97 "singled down the rf line"
93 "reached on a fielding error by 2b"
92 "reached on a throwing error by 3b"
91 "flied out to rf down the rf line"
89 "advanced to second"
89 "scored on a wild pitch"
87 "popped up to cf"
85 "singled to first base"
85 "tripled to right center"
79 "reached on an error by 2b"
76 "out at first ss to 1b"
75 "flied out to lf down the lf line"
71 "lined out to p"
66 "popped up to lf"
64 "popped up to c"
62 "grounded into double play ss to 2b to 1b"
61 doubled
56 "grounded into double play 2b to ss to 1b"
55 "advanced to third on a balk"
53 "out at first p to 2b to 1b"
49 "out at first p to ss to 1b"
49 "reached on a fielding error by 1b"
49 "tripled down the rf line"
47 "grounded out to p unassisted"
45 "fouled out to 2b"
42 "tripled to right field"
39 "out at first 2b to p"
39 "reached on an error by 1b"
39 "tripled to center field"
37 "tripled to left center"
36 "flied out to 3b"
36 "out at first 2b to 1b"
35 "failed pickoff attempt"
34 "fouled out to ss"
34 "lined out to lf to left center"
34 "reached on catcher"
33 "out at first 3b to 1b"
33 "struck out swinging to catcher"
29 "flied out to 1b"
29 "pinch hit"
26 "lined out to cf to left center"
26 "out on batter"
25 "lined out to cf to right center"
25 "popped up to 2b to right field"
24 "lined out to rf to right center"
22 "grounded into double play 3b to 2b to 1b"
22 "out at first ss to 2b"
21 "advanced to second on a throwing error by p"
21 "grounded into double play ss to 1b"
21 "infield fly to 2b"
21 "out at first 1b unassisted"
20 "head coach"
20 "popped up to ss to left field"
20 "reached on a throwing error by 2b"
20 "tripled to left field"
19 "infield fly to ss"
19 "out at first p to 1b"
18 "grounded out to 2b to 1b"
17 "advanced to second on an error by p"
17 "fouled out to p"
17 "grounded out to 3b to 1b"
17 "hit into double play ss to 2b to 1b"
16 "out at second c to 2b"
15 "grounded out to 2b up the middle"
15 "grounded out to ss up the middle"
15 "hit into double play 3b to 2b to 1b"
15 "out at second c to ss"
15 "out at third c to 3b"
14 "popped up to 2b down the rf line"
13 "grounded out to ss to 1b"
13 "popped up to 2b to right center"
12 "advanced to third on a throwing error by p"
12 "coach visits the mound"
12 "pitching coach"
12 "popped up to ss down the lf line"
12 "popped up to ss to center field"
11 "advanced to third"
11 "infield fly to 1b"
11 "popped up to ss to left center"
11 "reached on an error by p"
10 "advanced to second on a fielder"
10 "picked off"
10 "popped up to 2b to center field"
10 "reached on a fielding error by p"
9 "advanced to second on a throwing error by c"
9 "grounded into double play 2b to 1b"
9 "grounded into double play p to ss to 1b"
9 "hit into double play 2b to ss to 1b"
9 "lined out to rf down the rf line"
9 "popped up to rf to right center"
9 "reached on a throwing error by 1b"
9 tripled
8 "doubled through the left side"
8 "flied out to ss to left field"
8 "fouled out to rf down the rf line"
7 "advanced to third on a throwing error by c"
7 "fouled out to 1b down the rf line"
7 "hit into double play ss to 1b"
7 "out at first p to 3b to 1b"
6 "advanced to second on an error by 1b"
6 "doubled through the right side"
6 "grounded out to 2b unassisted"
6 "grounded out to c unassisted"
6 "infield fly to 3b"
6 "pinch ran"
6 "popped up to cf to left center"
6 "popped up to cf to right center"
6 "reached on a throwing error by p"
6 "scored on a balk"
6 "singled to catcher"
6 "tripled down the lf line"
5 2
5 ass
5 "fouled out to lf down the lf line"
5 "grounded out to 1b unassisted down the 1b line"
5 "grounded out to 3b unassisted"
5 "reached first on a throwing error by ss"
4 "advanced to second on the throw"
4 "advanced to third on an error by c"
4 "doubled down the 3b line"
4 "doubled up the middle"
4 "flied out to 2b to right center"
4 "flied out to cf to left field"
4 "flied out to ss down the lf line"
4 "fouled out to 3b down the lf line"
4 "fouled out to ss down the lf line"
4 "grounded into double play 3b to 1b"
4 "grounded out to 1b to p"
4 "hit into double play 2b to 1b"
4 "lined into double play 1b unassisted"
4 "lined into double play 2b to 1b"
4 "lined into double play 3b to 1b"
4 "lined out to lf down the lf line"
4 "out at first 1b to 2b to p"
4 "out at first 3b to ss to 1b"
4 "out at home c to p"
4 "popped up to lf down the lf line"
4 "popped up to lf to left center"
4 "reached first on an error by ss"
4 "reached on a fielding error by c"
4 "reached on an error by cf"
4 "reached on an error by lf"
4 "scored on a passed ball"
4 "stole home"
3 "advanced to second on an error by c"
3 "flied out to 1b down the rf line"
3 "flied out to 2b down the rf line"
3 "flied out to 2b to right field"
3 "grounded into double play 1b to ss to p"
3 "grounded out to ss unassisted"
