04/09/99,International League,Rochester vs. Syracuse,ROC,SYR,1,2
04/09/99,International League,Ottawa vs. Buffalo,OTT,BUF,8,4
04/09/99,International League,Richmond vs. Durham,RIC,DUR,1,2
04/09/99,International League,Pawtucket vs. Scranton/W.-Barre,PAW,SWB,0,7
04/09/99,International League,Norfolk vs. Charlotte,NOR,CHA,10,5
04/09/99,International League,Columbus vs. Louisville,COL,LOU,6,5
04/09/99,International League,Toledo vs. Indianapolis,TOL,IND,7,9
04/10/99,International League,Ottawa vs. Buffalo,OTT,BUF,0,0
04/10/99,International League,Rochester vs. Syracuse,ROC,SYR,11,3
04/10/99,International League,Richmond vs. Durham,RIC,DUR,2,5
04/10/99,International League,Pawtucket vs. Scranton/W.-Barre,PAW,SWB,0,0
04/10/99,International League,Norfolk vs. Charlotte,NOR,CHA,11,8
04/10/99,International League,Columbus vs. Louisville,COL,LOU,14,9
04/10/99,International League,Toledo vs. Indianapolis,TOL,IND,0,1
04/11/99,International League,Pawtucket vs. Scranton/W.-Barre,PAW,SWB,14,3
04/11/99,International League,Ottawa vs. Buffalo,OTT,BUF,2,5
04/11/99,International League,Ottawa vs. Buffalo,OTT,BUF,2,3
04/11/99,International League,Syracuse vs. Rochester,SYR,ROC,3,0
04/11/99,International League,Richmond vs. Durham,RIC,DUR,10,6
04/11/99,International League,Norfolk vs. Charlotte,NOR,CHA,7,13
04/11/99,International League,Columbus vs. Louisville,COL,LOU,10,11
04/11/99,International League,Toledo vs. Indianapolis,TOL,IND,2,4
04/12/99,International League,Pawtucket vs. Scranton/W.-Barre,PAW,SWB,0,0
04/12/99,International League,Richmond vs. Charlotte,RIC,CHA,5,6
04/12/99,International League,Richmond vs. Charlotte,RIC,CHA,8,7
04/12/99,International League,Columbus vs. Louisville,COL,LOU,12,1
04/12/99,International League,Ottawa vs. Buffalo,OTT,BUF,0,0
04/12/99,International League,Syracuse vs. Rochester,SYR,ROC,0,2
04/12/99,International League,Toledo vs. Indianapolis,TOL,IND,1,10
04/12/99,International League,Norfolk vs. Durham,NOR,DUR,6,7
04/13/99,International League,Columbus vs. Indianapolis,COL,IND,9,0
04/13/99,International League,Norfolk vs. Durham,NOR,DUR,2,5
04/13/99,International League,Ottawa vs. Syracuse,OTT,SYR,6,7
04/13/99,International League,Pawtucket vs. Buffalo,PAW,BUF,2,3
04/13/99,International League,Rochester vs. Scranton/W.-Barre,ROC,SWB,2,9
04/13/99,International League,Toledo vs. Louisville,TOL,LOU,4,1
04/14/99,International League,Ottawa vs. Syracuse,OTT,SYR,5,8
04/14/99,International League,Pawtucket vs. Buffalo,PAW,BUF,6,4
04/14/99,International League,Rochester vs. Scranton/W.-Barre,ROC,SWB,18,5
04/14/99,International League,Richmond vs. Charlotte,RIC,CHA,1,4
04/14/99,International League,Columbus vs. Indianapolis,COL,IND,8,6
04/14/99,International League,Toledo vs. Louisville,TOL,LOU,5,4
04/15/99,International League,Buffalo vs. Syracuse,BUF,SYR,3,12
