04/10/98,International League,Charlotte vs. Richmond,CHA,RIC,7,3
04/10/98,International League,Scranton/Wilkes-Ba vs. Ottawa,SWB,OTT,5,1
04/10/98,International League,Syracuse vs. Pawtucket,SYR,PAW,0,0
04/10/98,International League,Rochester vs. BUF,ROC,BUF,0,0
04/10/98,International League,Columbus vs. LOU,COL,LOU,5,9
04/10/98,International League,DUR vs. Norfolk,DUR,NOR,5,4
04/10/98,International League,Toledo vs. IND,TOL,IND,0,0
04/11/98,International League,Scranton/Wilkes-Ba vs. Ottawa,SWB,OTT,3,4
04/11/98,International League,Rochester vs. BUF,ROC,BUF,0,4
04/11/98,International League,Syracuse vs. Pawtucket,SYR,PAW,4,1
04/11/98,International League,Charlotte vs. Richmond,CHA,RIC,2,8
04/11/98,International League,Columbus vs. LOU,COL,LOU,4,8
04/11/98,International League,DUR vs. Norfolk,DUR,NOR,10,7
04/11/98,International League,Toledo vs. IND,TOL,IND,0,3
04/12/98,International League,Syracuse vs. Pawtucket,SYR,PAW,5,2
04/12/98,International League,Syracuse vs. Pawtucket,SYR,PAW,8,4
04/12/98,International League,Scranton/Wilkes-Ba vs. Ottawa,SWB,OTT,3,1
04/12/98,International League,BUF vs. Rochester,BUF,ROC,5,2
04/12/98,International League,Toledo vs. IND,TOL,IND,1,6
04/12/98,International League,Toledo vs. IND,TOL,IND,4,2
04/12/98,International League,Charlotte vs. Richmond,CHA,RIC,3,4
04/12/98,International League,Columbus vs. LOU,COL,LOU,7,8
04/12/98,International League,DUR vs. Norfolk,DUR,NOR,9,4
04/12/98,International League,Durham vs. Norfolk,DUR,NOR,4,5
04/12/98,International League,Columbus vs. Louisville,COL,LOU,7,10
04/12/98,International League,Charlotte vs. Richmond,CHA,RIC,2,6
04/12/98,International League,Scranton/W.-Barre vs. Ottawa,SWB,OTT,10,2
04/12/98,International League,Buffalo vs. Rochester,BUF,ROC,0,4
04/12/98,International League,Toledo vs. Indianpolis,TOL,IND,2,5
04/14/98,International League,Syracuse vs. Scranton/W.-Barre,SYR,SWB,4,3
04/14/98,International League,Columbus vs. Indianpolis,COL,IND,4,6
04/14/98,International League,Durham vs. Richmond,DUR,RIC,0,4
04/14/98,International League,Toledo vs. Louisville,TOL,LOU,7,9
04/14/98,International League,Buffalo vs. Ottawa,BUF,OTT,7,2
04/14/98,International League,Charlotte vs. Norfolk,CHA,NOR,2,0
04/15/98,International League,Durham vs. Richmond,DUR,RIC,5,6
04/15/98,International League,Syracuse vs. Scranton/W.-Barre,SYR,SWB,10,1
04/15/98,International League,Buffalo vs. Ottawa,BUF,OTT,5,6
04/15/98,International League,Charlotte vs. Norfolk,CHA,NOR,0,2
04/15/98,International League,Columbus vs. Indianpolis,COL,IND,4,5
04/15/98,International League,Toledo vs. Louisville,TOL,LOU,6,5
04/15/98,International League,Pawtucket vs. Rochester,PAW,ROC,11,0
04/16/98,International League,Charlotte vs. Norfolk,CHA,NOR,5,10
04/16/98,International League,Pawtucket vs. Rochester,PAW,ROC,7,4
04/16/98,International League,Durham vs. Richmond,DUR,RIC,15,4
04/16/98,International League,Toledo vs. Louisville,TOL,LOU,1,3
04/16/98,International League,Buffalo vs. Ottawa,BUF,OTT,9,7
04/17/98,International League,Ottawa vs. Syracuse,OTT,SYR,2,4
04/17/98,International League,Pawtucket vs. Buffalo,PAW,BUF,0,0
04/17/98,International League,Indianpolis vs. Charlotte,IND,CHA,8,9
04/17/98,International League,Louisville vs. Durham,LOU,DUR,6,1
04/17/98,International League,Rochester vs. Scranton/W.-Barre,ROC,SWB,1,2
04/17/98,International League,Richmond vs. Toledo,RIC,TOL,2,5
04/17/98,International League,Norfolk vs. Columbus,NOR,COL,2,7
04/18/98,International League,Ottawa vs. Syracuse,OTT,SYR,0,0
04/18/98,International League,Pawtucket vs. Buffalo,PAW,BUF,2,3
04/18/98,International League,Pawtucket vs. Buffalo,PAW,BUF,4,3
04/18/98,International League,Indianpolis vs. Charlotte,IND,CHA,2,3
04/18/98,International League,Louisville vs. Durham,LOU,DUR,9,5
04/18/98,International League,Rochester vs. Scranton/W.-Barre,ROC,SWB,3,5
04/18/98,International League,Richmond vs. Toledo,RIC,TOL,2,7
04/18/98,International League,Norfolk vs. Columbus,NOR,COL,10,1
04/19/98,International League,Rochester vs. Scranton/W.-Barre,ROC,SWB,10,4
04/19/98,International League,Ottawa vs. Syracuse,OTT,SYR,5,3
04/19/98,International League,Pawtucket vs. Buffalo,PAW,BUF,2,5
04/19/98,International League,Indianpolis vs. Charlotte,IND,CHA,7,5
04/19/98,International League,Louisville vs. Durham,LOU,DUR,13,0
04/19/98,International League,Richmond vs. Toledo,RIC,TOL,1,4
04/19/98,International League,Norfolk vs. Columbus,NOR,COL,3,4
04/21/98,International League,Rochester vs. Pawtucket,ROC,PAW,1,3
04/21/98,International League,Scranton/W.-Barre vs. Syracuse,SWB,SYR,6,7
04/21/98,International League,Ottawa vs. Buffalo,OTT,BUF,4,12
04/21/98,International League,Louisville vs. Charlotte,LOU,CHA,3,5
04/21/98,International League,Indianpolis vs. Durham,IND,DUR,4,9
04/21/98,International League,Norfolk vs. Toledo,NOR,TOL,8,4
