name,year,comp_name,comp_year,rank,d
"Conforto, Michael",2014,"Conforto, Michael",2014,0,0.00
"Conforto, Michael",2014,"Shaffer, Richie",2012,1,0.46
"Conforto, Michael",2014,"Papi, Mike",2014,2,0.92
"Conforto, Michael",2014,"Grandal, Yasmani",2010,3,0.95
"Conforto, Michael",2014,"Wieters, Matt",2007,4,0.96
"Conforto, Michael",2014,"Holt, Tyler",2010,5,1.16
"Conforto, Michael",2014,"Pond, Ryan",2007,6,1.54
"Conforto, Michael",2014,"Dorn, Danny",2005,7,1.63
"Conforto, Michael",2014,"Costanzo, Mike",2005,8,2.07
"Conforto, Michael",2014,"Parker, Kyle",2010,9,2.10
"Conforto, Michael",2014,"Havens, Reese",2008,10,2.29
"Conforto, Michael",2014,"Forsythe, Logan",2008,11,2.35
"Conforto, Michael",2014,"Michael, Levi",2011,12,2.51
"Conforto, Michael",2014,"Broadway, Larry",2002,13,2.52
"Conforto, Michael",2014,"Kubitza, Kyle",2011,14,2.54
"Conforto, Michael",2014,"Payne, Danny",2007,15,2.63
"Conforto, Michael",2014,"Mitchell, Jared",2009,16,2.66
"Conforto, Michael",2014,"Hicks, D.J",2012,17,2.68
"Conforto, Michael",2014,"McGee, Stephen",2013,18,2.68
"Conforto, Michael",2014,"Snyder, Chris",2002,19,2.83
"Conforto, Michael",2014,"Luna, Aaron",2008,20,2.94
