year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2014	11620	2	vs_lhp	10208	30123	Academy of Art	18	1425753	Marchini, Joseph	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1425753	So	OF	48	48	 	0.214	0.333	0.214	28	3	6	 	 		 	1	4	1	 	 	5	1	 	1	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	12	1425750	Brackenridge, Lyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1425750	Sr	INF	46	46	 	0.226	0.273	0.290	31	1	7	2	 		 	1	1	1	 	1	2	 	4	1	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	6	1539896	Thomas, Jordan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539896	Jr	SS	46	46	 	0.167	0.167	0.250	24	2	4	2	 		 	2	 	 	 	 	4	3	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	26	1539902	Skinner, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539902	Jr	INF	45	42	 	0.133	0.235	0.133	15	1	2	 	 		 	0	2	 	 	 	5	1	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	15	1425752	Ramirez, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1425752	Sr	INF	44	41	 	0.238	0.333	0.238	21	0	5	 	 		 	1	3	 	 	 	8	 	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	16	1539903	Cavestany, Chucky	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539903	Sr	C	39	36	 	0.261	0.292	0.348	23	3	6	2	 		 	3	1	 	 	 	4	 	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	17	1539898	Brady, Maclane	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539898	Jr	P	39	27	 	0.476	0.500	0.714	21	4	10	2	 		1	2	1	 	 	 	4	 	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	21	1539900	Gutierrez, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539900	Fr	OF	37	30	 	0.059	0.059	0.059	17	1	1	 	 		 	0	 	 	 	 	4	 	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	3	1539893	Robertson, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1539893	Jr	OF	34	30	 	0.188	0.188	0.312	16	0	3	2	 		 	5	 	 	 	 	5	 	 	 	 
2014	11620	2	vs_lhp	10208	30123	Academy of Art	23	1425756	Redhead, Dante	http://stats.ncaa.org/player?game_sport_year_ctl_id=11620&stats_player_seq=1425756	Sr	INF	33	30	 	0.333	0.333	0.389	18	1	6	1	 		 	1	 	 	 	 	3	1	 	 	 
