year	year_id	division_id	split_name	split_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	app	gs	era	ip	h	r	er	bb	so	sho	bf	p-oab	d-a	t-a	hr-a	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	1	1314594	Dorris, Jacob	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314594	Sr	P	28	0	 	 	 	0.00	5.6	9	0	0	7	9	 	45	38	1	1	 	4	 	 	2	 	 	 	 	 	11	8	 	 	 	2
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	32	1438825	Holland, Nolan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438825	So	P	22	0	 	 	 	0.00	6.9	11	0	0	3	12	 	42	38	 	 	 	2	 	 	0	 	 	 	 	 	12	3	 	 	 	4
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	33	1546843	Landgrebe, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546843	Sr	P	19	0	 	 	 	0.00	3.9	8	0	0	4	4	 	29	25	1	 	1	 	 	 	0	 	 	 	 	 	5	7	 	 	 	3
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	5	1314553	Belicek, Trevor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314553	Sr	P	16	12	 	 	 	0.00	18.5	6	0	0	3	23	 	75	69	 	 	 	 	 	2	0	 	 	 	 	 	22	18	 	 	 	7
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	29	1546833	Skapura, Devin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546833	So	P	14	13	 	 	 	0.00	15.8	16	0	0	1	8	 	71	67	2	 	1	2	 	 	 	 	 	 	 	 	18	26	 	 	 	4
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	7	1314576	Schnuriger, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314576	Sr	P	14	1	 	 	 	0.00	4.1	3	0	0	2	6	 	27	23	 	 	 	1	 	1	 	 	 	 	 	 	8	7	 	 	 	1
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	11	1314586	Danton, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1314586	Sr	P	14	14	 	 	 	0.00	22.6	26	0	0	6	19	 	112	101	3	 	1	 	 	1	0	 	 	 	 	 	35	22	 	 	 	6
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	45	1438823	D'Spain, Dalton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438823	Jr	P	13	4	 	 	 	0.00	4.0	7	0	0	4	4	 	28	20	1	 	 	1	 	2	0	 	 	 	 	 	7	4	 	 	 	2
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	31	1652725	Harris, Garrett	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652725	Jr	P	13	8	 	 	 	0.00	9.9	14	0	0	9	9	 	62	50	3	 	 	 	 	1	 	 	 	 	 	 	12	15	 	 	 	3
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	21	1438826	Keith, Kaleb	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438826	Jr	P	12	0	 	 	 	0.00	1.7	7	0	0	0	0	 	16	16	 	 	 	1	 	 	0	 	 	 	 	 	7	2	 	 	 	 
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	27	1546842	Flores, AJ	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546842	Sr	P	6	0	 	 	 	0.00	0.5	2	0	0	1	0	 	8	6	 	 	 	 	 	1	 	 	 	 	 	 	4	 	 	 	 	 
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	34	1546829	Jordan, Jared	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1546829	So	P	5	1	 	 	 	0.00	1.5	0	0	0	4	1	 	13	8	 	 	 	1	 	1	 	 	 	 	 	 	4	3	 	 	 	 
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	30	1438814	Casey, Thomas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1438814	Sr	P	4	0	 	 	 		0.0	1	0	0	0	0	 	3	2	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 
2015	12080	1	vs_lhb	10298	26172	A&M-Corpus Chris	36	1652736	Allec, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1652736	So	P	3	0	 	 	 	0.00	0.2	1	0	0	0	1	 	4	3	1	 	 	1	 	1	 	 	 	 	 	 	1	1	 	 	 	 
2015	12080	1	vs_lhb	10298	2	Abilene Christian	26	1420630	Palacios, Nicholas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12080&stats_player_seq=1420630	Jr	P	26	0	 	 	 	0.00	2.4	5	0	0	2	4	 	25	19	2	 	 	1	 	 	 	 	 	 	 	 	6	7	 	 	 	1
